非晶态装甲云	Amorphous Armorcloud
折跃菲尼克斯的<c val="ffff8a">执政官战甲</c>。在使用这套战甲配置时，菲尼克斯是一名强大的近战勇士，能够进行范围性攻击并吸收伤害。<n><n>该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。<n><n><c val="ffff8a">可以对地。</c>	Warp in Fenix's <c val="ffff8a">Praetor Armor Suit</c>. While using this suit configuration, Fenix is a powerful melee warrior capable of area attacks and absorbing damage.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground units.</c>
折跃菲尼克斯的<c val="ffff8a">塞布罗斯仲裁者战甲</c>。在使用这套战甲配置时，菲尼克斯能够为战场上的部队提供支援并禁锢敌方单位。<n><n>该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。<n><n><c val="ffff8a">可以对地和对空。</c>	Warp in Fenix's <c val="ffff8a">Cybros Arbiter Suit</c>. While using this suit configuration, Fenix is able to support his army on the field and disable enemy units.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground and air units.</c>
<n/><n/><c val="FFFF8A">精通：</c>菲尼克斯的攻击速度提高<c val="FFFF8A"><d ref="Effect,MasteryFenixSuitAttackSpeedDisplayDummy,Amount" precision="1" player="current"/></c>%。	<n/><n/><c val="FFFF8A">Mastery:</c> Fenix's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitAttackSpeedDisplayDummy,Amount" precision="1" player="current"/></c>%.
<n/><n/><c val="FFFF8A">精通：</c>菲尼克斯的离线能量恢复提高<c val="FFFF8A"><d ref="Effect,MasteryFenixSuitEnergyRegenDisplayDummy,Amount" precision="1" player="current"/></c>%。	<n/><n/><c val="FFFF8A">Mastery:</c> Fenix's offline Energy regen increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitEnergyRegenDisplayDummy,Amount" precision="1" player="current"/></c>%.
该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。战甲只有在未加入战场的状态下才能恢复生命值和能量值。	This suit will remain active until destroyed or another suit is warped in. Armor Suits only regenerate life and energy while not active on the field.
折跃菲尼克斯的<c val="ffff8a">太阳能龙骑士战甲</c>。在使用这套战甲配置时，菲尼克斯可以进行远程攻击并使用多种毁灭性技能。<n><n>该战甲会一直保持激活状态，直至其被摧毁或有其它战甲被折跃。<n><n><c val="ffff8a">可以对地和对空。</c>	Warp in Fenix's <c val="ffff8a">Solarite Dragoon Suit</c>. While using this suit configuration, Fenix can attack at long range and use devastating abilities.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground and air units.</c>
使用3道激光光束扫射目标。每道光束造成<d ref="Effect,SOAThermalLanceDamage,Amount"/>点伤害并点燃地面，在<d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/>点额外伤害。	Strafes the target area with 3 laser beams. Each beam deals <d ref="Effect,SOAThermalLanceDamage,Amount"/> damage and sets fire to the ground for <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> extra damage over <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> seconds.
改变时间与空间，使所有敌人原地静止<d ref="Behavior,SOATimeFreeze,Duration"/>秒。射程无限。	Alters space-time, freezing all enemies in place for <d ref="Behavior,SOATimeFreeze,Duration"/> seconds. Unlimited range.
制造一个黑洞，将敌方单位吸入并使它们昏迷。持续<d ref="Effect,VoidSentryBlackHolePersistent,PeriodCount*Effect,VoidSentryBlackHolePersistent,PeriodicPeriodArray[0]" precision="1" player="current"/>秒。	Creates a Black Hole that pulls in and stuns enemy units. Lasts <d ref="Effect,VoidSentryBlackHolePersistent,PeriodCount*Effect,VoidSentryBlackHolePersistent,PeriodicPeriodArray[0]" precision="1" player="current"/> seconds.
折跃门研究影响星门和机械台，使它们能将单位折跃到任何有水晶能量场的位置。	Warp Gate research affects Stargates and Robotics Facilities, allowing them to warp units in to any location with Pylon power.
回收该建筑，将其移除并全额返还修建所花费的晶体矿及高能瓦斯数量。回收过程需要<d time="5"/>。警告：回收过程一旦开始便无法取消。	Salvages the structure, removing it and returning 100% of its mineral and gas value. Salvage takes <d time="5"/> to finish. Warning: once Salvage is triggered, it cannot be canceled.
为爆蚊和异虫空中单位提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为爆蚊<n/>- 使幼虫可以变异为腐化者	Contains upgrades for Scourge and Zerg air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Scourge from Larvae<n/>- Corruptors from Larvae
爆蚊巢穴使你能变异爆蚊。	Scourge Nest enables you to morph Scourge.
爆蚊在死亡时在小范围内造成相当于它们攻击伤害一半的伤害。	Scourge deal 50% of their attack damage in a small area upon death.
净化者阵营<n/>多功能高速战机。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Purifier Faction<n/>Versatile high-speed fighter.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
自动化防御单位。	Automated defense unit.
使潜伏者的攻击射程提高3。	Increases the attack range of Lurkers by +3.
选择运载车辆	Select Payload
净化者阵营<n/>机械支援单位。可以使用防护场和相位模式。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Purifier Faction<n/>Robotic support unit. Can use Protective Field and Phasing mode.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
给目标敌方单位施加一个虚相护盾，使其在10秒内造成的伤害最多不超过100点。	Places a Null Shield on the target enemy unit, preventing the unit's attacks from dealing up to 100 damage for 10 seconds.
控制芯核能使你折跃保护者。	Cybernetics Core allows you to warp in Conservators.
机械支援单位。能够使用时空光束和相位模式技能。升级后可获得回收技能。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Robotic support unit. Can use Chrono Beam and Phasing Mode. Can be upgraded to use Reclamation.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
机械支援单位。可以使用护盾充能与反射护盾。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Robotic support unit. Can use Shield Recharge and Reflective Shield.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
强大的英雄攻击施法者。可以对敌人使用精神控制和灵能漩涡。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Powerful heroic attack caster. Can Mind Control and Maelstorm enemies.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
异龙的每次后续弹射攻击不再降低伤害。	Attacks no longer decrease in damage with each subsequent bounce.
精英黑暗圣堂武士。可以使用暗影之怒、闪现和虚空屏蔽技能。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Elite Dark Templar. Can use Shadow Fury, Blink, and Void Shroud abilities.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
使附近侦测单位的侦测能力失效，防止隐形的盟友被发现。	Disables the detection of nearby detectors, preventing cloaked allies from being spotted.
暗影卫队永久隐形。未被侦测到时护盾恢复速度大幅加快。	The Shadow Guard is permanently cloaked. Shields recover rapidly while undetected.
为附近的友方单位和建筑恢复护盾。升级后可以使用强固屏障。	Restores shields to nearby friendly units and structures. Can be upgraded to use Fortification Barrier.
使目标建筑获得一个屏障，持续<d ref="Behavior,ShieldBatteryStructureBarrier,Duration"/>秒，最多吸收<d ref="Behavior,ShieldBatteryStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。	Grants the target structure a Barrier that absorbs up to <d ref="Behavior,ShieldBatteryStructureBarrier,DamageResponse.ModifyLimit"/> damage for <d ref="Behavior,ShieldBatteryStructureBarrier,Duration"/> seconds.
使重型攻城坦克的射程在攻城模式下每3秒增加1，最多增加5。	Increases the Heavy Siege Tank's attack range by 1 every 3 seconds while in Siege Mode, up to a maximum of 5 additional range.
重型坦克。坦克模式下提供机动坦克火力支援。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Heavy tank. Can switch into Tank Mode to provide mobile tank support.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
加强版重型坦克。可以切换成攻城模式，提供远程炮火支援。可以在升级后使用蜘蛛雷。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Enhanced heavy tank. Can switch into Tank Mode to provide mobile tank support. Can be upgraded to use Spider Mines.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
震击炮的溅射范围提高50%。	Increases the radius of Shock Cannon's splash damage by 50%.
这辆坦克受到了致命损伤。对它进行重建以恢复其所有生命值。	This Siege Tank has been critically damaged. Rebuild it to restore it to full life.
加强版重型坦克。可以切换成攻城模式，提供远程炮火支援。可以在升级后使用蜘蛛雷。<n/><n/><c val="FFFF8A">可以对地。</c>	Enhanced heavy tank. Can switch into Siege Mode to provide long-range artillery support. Can be upgraded to use Spider Mines.<n/><n/><c val="FFFF8A">Can attack ground units.</c>
部署成攻城模式。重型攻城坦克在该模式下拥有超远射程，能造成范围伤害，但无法移动和攻击近距离目标。	Deploys into Siege Mode. In this mode Heavy Siege Tanks have very long range and inflict area damage. Heavy Siege Tanks in this mode cannot move or attack targets at close range.
切换成坦克模式。重型攻城坦克在该模式下可以移动，但造成的伤害降低。	Reverts to Tank Mode. In this mode Heavy Siege Tanks can move, but they do less damage.
控制芯核能使你折跃杀戮者。	Cybernetics Core allows you to warp in Slayers.
对空中单位造成的伤害提高<d ref="(Effect,DehakaMutaliskAirLevel3GlaiveWurmDamage,Amount-Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount)*100/Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount"/>%。	Deals <d ref="(Effect,DehakaMutaliskAirLevel3GlaiveWurmDamage,Amount-Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount)*100/Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount"/>% increased damage against air units.
对目标敌方生物单位造成<d ref="Effect,Snipe_BlackOpsDamage,Amount"/>点伤害。</n></n><c val="#ColorAttackInfo">机械单位免疫。</c>	Deals <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> damage to target enemy biological unit.</n></n><c val="#ColorAttackInfo">Mechanical units are immune.</c>
对目标敌方生物单位造成<d ref="Effect,Snipe_BlackOpsDamage,Amount"/>点伤害，外加2次额外射击，每一击造成<d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/>点伤害。</n></n><c val="#ColorAttackInfo">机械单位免疫。</c>	Deals <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> damage to target enemy biological unit, plus 2 additional shots that deal <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/> damage each. </n></n><c val="#ColorAttackInfo">Mechanical units are immune.</c>
每<d time = "6.3"/>为亚顿之矛产生<d ref="Effect,SolarForgeSolarEfficiency1MU,VitalArray[Energy].Change"/>点能量值。	Generates <d ref="Effect,SolarForgeSolarEfficiency1MU,VitalArray[Energy].Change"/> point of energy for the Spear of Adun every <d time = "6.3"/>.
每<d time = "6.3"/>为亚顿之矛产生<d ref="Effect,SolarForgeSolarEfficiency2MU,VitalArray[Energy].Change"/>点能量值。	Generates <d ref="Effect,SolarForgeSolarEfficiency2MU,VitalArray[Energy].Change"/> points of energy for the Spear of Adun every <d time = "6.3"/>.
每<d time = "6.3"/>为亚顿之矛产生<d ref="Effect,SolarForgeSolarEfficiency3MU,VitalArray[Energy].Change"/>点能量值。	Generates <d ref="Effect,SolarForgeSolarEfficiency3MU,VitalArray[Energy].Change"/> points of energy for the Spear of Adun every <d time = "6.3"/>.
为亚顿之矛提供升级方案。	Contains upgrades for the Spear of Adun.
<s val="Kicker_Energy"><c val="EADE00">+1</c></s><img path="Assets\Textures\btn-solar-solarite.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+1</c></s><img path="Assets\Textures\btn-solar-solarite.dds" height="28" width="28"/>
<s val="Kicker_Energy"><c val="EADE00">+3</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+3</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>
<s val="Kicker_Energy"><c val="EADE00">+6</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+6</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>
附近有敌方单位死亡时，阿拉纳克可以治疗自己，每一点单位补给为其恢复20点生命值和20点护盾。<n/><n/>阿拉纳克频临死亡时，他可以从附近你控制的单位身上窃取生命值。该技能没有冷却时间。	When a nearby enemy unit dies, Alarak heals himself for 20 life and 20 shields per the unit's supply.<n/><n/>Alarak steals life from nearby units you control to heal himself when he is near death. This ability has no cooldown.
对空型飞行生物。可以使用腐蚀喷液。能够变异为巢虫领主。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Anti-air flyer. Can use Caustic Spray. Can morph into a Brood Lord.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>
在地图上的任意位置孵化一个无敌的蝗虫巢穴，将在<d ref="Behavior,LocustNestTimedLife,Duration"/> 秒内孵化<d ref="9"/>只蝗虫。	Spawn an invulnerable locust nest anywhere on the map that will spawn <d ref="9"/> locusts over <d ref="Behavior,LocustNestTimedLife,Duration"/> seconds.
孵化一个可排放菌毯的剧毒巢穴，可以爆炸并对附近的敌方地面单位造成<d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/>点伤害。	Spawns a Toxic Nest that generates creep and can explode to deal <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> damage to all nearby ground enemies.
孵化一个可排放菌毯的剧毒巢穴，可以爆炸并对附近的敌方地面单位造成<d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/>点伤害。受到剧毒巢穴伤害的敌人掉落50%额外的生物质，并且攻击和移动速度有所降低。剧毒巢穴有<d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100" player="current"/>%几率在引爆后重新孵化。无法被敌人选中。最多储存<d ref="Abil,SpawnToxicNest,InfoArray[Build1].Charge.CountMax" player="current"/>次使用次数。	Spawns a Toxic Nest that generates creep and can explode to deal <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> damage to all nearby ground enemies. Enemies damaged by Toxic Nests drop 50% additional Biomass and have attack and movement speeds slowed. Cannot be targeted by enemies. Toxic Nests have a <d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100" player="current"/>% chance to respawn after detonating. Stores up to <d ref="Abil,SpawnToxicNest,InfoArray[Build1].Charge.CountMax" player="current"/> charges.
召唤<d ref="Effect,SpecialDeliveryCU,SpawnCount" player="current"/>台武装机器人，使降落区域中的敌方地面单位昏迷。武装机器人可以控制并会战斗<d ref="Behavior,ARESTimedLife,Duration" player="current"/>秒。	Calls down <d ref="Effect,SpecialDeliveryCU,SpawnCount" player="current"/> A.R.E.S. War Bots, stunning enemy ground units in the drop zone. The War Bots are controllable and fight for <d ref="Behavior,ARESTimedLife,Duration" player="current"/> seconds.
空投6台武装机器人，将着陆地点的敌方地面单位击晕。武装机器人可被控制，持续<d ref="Behavior,ARESTimedLife,Duration"/>秒。	Calls down 6 A.R.E.S. War Bots, stunning enemy ground units in the drop zone. The War Bots are controllable and fight for <d ref="Behavior,ARESTimedLife,Duration"/> seconds.
持续控制目标单位，直到被支配的单位死亡或被释放。	Takes control of the target unit. Domination lasts until the controlled unit is destroyed or released.
在发射井中部署聚变弹头。<n/><n/>聚变打击需要<d time="10"/>才能生效，但可对大范围内的目标造成最多300 (+200对建筑) 点伤害。<n/><n/>使用幽魂来指定目标。	Arms the Silo with a Tactical Nuke.<n/><n/>Nukes take <d time="10"/> to land, but they deal 300 (+200 vs. structures) damage in a large radius.<n/><n/>Use a Spectre to designate the target.
通过空投对目标区域进行聚变打击。聚变打击需要<d time="10"/>才能生效，但可对大范围内的目标造成最多300 (+200对建筑) 点伤害。	Calls down a Nuclear Strike at a target location. Nukes take <d time="10"/> to land, but they deal up to 300 (+200 vs. structures) damage to enemies in a large radius.
建造分裂池可开启由工蜂变异为孢子爬虫。	Spawning Pool allows you to mutate Drones into Spore Crawlers.
特殊感染体，可以暂时锁定建筑。提高附近友方单位的移动速度和生命恢复速度。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Special infested that can temporarily lock down structures. Increases the movement speed and life regeneration of nearby friendly units.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
提高医疗兵的治疗速度，并使其可以治疗机械单位。正在被医疗兵治疗的单位受到的伤害降低<d ref="-Behavior,RaynorMedicSafeguard,Modification.DamageTakenFraction[Melee]*100"/>%。	Increases the Medic's healing speed and allows them to heal mechanical units. Units being healed by Medics take <d ref="-Behavior,RaynorMedicSafeguard,Modification.DamageTakenFraction[Melee]*100"/>% less damage.
使追猎者能够闪现到附近的目标位置。该技能<d ref="Abil,Blink,Cost[0].Cooldown.TimeUse"/>秒内只能使用1次。	Teleports the Stalker to a nearby target location. Ability can only be used once every <d ref="Abil,Blink,Cost[0].Cooldown.TimeUse"/> seconds.
远程支援型步战机甲。使用闪现可以恢复护盾。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Ranged support strider. Using Blink provides a shield restore.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
远程支援型步战机甲。受到威胁时会自动使用预判闪现。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Ranged support strider. Can automatically use Predictive Blink when threatened.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
重型突击感染体。能跃向空中并在落地时击晕敌方单位。对阳光具有抵抗力。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Heavy assault special infested. Can leap into the air and stun enemy units upon landing. Resistant to sunlight.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
折跃星灵空中单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 幻影战机	Warps in Protoss air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Mirages
允许折跃星灵空中单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 凤凰	Enables warp in of Protoss air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Phoenixes
给单位注入强效的刺激物，大幅提高其移动和攻击速度，持续<d ref="Behavior,Stimpack,Duration" precision="1"/>秒。该单位会受到相当于其生命值<d ref="Abil,Stimpack,Cost[0].Vital[Life]"/>的伤害。	Injects the unit with powerful stimulants that greatly increase attack and movement speeds for <d ref="Behavior,Stimpack,Duration" precision="1"/> seconds. Injures the unit for <d ref="Abil,Stimpack,Cost[0].Vital[Life]"/> of the unit's life.
单位承受20点伤害。喷火和移动速度提高50%，持续15秒。	Unit takes 20 damage. Fires and moves 50% faster for 15 seconds.
给单位注入强效的刺激物，大幅提高其移动和攻击速度，持续<d ref="Behavior,Stimpack,Duration" precision="1"/>秒。该单位会受到相当于其生命值<d ref="Abil,StimpackMarauder,Cost[0].Vital[Life]"/>的伤害。	Injects the unit with powerful stimulants that greatly increase attack and movement speeds for <d ref="Behavior,Stimpack,Duration" precision="1"/> seconds. Injures the unit for <d ref="Abil,StimpackMarauder,Cost[0].Vital[Life]"/> of the unit's life.
命令地堡内的陆战队员、劫掠者和火蝠使用强化剂。同往常一样，使用强化剂的单位会受到伤害，但攻击速度会提高。	Orders Marines, Marauders, and Firebats inside of the Bunker to use Stimpacks. They will take damage and have increased attack speed as normal.
使<c val="ffff8a">陆战队员</c>, <c val="ffff8a">劫掠者</c>, 以及<c val="ffff8a">火蝠</c>能够使用强化剂。强化剂会对使用者造成伤害，但能暂时提高攻击速度和移动速度。	Enables <c val="ffff8a">Marines</c>, <c val="ffff8a">Marauders</c>, and <c val="ffff8a">Firebats</c> to use the Stimpack ability. Stimpacks cause damage to a unit, but they increase its attack and movement speeds for a short time.
被感染的人类和异虫高级建筑列表。	A list of advanced Infested Terran and Zerg structures.
强大的被感染的战列巡航舰。可以使用引爆感染体和神经寄生。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Powerful Infested Battlecruiser. Can use Explode Infested and Neural Parasite.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
使附近的友方单位受到的伤害降低<d ref="-100*Behavior,StukovAleksanderInfestedSwarmTarget,Modification.DamageTakenFraction[Melee]"/>%。	Reduces the damage taken by nearby friendly units by <d ref="-100*Behavior,StukovAleksanderInfestedSwarmTarget,Modification.DamageTakenFraction[Melee]"/>%.
发射一次腐化的大和炮	Fire a corrupted Tamato blast
配备了人类武器的重型攻击猛兽。可造成范围伤害。能使用集束火箭和潜地冲锋。<n/><n/><c val="ffff8a">可以对地。</c>	Heavy assault beast fused with Terran weaponry. Has an area-damage attack. Can use Cluster Rockets and Burrow Charge.<n/><n/><c val="ffff8a">Can attack ground units.</c>
被感染的人类和异虫建筑列表。	A list of Infested Terran and Zerg structures.
被感染的女妖在潜地状态下每秒恢复20点生命值和能量。	Infested Banshees regenerate 20 life and energy per second while burrowed.
被感染的女妖获得+100点生命值。	Infested Banshees gain +100 life.
被感染的平民死亡时孵化一只巢虫。	Infested Civilians spawn a Broodling when they die.
将一名目标敌方空中单位拖至地面，让单位将其视为地面单位。	Brings a target enemy air unit to the ground, allowing units to attack it as if it were a ground unit.
允许被感染的平民快速扑向附近的敌方地面单位。	Allows Infested Civilians to quickly leap toward nearby enemy ground units.
重型火炮战机。可以通过快速变形成一群更小的生物体来造成伤害。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Artillery fighter. Deals damage by rapidly transforming into a swarm of smaller organisms.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>
解放者的攻击造成范围性伤害。	Liberator attacks deal area damage.
解放者攻击时免疫伤害。	Liberators are immune while attacking.
重型坦克。让自己站起后可提供机动的坦克火力支援。可以使用深槽虫道技能快速移动至任何有菌毯的可见位置。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Heavy tank. Can uproot itself to provide mobile tank support. Can use the Deep Tunnel ability to travel quickly to any visible location with creep.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
吞噬周围被感染的平民和被感染的士兵来恢复20点生命值，并为被感染的攻城坦克的烈性爆弹武器提供弹药。最多可储存8枚炮弹。	Consumes nearby Infested Civilians and Infested Troopers to restore 20 life and create ammo for the Infested Siege Tank’s Volatile Burst weapon. Can store a maximum of 8 rounds.
可以快速移动至任何有菌毯的可见位置。	Can travel quickly to any visible location with creep.
使被感染的攻城坦克扎根。扎根后的被感染的攻城坦克拥有攻击地面单位的能力，但无法移动。	Roots the Infested Siege Tank. A rooted Infested Siege Tank has the ability to attack ground units, but it's unable to move.
使被感染的攻城坦克站起。站起后的被感染的攻城坦克拥有移动的能力，但无法攻击。在菌毯上的移动速度加快。	Uproots the Infested Siege Tank. An uprooted Infested Siege Tank has the ability to move but cannot attack. Moves much faster on creep.
异龙的最大生命值提高<d ref="Behavior,WildMutation,Modification.VitalMaxArray[1]"/>点，攻击速度提高<d ref="(Behavior,WildMutation,Modification.AttackSpeedMultiplier - 1) * 100"/>%，持续<d ref="Behavior,WildMutation,Duration"/>秒。	Mutalisk gains +<d ref="Behavior,WildMutation,Modification.VitalMaxArray[1]"/> maximum life and <d ref="(Behavior,WildMutation,Modification.AttackSpeedMultiplier - 1) * 100"/>% increased attack speed for <d ref="Behavior,WildMutation,Duration"/> seconds.
<c val="FFFF8A">精通：</c>攻击速度提高<c val="FFFF8A"><d ref="Effect,MasteryStukovMechAttackSpeedDisplayDummy,Amount"/>%</c>。	<c val="FFFF8A">Mastery:</c> Increases attack speed by <c val="FFFF8A"><d ref="Effect,MasteryStukovMechAttackSpeedDisplayDummy,Amount"/>%</c>.
在目标位置呼叫亚历山大号被感染的战列巡航舰。亚历山大号可以被控制，持续作战<d ref="Behavior,StukovSummonAleksanderTimedLife,Duration"/>秒。	Calls down the Aleksander Infested Battlecruiser at the target location. The Aleksander is controllable and will fight for <d ref="Behavior,StukovSummonAleksanderTimedLife,Duration"/> seconds.
在目标位置孵化一只末日巨兽。末日巨兽可以被控制，持续作战<d ref="Behavior,StukovSummonApocaliskTimedLife,Duration"/>秒。	Spawns an Apocalisk at the target location. The Apocalisk is controllable and will fight for <d ref="Behavior,StukovSummonApocaliskTimedLife,Duration"/> seconds.
在目标地点召唤一条坑道虫欧米茄。友方地面单位可借助其在任何友方坑道虫欧米茄或虫道网络欧米茄间穿梭。生成菌毯，可满足附近异虫建筑的存活需求。<n/><n/><c val="#ColorAttackInfo">加成：异虫单位在菌毯上的移动速度更快</c>	Summons an Omega Worm at the target location that friendly ground units can use to instantly travel to any other friendly Omega Worm or Omega Network. Grows creep used to feed nearby Zerg structures.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>
召唤休伯利安号战列巡航舰进行临时支援，休伯利安号可被控制，并持续<d ref="Behavior,HyperionVoidCoopTimedLife,Duration"/>秒。	Calls down the Hyperion Battlecruiser. The Hyperion is controllable and will fight for <d ref="Behavior,HyperionVoidCoopTimedLife,Duration"/> seconds.
在目标地点召唤一条坑道虫。友方地面单位可借助虫道网络在任何该玩家拥有的坑道虫或虫道网络间穿梭。生成菌毯，可满足附近异虫建筑的存活需求。<n/><n/><c val="#ColorAttackInfo">效果加成：异虫单位在菌毯上的移动速度更快</c>	Summons a Nydus Worm at the target location that friendly ground units can use to instantly travel to any other friendly Nydus Worm or Nydus Network. Grows creep used to feed nearby Zerg structures.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>
脱离战斗后每秒恢复2点生命。	Regen 2 life per second out of combat.
被劫掠者突击手击中的单位的攻击和移动速度会被暂时降低。对英雄单位效果较弱。<n/><n/><c val="#ColorAttackInfo">重型单位免疫。</c>	Units hit by the Marauder Commando have temporarily slowed attack and movement speeds. Has a reduced effect on heroic units.<n/><n/><c val="#ColorAttackInfo">Massive units are immune.</c>
使铁鸦II型的每项技能最多能储存3次充能。	The Raven Type-II can store up to 3 charges for each of its abilities.
折跃门最多能拥有3次充能。	Warp Gates can hold up to 3 charges.
机械折跃台最多能拥有3次充能。	Warp Robotics Facilities can hold up to 3 charges.
折跃星门最多能拥有3次充能。	Warp Stargates can hold up to 3 charges.
斯旺的基础生产建筑是重工厂而不是兵营。<n/><n/><c val="ffff8a">重工厂可以在SCV的高级建筑菜单中找到。</c>	Swann's basic production structure is the Factory, not the Barracks.<n/><n/><c val="ffff8a">The Factory is available in the SCV's Advanced Construction menu.</c>
使用德拉肯激光钻机进行攻击，造成每秒<d ref="Effect,LaserDrillTripodDamageCoop,Amount*10"/>点伤害。射程无限。	Attack with the Drakken Laser Drill. Deals <d ref="Effect,LaserDrillTripodDamageCoop,Amount*10"/> damage per second and has unlimited range.
令被毁的机械单位可以在战场上重组。	Allows a destroyed mechanical unit to be rebuilt in the field.
攻城单位，能够在扎根或潜地状态下孵化蝗虫进攻。蝗虫持续<d ref="Behavior,LocustMPTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对地。</c>	Siege unit that attacks while rooted or burrowed by spawning Locusts. Locusts last <d ref="Behavior,LocustMPTimedLife,Duration"/> seconds.<n/><n/><c val="#ColorAttackInfo">Locusts can attack ground units.</c>
