非晶态装甲云	Armure de brume
<n/><n/><c val="FFFF8A">精通：</c>轰击伤害提高<c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthImpactDisplayDummy,Amount"/></c>点，空投蟑螂的攻击伤害提高<c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthAttackDamageDisplayDummy,Amount" /></c>点，生命值提高<c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthLifeDisplayDummy,Amount"/></c>点。	<n/><n/><c val="FFFF8A">Maîtrise :</c> augmente les dégâts d’impact de <c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthImpactDisplayDummy,Amount"/></c> points, les dégâts infligés par les cafards largués de <c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthAttackDamageDisplayDummy,Amount" /></c> points et leur vie de <c val="FFFF8A"><d ref="Effect,MasteryZagaraRoachDropDamageAndHealthLifeDisplayDummy,Amount"/></c> points.
<n/><n/><c val="FFFF8A">精通：</c>生成速度提高<c val="FFFF8A"><d ref="Effect,MasteryZagaraLarvaRateDisplayDummy,Amount"/></c>%。	<n/><n/><c val="FFFF8A">Maîtrise :</c> accélère la génération de <c val="FFFF8A"><d ref="Effect,MasteryZagaraLarvaRateDisplayDummy,Amount"/></c>%.
<n/><n/><c val="FFFF8A">精通：</c>加成提高<c val="FFFF8A"><d ref="Effect,MasteryZagaraMassFrenzySpeedBoostDisplayDummy,Amount" precision="1"/></C>%。	<n/><n/><c val="FFFF8A">Maîtrise :</c> augmente les bonus de <c val="FFFF8A"><d ref="Effect,MasteryZagaraMassFrenzySpeedBoostDisplayDummy,Amount" precision="1"/></C>%.
<n/><n/><c val="FFFF8A">精通：</c>神器碎片在地图上刷新所需要的时间缩短<c val="FFFF8A"><d ref="Effect,MasteryZeratulArtifactSpawnRateDisplayDummy,Amount" player="current"/></c>秒。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le temps de réapparition des fragments d’artéfact sur la carte de <c val="FFFF8A"><d ref="Effect,MasteryZeratulArtifactSpawnRateDisplayDummy,Amount" player="current"/></c> secondes.
<n/><n/><c val="FFFF8A">精通：</c>资源费用减少<c val="FFFF8A"><d ref="Effect,MasteryZeratulLegendaryLegionCostDisplayDummy,Amount" player="current"/></c>%。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le coût en ressources de <c val="FFFF8A"><d ref="Effect,MasteryZeratulLegendaryLegionCostDisplayDummy,Amount" player="current"/></c>%.
<n/><n/><c val="FFFF8A">精通：</c>冷却时间缩短<c val="FFFF8A"><d ref="Effect,MasteryZeratulStasisBeamCooldownDisplayDummy,Amount" player="current" precision="1"/></c>秒。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le temps de recharge de <c val="FFFF8A"><d ref="Effect,MasteryZeratulStasisBeamCooldownDisplayDummy,Amount" player="current" precision="1"/></c> secondes.
<n/><n/><c val="FFFF8A">精通：</c>冷却时间缩短<c val="FFFF8A"><d ref="Effect,MasteryZeratulVoidSuppressionCrystalCooldownDisplayDummy,Amount" player="current" precision="1"/></c>%。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le temps de recharge de <c val="FFFF8A"><d ref="Effect,MasteryZeratulVoidSuppressionCrystalCooldownDisplayDummy,Amount" player="current" precision="1"/></c>%.
<n/><n/><c val="FFFF8A">精通：</c>充能时间缩短<c val="FFFF8A"><d ref="Effect,MasteryZeratulTesseractMonolithCooldownDisplayDummy,Amount" player="current" precision="1"/></c>秒。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le temps de recharge de <c val="FFFF8A"><d ref="Effect,MasteryZeratulTesseractMonolithCooldownDisplayDummy,Amount" player="current" precision="1"/></c> secondes.
<n/><n/><c val="FFFF8A">精通：</c>冷却时间缩短<c val="FFFF8A"><d ref="Effect,MasteryZeratulVoidSuppressionCrystalCooldownDisplayDummy,Amount" player="current" precision="1"/></c>秒。	<n/><n/><c val="FFFF8A">Maîtrise :</c> réduit le temps de recharge de <c val="FFFF8A"><d ref="Effect,MasteryZeratulVoidSuppressionCrystalCooldownDisplayDummy,Amount" player="current" precision="1"/></c> secondes.
<n/><n/><c val="FFFF8A">精通：</c>攻击速度提高<c val="FFFF8A"><d ref="Effect,MasteryZeratulZeratulAttackSpeedDisplayDummy,Amount" player="current"/></c>%。	<n/><n/><c val="FFFF8A">Maîtrise :</c> augmente la vitesse d’attaque de <c val="FFFF8A"><d ref="Effect,MasteryZeratulZeratulAttackSpeedDisplayDummy,Amount" player="current"/></c>%.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每消耗<d ref="Effect,heal,RechargeVitalRate * Effect,heal,DrainVitalCostFactor"/>点能量可恢复<d ref="Effect,heal,RechargeVitalRate"/>点生命值。</c>	Soigne une cible biologique alliée.<n/><n/><c val="f078ff">Rend <d ref="Effect,heal,RechargeVitalRate"/> points de vie par <d ref="Effect,heal,RechargeVitalRate * Effect,heal,DrainVitalCostFactor"/> point(s) d’énergie.</c>
奥罗娜的临时载具，可以与受损的安全终端连接并对其重新编程。	Transport temporaire d’Aurana. Lui permet de se connecter aux terminaux de sécurité pour les restaurer.
高速移动的游击单位。火焰攻击可对火力线覆盖的所有敌方单位造成伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Éclaireur rapide. Dispose d’une attaque de flammes qui endommage toutes les unités ennemies dans la ligne de feu.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
支援型单位。治疗附近的生物单位。	Soldat de soutien. Soigne les unités biologiques proches.
治疗一名友方生物目标。<n/><n/><c val="f078ff">每1点能量治疗4点生命值。</c>	Soigne une unité biologique alliée.<n/><n/><c val="f078ff">Lui rend 4 points de vie pour 1 point d’énergie.</c>
游击单位。能够翻越悬崖。投掷爆炸性地雷。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Troupe d’incursion capable de sauter pour franchir les falaises. Lance des mines explosives.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
当地矿工。支撑经济的中坚力量。	Mineur local. La base de l’économie.
工程站使你能建造转转小子。	Le centre technique vous permet de construire Dizzy la Toupie.
机械支援单位。可以使用目标锁定、小队视野和力场。<n/><n/><c val="FFE303">侦测单位</c>	Unité de soutien robotique. Peut utiliser Verrouillage de la cible, Vision d’escadron et Champ de force.<n/><n/><c val="FFE303">Détecteur</c>
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。	La couveuse, le terrier ou la ruche ciblé génère <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> larves en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondes.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化八只幼虫。	La couveuse, le terrier ou la ruche ciblé génère huit larves en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondes.
尸体虫变种。<n/><n/>攻击型单位。潜地时能够以极快的速度恢复生命值。可以通过小蟑螂感染敌人。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Souche nécropare<n/><n/>Unité d’assaut. Régénère rapidement es points de vie quand elle est enfouie. Peut infester l’ennemi de cancrelats. <n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
快速的侦察者，发射榴弹来减速敌方单位。可变形为近距离战斗单位。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Éclaireur rapide. Dispose de grenades d’attaque qui ralentissent les unités adverses. Peut se transformer en unité de combat à courte portée.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
快速的侦察者，可对一条直线上的所有敌方单位造成火焰伤害。可变形为近距离战斗单位。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Éclaireur rapide. Dispose d’une attaque de flammes qui endommage toutes les unités adverses dans la ligne de feu. Peut se transformer en unité de combat à courte portée.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。<n/><n/><c val="FFE303">侦测单位</c>	Observateur aérien avancé. Fournit le même ravitaillement qu’un dominant.<n/><n/><c val="FFE303">Détecteur</c>
孵化场的更高级形态，为异虫提供更多的升级方案和建筑方案。可孵化所有异虫单位和接收采集到的资源。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫在有了进化腔后可以变异为畸变体	Version évoluée de la couveuse, qui permet de nouvelles améliorations et la production de bâtiments supplémentaires. Génère également toutes les unités zergs et reçoit les ressources collectées.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Aberration à partir d’une larve à la chambre d’évolution
腾跃虫变种<n/><n/>迅捷的肉搏型生物，可以越过障碍物并从一段距离外跳向目标。拥有更强的伤害能力。<n/><n/><c val="FFFF8A">可以对地。</c>	Souche raptor<n/><n/>Unité rapide de combat rapproché. Bondit par-dessus les obstacles et sur les cibles à distance. Inflige des dégâts augmentés.<n/><n/><c val="FFFF8A">Peut attaquer les unités terrestres.</c>
秽型虫变种</n></n>突击单位。潜地时能快速恢复生命值。攻击可以削弱目标，降低其攻击和移动速度。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Souche fétide</n></n>Unité d’assaut. Régénère rapidement ses points de vie quand elle est enfouie. Les attaques affaiblissent la cible, dont les vitesses d’attaque et de déplacement sont réduites.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>
强大的对空飞行单位。可以使用腐蚀强酸。<n/><n/><c val="ffff8a">可以对空。</c>	Puissante unité volante antiaérienne. Peut utiliser Acide corrosif.<n/><n/><c val="ffff8a">Peut attaquer les unités aériennes.</c>
取消隐形，铁鸦重新可以移动和使用主动技能。	Annule Camouflage et permet au Corbeau de se déplacer de nouveau et d’utiliser ses capacités.
铁鸦获得隐形效果但是无法移动和使用主动技能。此技能激活后可以取消。	Permet au Corbeau de se camoufler mais l’empêche de se déplacer et d’utiliser ses capacités. Peut être annulé après activation.
使侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	L’observateur passe en mode observateur standard. Permet à l’observateur de se déplacer, mais réduit son champ de vision.
使侦测器变形为监察模式。视野提高<d ref="Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1*100" precision="2"/>%，但无法移动。	L’observateur passe en mode surveillance. Son champ de vision augmente de <d ref="Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1*100" precision="2"/>%, mais il perd la capacité à se déplacer.
使眼虫的视野范围扩大50%，但失去移动能力。该技能在激活后可以取消。	Le champ de vision du vigilant augmente de 50%, mais il perd la capacité à se déplacer. Cette capacité peut être annulée après activation.
使萨尔纳加观察者变形，进入标准的观察模式。允许观察者以视野范围缩小的代价进行移动。	Le scrutateur Xel’Naga passe en mode scrutateur. Son champ de vision est réduit mais il peut se déplacer.
使萨尔纳加观察者变形，进入监察模式。观察者的视野扩大<d ref="Unit,ZeratulObserverSiegeMode,Sight/Unit,ZeratulObserver,Sight-1*100" precision="2"/>%，但失去移动能力。	Le scrutateur Xel’Naga passe en mode surveillance. Son champ de visionaugmente de <d ref="Unit,ZeratulObserverSiegeMode,Sight/Unit,ZeratulObserver,Sight-1*100" precision="2"/>%, mais il perd la capacité à se déplacer.
制造一团云雾，减速敌方单位和建筑，并使其无法攻击和使用能量技能，持续<d ref="(Effect,CoopMurvarPukeCP,PeriodCount) * Effect,CoopMurvarPukeCP,PeriodicPeriodArray[0]"/>秒。	Crée un nuage qui réduit la vitesse de déplacement et empêche les unités et bâtiments adverses d’attaquer et d’utiliser des capacités qui nécessitent de l’énergie. Dure <d ref="(Effect,CoopMurvarPukeCP,PeriodCount) * Effect,CoopMurvarPukeCP,PeriodicPeriodArray[0]"/> secondes.
提高刺蛇的移动速度，并使其射程增加1。	Augmente la vitesse de déplacement de l’hydralisk, et augmente sa portée d’attaque de 1.
圣堂武士相位技师。使用一对仆从机来进行远程攻击。	Templier forge-phase. Fait appel à deux serviteurs qui attaquent à distance.
帝国秘密特工。可以装备和使用多种武器装备。<n/><n/><c val="#ColorAttackInfo">可以使用多种武器攻击不同类型的敌方单位。</c>	Agent spécial du Dominion qui a recours à une grande variété d’armes et d’équipement.<n/><n/><c val="#ColorAttackInfo">Peut attaquer différentes unités ennemies suivant son armement.</c>
通过空投对目标区域进行聚变打击。聚变打击需要<d ref="Effect,MutatorAmonNovaNukePersistent,InitialDelay+Effect,MutatorAmonNovaNukePersistent,ExpireDelay"/>秒才能生效，能够对大范围内的目标造成最多<d ref="Effect,MutatorAmonNovaNukeDamage,Amount"/>点伤害。	Ordonne une frappe nucléaire à l’emplacement ciblé. Il lui faut <d ref="Effect,MutatorAmonNovaNukePersistent,InitialDelay+Effect,MutatorAmonNovaNukePersistent,ExpireDelay"/> secondes pour atteindre la cible, mais elle inflige jusqu’à <d ref="Effect,MutatorAmonNovaNukeDamage,Amount"/> points de dégâts aux ennemis dans un large périmètre.
从远距离对目标敌方地面或空中单位造成<d ref="Effect,MutatorAmonNovaWeaponImprovedCanisterRifleSnipe,Amount"/>点伤害。<n/></n><c val = "#ColorAttackInfo">可以对生物和机械单位使用。	Inflige, à distance, <d ref="Effect,MutatorAmonNovaWeaponImprovedCanisterRifleSnipe,Amount"/> points de dégâts à l’unité terrestre ou aérienne ennemie ciblée.<n/></n><c val = "#ColorAttackInfo">Peut cibler les unités biologiques et mécaniques.
将一门光子炮台转移到当前相位，炮台在离开战场前会持续<d ref="Behavior,PhaseCannonTimedLife,Duration"/>秒。<n/><n/>光子炮台必须被置于能量场中。	Téléporte un canon à photons qui dure <d ref="Behavior,PhaseCannonTimedLife,Duration"/> secondes, avant de quitter le champ de bataille.<n/><n/>Le canon à photons doit être placé dans un champ d’énergie.
凯拉克斯可以像水晶塔一样提供能量场。能量场中的建筑的攻击速度提高<d ref="(Behavior,ProdigalEngineerAttackTarget,Modification.AttackSpeedMultiplier*100)-100"/>%，生产速度提高<d ref="(Behavior,ProdigalEngineerProductionTarget,Modification.TimeScale*100)-100"/>%。	Karax alimente un champ d’énergie semblable à un pylône. Augmente de <d ref="(Behavior,ProdigalEngineerAttackTarget,Modification.AttackSpeedMultiplier*100)-100"/>% la vitesse d’attaque et de <d ref="(Behavior,ProdigalEngineerProductionTarget,Modification.TimeScale*100)-100"/>% la vitesse de production des bâtiments dans son rayon.
给予附近友方单位+<d ref="Behavior,MutatorAmonPrologueVoidArmor,Modification.VitalMaxArray[Shields]"/>点护盾，持续<d ref="Behavior,MutatorAmonPrologueVoidArmor,Duration"/>秒。	Confère +<d ref="Behavior,MutatorAmonPrologueVoidArmor,Modification.VitalMaxArray[Shields]"/> points de bouclier à toutes les unités alliées proches pendant <d ref="Behavior,MutatorAmonPrologueVoidArmor,Duration"/> secondes.
永久控制目标敌方机械单位或星灵建筑。机械单位包括机械哨兵、不朽者、掠夺者和巨像。	Prend le contrôle permanent de n’importe quelle unité robotique ou bâtiment protoss. Les unités robotiques comprennent les sentinelles, les Immortels, les ravageurs et les Colosses.
挥砍一名敌方单位，对其造成500点伤害。<n/><n/><c val="ffff8a">只能对地。</c>	Frappe une unité ennemie et lui inflige 500 points de dégâts.<n/><n/><c val="ffff8a">Ne peut cibler que les unités terrestres.</c>
将泽拉图传送到附近位置。	Téléporte Zeratul vers un endroit proche.
泽拉图处于永久隐形状态。	Zeratul est toujours camouflé.
按照正确的顺序输入数字组合才能解除炸弹机器人。只有你的盟友可以看见密码！	Saisissez le code sans vous tromper d’ordre pour désamorcer le robot bombe. Seuls vous alliés peuvent voir le code !
这种中等大小的机器人配备了一门死亡火炮，其破坏力绝对不辱其名。谋杀机器人会不停地追杀脆弱的单位，直至其可怕的杀戮欲望得到满足为止。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Ce robot de taille moyenne dispose d’un canon meurtrier qui est loin d’avoir usurpé son nom. Il pourchasse les unités vulnérables jusqu’à avoir atteint son quota de victimes.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c><n/><c val="FFE303">Détecteur</c>
混合体 不朽者 复活	Réanimation - Immortel - Hybride
使附近的所有敌方单位因恐惧而乱跑，短时间内无法接收任何指令。	Apeure toutes les unités ennemies proches, les empêchant temporairement de suivre les ordres.
杀戮机器人是非常令人不安的存在，其心智似乎受到了某种深度困扰。它们的程序被设定为消灭视线中的一切事物，直至其达成杀戮上限为止。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Le robot exterminateur est, à n’en pas douter, le fruit d’un esprit torturé. Il est programmé pour éliminer tout ce qui se dresse sur son chemin jusqu’à avoir atteint son quota de victimes.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c><n/><c val="FFE303">Détecteur</c>
体型最小的杀戮机器人，但是效率极高。它们会朝视线中的任何敌人使用其谋杀火炮，直至其达成杀戮上限为止。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Malgré sa petite taille, ce robot est redoutable. Armé de canons meurtriers, il tire sans sommation jusqu’à avoir atteint son quota de victimes.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c><n/><c val="FFE303">Détecteur</c>
极度危险的单位。可以立即杀死敌方单位和建筑，并从其尸骸上生成一个新的同化体。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Unité extrêmement dangereuse. Peut tuer instantanément les unités et détruire les bâtiments adverses pour créer un nouveau propagateur à partir des restes.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>
从虚空之中不断召唤埃蒙的爪牙。	Ne cesse d’invoquer des serviteurs d’Amon issus du Vide.
这名工人正在打瞌睡。太懒了！	Cet ouvrier fait la sieste. Quel flemmard !
治疗一个友方机械单位。<n/><n/><c val="f078ff">每秒治疗9点生命值。</c>	Répare une unité mécanique alliée.<n/><n/><c val="f078ff">Rend 9 points de vie par seconde.</c>
指挥中心的舱位增加5。	Augmente le nombre d’emplacements du Centre de commandement de 5.
提高诺娃的移动速度，并使其可以闪现。诺娃装备该护甲时无法隐形。	Augmente la vitesse de déplacement de Nova et lui permet d’utiliser Transfert. Nova ne peut pas se camoufler tant qu’elle porte cette armure.
配备喷气背包的高级机动装备，可以翻越悬崖。	Équipement mobile avancé équipé de propulseurs permettant de franchir les falaises.
无法侦测的炸弹无人机。引爆时对一个大范围区域造成大量伤害。	Drone explosif indétectable. Inflige de lourds dégâts dans un large rayon lorsqu’il explose.
延迟<d ref="Behavior,NovaBoombotsTimedLife,Duration"/>秒后引爆无人机，对附近的所有敌方地面单位造成<d ref="Effect,NovaBoombotBoomDamage,Amount"/> (+<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,Amount"/>对建筑) 点伤害。	Fait détoner le drone après un délai de <d ref="Behavior,NovaBoombotsTimedLife,Duration"/> secondes. L’explosion inflige <d ref="Effect,NovaBoombotBoomDamage,Amount"/> points de dégâts (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,Amount"/> aux bâtiments) à toutes les unités terrestres ennemies proches.
帝国秘密特工。可以装备和使用多种武器装备<n/><n/><c val="#ColorAttackInfo">可以使用多种武器攻击不同类型的敌方单位。</c>	Agent spécial du Dominion. Peut utiliser une large variété d’armes et d’équipement.<n/><n/><c val="#ColorAttackInfo">Peut attaquer différentes unités armées.</c>
通过空投对目标区域进行聚变打击。聚变打击需要<d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/>秒才能生效，但可对大范围内的目标造成最多<d ref="Effect,NovaCoopCasterNukeDamage,Amount"/>点伤害。	Ordonne une frappe nucléaire sur l’emplacement ciblé. Il lui faut <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> secondes pour atteindre la cible, mais elle inflige jusqu’à <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> points de dégâts aux ennemis sur un large périmètre.
部署一个诺娃的全息复制体，可自动攻击敌方单位，持续存在<d ref="Behavior,NovaCoopDecoyTimedLife,Duration"/>秒。	Déploie un clone holographique de Nova qui attaque automatiquement les unités ennemies. L’hologramme dure <d ref="Behavior,NovaCoopDecoyTimedLife,Duration"/> secondes.
给予诺娃侦测能力，使其可以发现并追踪隐形或潜地的敌人。	Confère à Nova la capacité de détection, ce qui lui permet de voir les unités ennemies camouflées et enfouies.
部署一个无法侦测的炸弹无人机，对目标区域内的敌方地面单位造成<d ref="Effect,NovaBoombotBoomDamage,Amount"/> (+<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]"/>对建筑) 点伤害。	Déploie un drone explosif indétectable qui inflige <d ref="Effect,NovaBoombotBoomDamage,Amount"/> points de dégâts (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]"/> aux bâtiments) aux cibles terrestres ennemies dans la zone ciblée.
炸弹机器人当前已装备。	Actuellement équipée de robots explosifs.
当前装备闪光雷。	Actuellement équipée de grenades incapacitantes.
当前装备脉冲手雷。	Actuellement équipée de grenades à impulsion.
当前装备超级强化剂。	Actuellement équipée de Super stimulants.
使用一股能造成50点伤害的灵能脉冲，消灭大群敌人。	Anéantit un groupe d’ennemis grâce à une vague d’énergie psionique qui inflige 50 points de dégâts.
短暂延迟后，呼叫狮鹫号对其航线沿途的所有目标造成<d ref="Effect,NovaGriffinBombingRunDamage,Amount"/>点伤害。	Appelle le Griffon qui inflige <d ref="Effect,NovaGriffinBombingRunDamage,Amount"/> points de dégâts à toutes les cibles sur sa trajectoire après un court délai.
立即将目标区域内的友方单位运送至选定位置。	Transporte instantanément les unités alliées de la zone ciblée vers une position choisie.
提高诺娃的生命恢复速度。	Augmente le taux de régénération de vie de Nova.
诺娃正在这个静滞晶壳中康复。	Cette enveloppe de stase permet à Nova de se soigner.
立即在目标位置复活诺娃。花费的资源数量由复活的剩余时间决定。</n></n><c val="#ColorAttackInfo">不会影响任务刚开始时的初始冷却时间。</c>	Ranime instantanément Nova à l’emplacement ciblé. Le coût dépend du temps restant.</n></n><c val="#ColorAttackInfo">Ne peut pas supplanter le temps de recharge du début de mission.</c>
潜行模式和突击模式的冷却时间缩短15秒。诺娃在切换模式后可获得最大能量值。</n></n>切换至潜行模式后可获得临时性的无敌效果，切换至突击模式后可获得临时性的伤害加成效果。	Réduit le temps de recharge des modes Furtif et Assaut de 15 secondes. Quand elle passe d’un mode à l’autre, Nova récupère toute son énergie.</n></n>Passer en mode Furtif lui confère un bonus temporaire aux dégâts et passer en mode Assaut la rend momentanément invulnérable.
提高诺娃的移动速度，使其可以使用穿透爆弹和闪现。</n></n><c val="#ColorAttackInfo">使诺娃可以攻击扇形区域内的地面单位。</c>	Augmente la vitesse de déplacement de Nova et lui permet d’utiliser Déflagration perforante et Transfert.</n></n><c val="#ColorAttackInfo">Équipe Nova pour lui permettre d’attaquer des unités terrestres dans un large cône.</c>
提高诺娃的移动速度，使其可以使用穿透爆弹和闪现。激活后，诺娃造成的伤害提高<d ref="Behavior,NovaDoubleDamage,Modification.DamageDealtFraction[Ranged]*100"/>%，持续<d ref="Behavior,NovaDoubleDamage,Duration"/>秒。</n></n><c val="#ColorAttackInfo">使诺娃可以攻击扇形区域内的地面单位。</c>	Augmente la vitesse de déplacement de Nova et lui permet d’utiliser Déflagration perforante et Transfert. Nova inflige <d ref="Behavior,NovaDoubleDamage,Modification.DamageDealtFraction[Ranged]*100"/>% de dégâts supplémentaires pendant <d ref="Behavior,NovaDoubleDamage,Duration"/> secondes après l’activation.</n></n><c val="#ColorAttackInfo">Équipe Nova pour qu’elle attaque les unités terrestres dans un large cône.</c>
使诺娃永久隐形，并可以使用狙杀与破坏无人机。</n></n><C val="#ColorAttackInfo">使诺娃可以攻击空中和地面单位。	Camoufle Nova en permanence et lui permet d’utiliser Tir de précision et Drone saboteur.</n></n><C val="#ColorAttackInfo">Équipe Nova pour lui permettre d’attaquer les unités terrestres et aériennes.
使诺娃永久隐形，并可以使用狙杀与破坏无人机。激活后，诺娃在<d ref="Behavior,NovaInvulnerability,Duration"/>秒内对伤害免疫。</n></n><c val="#ColorAttackInfo">使诺娃可以攻击空中和地面单位。</c>	Camoufle Nova de manière permanente et lui permet d’utiliser Tir de précision et Drone saboteur. Nova est insensible aux dégâts pendant <d ref="Behavior,NovaInvulnerability,Duration"/> secondes après l’activation.</n></n><c val="#ColorAttackInfo">Équipe Nova pour qu’elle attaque les unités terrestres et aériennes.</c>
击晕被强击歌利亚对空武器命中的机械单位，并使其侦测能力失效，持续<d ref="Behavior,NovaUnitLockdown,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">英雄目标对此免疫。</c>	Étourdit et désactive la détection des unités mécaniques touchées par les attaques antiaériennes du Goliath d’assaut pendant <d ref="Behavior,NovaUnitLockdown,Duration"/> secondes.<n/><n/><c val="#ColorAttackInfo">Les cibles héroïques sont immunisée.</c>
朝目标位置呼叫一次聚变打击，在延迟<d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/>秒后对一个大范围区域造成<d ref="Effect,NovaCoopCasterNukeDamage,Amount"/>点伤害。<n/><n/><c val="#ColorAttackInfo">不会伤害友方单位或建筑。</c>	Déclenche une frappe nucléaire sur la position ciblée qui inflige <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> points de dégâts dans un large rayon après <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> secondes.<n/><n/><c val="#ColorAttackInfo">N’inflige aucun dégât aux unités ou bâtiments alliés.</c>
远距离发射一发蓄积灵能的子弹，造成125点伤害。	Tire une balle chargée d’énergie psionique à longue distance qui inflige 125 points de dégâts.
对一个更宽范围扇形区域内的敌方地面单位造成<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref ="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> vs 轻甲单位) 点伤害。</n></n><c val ="#ColorAttackInfo">不会对友方单位造成伤害。</c>	Inflige <d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref ="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> contre les unités légères) points de dégâts aux unités terrestres ennemies dans un plus large cône.</n></n><c val ="#ColorAttackInfo">N’inflige pas de dégâts aux unités alliées.</c>
当前装备地狱火霰弹枪。	Actuellement équipée du fusil Feu d’enfer.
从远距离对目标敌人的地面或空中单位造成<d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/>点伤害。<n/></n><c val = "#ColorAttackInfo">可以对生物和机械单位使用。</c>	Inflige à distance <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> points de dégâts aux unités terrestres ou aériennes ennemies ciblées.<n/></n><c val = "#ColorAttackInfo">Peut cibler les unités biologiques et mécaniques.</c>
