Amorphous Armorcloud	Аморфное бронеоблако
Build Flash Bang	Изготовить светошумовую гранату
Tactical Airlift	Тактический авиамост
No Gadget Equipped	Устройство не используется
No Weapon Equipped	Оружие не используется
Nova Revive Beacon Teleport	Нова – возрождающий луч – телепортация
Instant Regeneration	Мгновенная регенерация
Stun Drone	Оглушающий модуль
Stealth Mode	Режим маскировки
Build Defensive Matrix	Построить защитную матрицу
Lockdown Missiles	Ослепляющие ракеты
Tac Nuke Strike	Ядерный удар
Build Smoke Grenade	Изготовить дымовую гранату
Equip Canister Rifle	Вооружиться карабином
Equip Hellfire Shotgun	Вооружиться «Адским дробовиком»
Equip Improved Canister Rifle	Вооружиться улучшенным карабином
Penetrating Blast	Осколочный залп
Equip Invictus Longshot	Вооружиться «Непокорным стрелком»
Equip Monomolecular Blade	Вооружиться мономолекулярным мечом
Equip Psi Rifle	Вооружиться пси-винтовкой
Change Equipment	Замена оборудования
Tac Nuke Strike and Holo Decoy	Ядерный удар и голографический двойник
Odin Gains Barrage	«Один» получает способность «Артобстрел»
Build Odin MK II	Построить «Один II»
Mutate into Omega Network	Мутировать в омега-сеть
Orbital Assimilator	Орбитальный ассимилятор
Calldown: Supply Depot	Вызов хранилища
Orbital Drop-Pods	Орбитальные десантные капсулы
Order Payload To Retreat	Вернуть грузовик
Order Payload To Target	Направить грузовик к цели
Blood Shields	Кровавые щиты
Maelstrom Rounds	Снаряды «Вихрь»
Passive Orbital Strike	Орбитальный удар - пассивная способность
Solarite Payload	Соларитовый заряд
[ph]T.H.O.R.N.S. Retaliation System	Система противодействия «ШИП»
Flaming Betty	«Огненная Бетти»
Artifact Enhancement: Phase Battery	Дар артефакта: фазовая батарея
Collect (+50 Gas)	Подобрать (+50 ед. веспена)
Collect (+25 Minerals)	Собрать (+25 ед. минералов)
Collect (+50 Minerals)	Подобрать (+50 ед. минералов)
Place Wormhole	Разместить кротовую нору
Predictive Blink	Упреждающий скачок
Primal Guardian	Изначальный страж
Primal Host	Изначальный роевик
Primal Hydralisk	Изначальный гидралиск
Primal Igniter	Изначальный поджигатель
Primal Impaler	Изначальный пронзатель
Primal Mutalisk	Изначальный муталиск
Ravage	Сокрушить
Primal Ultralisk	Изначальный ультралиск
Primal Wurm	Изначальный червь
Prophetic Vision	Пророчество
Upgrade Protoss Armor Level 1	Укрепить броню протоссов, 1-й уровень
Upgrade Protoss Armor Level 2	Укрепить броню протоссов, 2-й уровень
Upgrade Protoss Armor Level 3	Укрепить броню протоссов, 3-й уровень
Upgrade Protoss Weapons Level 1	Улучшить вооружение протоссов, 1-й уровень
Upgrade Protoss Weapons Level 2	Улучшить вооружение протоссов, 2-й уровень
Upgrade Protoss Weapons Level 3	Улучшить вооружение протоссов, 3-й уровень
Purifier Beam	Луч воздаяния
Purity of Will	Чистота воли
Morph to Queen	Мутировать в королеву
Ocular Symbiote	Окулярный симбионт
Birth Queen	Породить королеву
Queen	Королева
Spawn Broodlings	Породить симбионтов
Queen of Blades	Королева Клинков
Direct the Legendary Legion	Направить легендарный легион
Rapid Bombardment	Скоростная бомбардировка
Evolve Rapid Incubation	Развить быструю инкубацию
Covert Triage	Скрытое исцеление
Warp In Xel'Naga Abrogator	Вызвать нейтрализатор зел-нага
Emergency Recall	Срочное возвращение
Reconstruction Beam	Луч воссоздания
Reconstruction	Восстановление
Artifact Enhancement: Reflection Shield	Дар артефакта: «Отражающий щит»
Regenerative Bio-Steel	Регенеративная биосталь
Repair Drakken Laser Drill	Починить драккенскую лазерную установку
Replenish Widow Mines	Перезарядка мин «Вдова»
Research 330mm Barrage Cannon	Разработать 330-мм орудие
Research Hidden Toxic Nest	Развить замаскированное токсичное гнездо
Research Improved Toxic Nest	Развить замаскированное токсичное гнездо
Research Pressurized Glands	Развить нагнетательные железы
Research Mutalisk Health Scaling Upgrade	Развить увеличение здоровья муталисков
Evolve Networked Carapace	Развить распределенный панцирь
Research Roach Range Scaling Upgrade	Развить увеличение дальности атаки тараканов
Research Additional Lock On Target	Разработать захват дополнительной цели
Research Psionic Projection	Разработать способность «Псионная проекция»
Research Adept Shade Debuff	Разработать улучшение для тени адепта
Research Advanced Healing AI	Разработать систему синхронного лечения
Research Afterburners	Разработать форсаж
Research Imposing Presence	Разработать способность «Довлеющее присутствие»
Research Aerial Tracking	Разработать наведение на воздушные цели
Research Rapid Power Cycling	Разработать способность «Ускоренный энергообмен»
Research Telekinesis	Разработать способность «Телекинез»
Research Bloodshard Resonance	Разработать способность «Резонанс кровавых кристаллов»
Research Power Overwhelming	Разработать способность «Переполняющая мощь»
Research Chaotic Attunement	Разработать способность «Единение с хаосом»
Chaotic Attunement	Единение с хаосом
Research Force Blast	Разработать способность «Выброс силы»
Research Soul Augmentation	Разработать способность «Твердость духа»
Research Detect Weakness	Разработать способность «Выявление уязвимостей»
Research Matter Dispersion	Разработать способность «Дисперсия материи»
Research Frenzied Overload	Разработать способность «Бешеная перегрузка»
Research Ares-Class Targeting System	Разработать системы наведения класса «Арес»
Research Automated Mitosis	Разработать автоматический митоз
Research Cloaking Field	Разработать маскировочное поле
Research Rocket Barrage	Разработать способность «Ракетный залп»
Research Improved Barrier	Разработать улучшенный барьер
Research Beam Bounce	Разработать отражающийся луч
Research Blink	Разработать способность «Скачок»
Research Phase Reactor	Разработать фазовый реактор
Research Blink Shield Upgrade	Разработать улучшенный скачок с восстановлением щита
Research Braced Exoskeleton	Разработать жесткий экзоскелет
Research Omnisteel Bunker	Разработать бункер из омнистали
Research Photon Bombs	Разработать фотонные бомбы
Research Repair Drones	Разработать ремонтные дроны
Research Cerberus Mine	Разработать мину «Цербер»
Research Cloud Dispersal	Разработать облачное рассеивание
Research Disruption Web	Разработать дестабилизирующую сеть
Research Stealth Drive	Разработать невидимый двигатель
Research Covert Triage	Разработать способность «Скрытое исцеление»
Research Argus Crystal	Разработать кристалл Аргуса
Research Mind Control	Разработать способность «Подчинение»
Research Dark Templar Recall	Разработать способность темного тамплиера «Телепортация»
Evolve Brutal Charge	Развить «Бешеный рывок»
Evolve Healing Adaptation	Развить восстановительную адаптацию
Research Spider Mines	Разработать паучьи мины
Research Destruction Beam	Разработать луч разрушения
Research Disintegration	Разработать дезинтеграцию
Research Displacement Field	Разработать искажающее поле
Research Double Graviton Beam	Разработать двойной гравитонный луч
Research Trillic Compression Systems	Разработать триллиевые системы компрессии
Research Singularity Charge	Разработать сингулярный заряд
Upgrade Laser Drill Level 1	Улучшить лазерную установку, уровень 1
Upgrade Laser Drill Level 2	Улучшить лазерную установку, уровень 2
Research Dual Fusion Welders	Разработать двойную сварочную установку
Research Reclamation	Разработать способность «Возвращение»
Research Enhanced Manufacturing	Разработать повышение производительности
Research Enhanced Mitochondria	Разработать усовершенствованные митохондрии
Research Observation Protocol	Разработать способность «Протокол наблюдения»
Research Interdictors	Разработать бомбардировщики
Research Suppression Procedure	Разработать способность «Протокол подавления»
Research Empowered Blades	Разработать усиленные клинки
Research Combat Sensor Array	Разработать сенсорную матрицу
Research Optimized Emitters	Разработать улучшенные излучатели
Research Fenix Sentry Null Shield Reflect	Разработать возврат урона «Нуль-щитом» часового
Research Photon Overcharge	Разработать фотонную перегрузку
Research Purifier Armaments	Разработать вооружение чистильщиков
Research Fenix Talis Adept Kill Bounce	Феникс – Талис (адепт) – разработать способность «Рикошет при убийстве»
Research Fenix Talis Adept Shield Upgrade	Феникс – Талис (адепт) – разработать способность «Улучшенный щит»
Research Purification Blast	Разработать способность «Очищающий взрыв»
Research Fire Beam	Разработать огненный луч
Research Fire Suppression Systems	Разработать системы пожаротушения
Research Firebat	Разработать огнеметчиков
Research Fortified Bunker	Разработать укрепленный бункер
Research G-4 Clusterbomb	Разработать кассетные бомбы G-4
Research EMP Round	Разработать ЭМИ-патроны
Research Triple Tap	Разработать способность «Тройной выстрел»
Research Goliath	Разработать «Голиаф»
Research Graduating Range	Разработать калибровку по дальности
Research Gravitic Thrusters	Разработать гравитационные ускорители
Research Napalm Payload	Разработать напалмовые бомбы
Research Immolation Fluid	Разработать зажигательную смесь
Research Wildfire Explosives	Разработать взрывчатку «Гремучка»
Research Aerosol Stim Emitters	Разработать распылители стимуляторов
Research Tar Bombs	Разработать смоляные бомбы
Install Drone Hangar	Пристроить ангарную палубу
Research Multi-Threaded Sensors	Разработать многопоточные сенсоры
Research LE9 Cluster Charges	Разработать кластерные снаряды LE9
Research Jet Pack Overdrive	Разработать «Перегрузку нитроускорителей»
Research Tactical Jump	Разработать «Тактический скачок»
[ph]Research Reinforced Enhanced Supported Neosteel Plating	Разработать улучшенную усиленную обшивку из неостали.
Research Shredder Rounds	Разработать патроны «Мясорубка»
Research W.I.L.D. Missiles	Разработать ракеты «Д.И.Ч.»
Research Executioner Missiles	Разработать ракеты «Палач»
Research Black Market Launchers	Разработать пусковые установки с черного рынка
Research Trigger Override	Разработать режим беглого огня
Research Unregistered Cloaking System	Разработать контрафактные устройства маскировки
Research Overcharged Reactor	Разработать перегрузку реактора
Research Plasma Surge	Разработать способность «Волна плазмы»
Research Aggressive Incubation	Разработать агрессивную инкубацию
Research Infernal Plating	Разработать инфернальную обшивку
Research Jump Jet Assault	Разработать способность «Реактивный рывок»
Research Hellion	Разработать «Геллион»
Research Hellstorm Batteries	Разработать ракетные батареи «Адский шторм»
Research Improved Scatter Cannon	Разработать улучшенную кассетную пушку
Research Advanced Siege Tech	Разработать улучшенные осадные технологии
Research KMC Auto-Loaders	Разработать келморийскую автозаряжающую систему
Research Incinerator Gauntlets	Разработать интегрированные огнеметы
Research Scarab Housing	Разработать отсеки скарабеев
Research Solarite Payload	Разработать соларитовый заряд
Research Regenerative Plating	Разработать регенеративную обшивку
Evolve Acidic Enzymes	Развить кислотные ферменты
Research Concussive Shells	Разработать фугасные гранаты
Research Juggernaut Plating	Разработать обшивку «Джаггернаут»
Research Graviton Warp Catapult	Разработать гравитонную катапульту искривления
Research Rapid Recharging	Разработать способность «Быстрая перезарядка»
Research Enhanced Targeting	Разработать улучшение систем наведения
Research Khaydarin Amulet	Разработать кайдариновый амулет
Research Laser Targeting System	Разработать лазерное наведение
Research Liberator Defender Mode	Разработать защитный режим для «Освободителей»
Research Liberator Improved AA Range	Разработать увеличение дальности противовоздушных атак «Освободителей»
Research Raid Artillery	Разработать ударную артиллерию
Research Lockdown Missiles	Разработать ослепляющие ракеты
Research Locked	Недоступная разработка
Research Maelstrom Rounds	Разработать снаряды «Вихрь»
Research Maelstorm Rounds	Разработать снаряды «Вихрь»
Research Magrail Munitions	Разработать рельсотронные боеприпасы
Research Medic	Разработать медиков
Research Mind Blast	Разработать способность «Взрыв разума»
Research Multi-Lock Weapons System	Разработать систему множественного наведения
Research Replenishable Magazine	Разработать пополняемый магазин
Research Suppression Shells	Разработать подавляющие снаряды
Research Ghost Visor	Разработать визор призрака
Research Flashbang Grenades	Разработать светошумовые гранаты
Research Pulse Grenades	Разработать импульсные гранаты
Research Super Stim	Разработать суперстимуляторы
Research Nova Improved Weapon Damage	Разработать усиление урона от оружия Новы
Research Operational Efficiency	Разработать повышение производительности
Research Hellfire Shotgun	Разработать адский дробовик
Research Improved Canister Rifle	Вооружиться улучшенным карабином
Research Monomolecular Blade	Разработать мономолекулярный меч
Research Stasis Calibration	Разработать калибровку стазиса
Research Wormhole	Разработать кротовую нору
Research Perdition Turret	Разработать турель «Погибель»
Research Phasing Mode	Разработать фазовый режим
Research Phobos Weapons System	Разработать боевую систему класса «Фобос»
Research Phobos Weapon System	Разработать боевую систему класса «Фобос»
Research Prismatic Alignment	Разработать перенастройку линз
Research Prismatic Range	Разработать способность «Дальнобойный луч»
Research Psionic Storm	Разработать способность «Псионный шторм»
Research Reaper	Разработать головорезов
Research Emergency Recall	Разработать способность «Срочное возвращение»
Research Reconstruction	Разработать способность «Восстановление»
Research Regenerative Bio-Steel	Разработать регенеративную биосталь
Research Resonating Glaives Locked	Улучшение «Резонирующие глефы» недоступно
Research Revive	Разработать способность «Оживление»
Research Ripwave Missiles	Разработать ракеты «Волнорез»
Evolve Infestation Level 1	Развить заражение 1-го уровня
Evolve Infestation Level 2	Развить заражение 2-го уровня
Research Train Infested Marine Level 2	Разработать обучение зараженного морпеха 2-го уровня
Research Train Infested Marine Level 3	Разработать обучение зараженного морпеха 3-го уровня
Research Train Infested Marine Level 4	Разработать обучение зараженного морпеха 4-го уровня
Research Infested Stim	Разработать зараженные стимуляторы
Evolve Viral Contamination	Развить вирусное заражение
Research Phase Detonation	Разработать фазовую детонацию
Research Advanced Repair Systems	Разработать улучшенные системы ремонта
Research Solar Flare	Разработать способность «Солнечная вспышка»
Research Improved Nano-Repair	Разработать улучшенный наноремонт
Research Shadow Cannon	Разработать теневое орудие
Research Shadow Charge	Разработка «Натиск Тени»
Research Shadow Fury	Разработать способность «Ярости тени»
Research Darkcoil	Разработать способность «Теневая хватка»
Research Shaped Blast	Разработать сфокусированный выстрел
Research Shield Repair Double	Разработать удвоенное восстановление щитов
Research Shield Restore	Разработать восстановление щита
Research Shockwave Missile Battery	Разработать ракетную батарею «Шквал»
Research Shrike Turret	Разработать турель «Шрайк»
Research Siege Tank	Разработать осадный танк
Research Siege Tank Jump Jets	Разработать прыжковый двигатель осадного танка
Research Phase Blink	Разработать способность «Фазовый скачок»
Evolve Slicing Glave	Развить режущий чакрум
Research Solar Efficiency Level 1	Разработать способность «Солнечная эффективность» 1-го уровня
Research Solar Efficiency Level 2	Разработать способность «Солнечная эффективность» 2-го уровня
Research Solar Efficiency Level 3	Разработать способность «Солнечная эффективность» 3-го уровня
Research Squad Sight Buff	Разработать увеличенное поле зрения отряда
Research Stabilizer Medpacks	Разработать стабилизаторы
Research Fortification Barrier	Разработать силовой барьер
Evolve Rapid Hibernation	Развить быструю гибернацию
Research Super Stimpack	Разработать суперстимуляторы
Research Hi-Sec Auto Tracking	Разработать систему высокоточного автослежения
Research Targeting Optics	Разработать систему оптического наведения
Research Tech Reactor	Разработать лабораторный реактор
Research Tomahawk Power Cells	Разработать энергетическое ядро «Томагавк»
Research Tri Lithium Power Cells	Разработать трилитиевые батареи
Research Fusion Mortars	Разработать ядерные мортиры
Research Advanced Optics	Разработать улучшенную оптику
Research Viking Ripwave Missiles	Разработать ракеты «Викинга» «Волнорез»
Research Void Stasis	Разработать «Стазис Пустоты»
Research Warp Gate Charges	Разработать заряды врат искривления
Research Pulse Amplifier	Разработать импульсный усилитель
Research Advanced Cloaking Field	Разработать улучшенное маскировочное поле
Artifact Enhancement: Predictive Blink	Дар артефакта: «Упреждающий скачок»
Research Dark Pylon	Разработать темный пилон
Reveal Weakness	Выявление слабости
Build Infested Armory	Построить зараженный арсенал
Spawn Infested Banshee	Породить зараженную «Банши»
Build Infested Barracks	Построить зараженные казармы
Marines in Bunker	Морпехи в бункере
Regenerative Plating	Регенеративная обшивка
Build Infested Command Center	Построить зараженный командный центр
Spawn Infested Diamondback	Создать зараженный «Аспид»
Build Infested Engineering Bay	Построить зараженный инженерный комплекс
Build Infested Factory	Построить зараженный завод
Build Infested Bunker	Построить зараженный бункер
Spawning Chamber	Камера порождения
Spawn Infested Trooper	Породить зараженного штурмовика
Spawn Infested Civilian	Породить зараженного мирного жителя
Spawn Infested Marine	Создать зараженного морпеха
Infested Stim	Зараженные стимуляторы
Infested Civilian Structure Increased Spawn Count Level 1	Повышенная частота порождения войск зараженными гражданскими строениями – уровень 1
Infested Civilian Structure Increased Spawn Count Level 2	Повышенная частота порождения войск зараженными гражданскими строениями – уровень 2
Spawn Infested Liberator	Создать зараженный «Освободитель»
Cloud Dispersal	Облачное рассеивание
Viral Contamination	Вирусное заражение
Retinal Augmentation	Усовершенствованная сетчатка
Build Infested Missile Turret	Построить зараженную ракетную турель
Infested Missile Turret	Зараженная ракетная турель
Spawn Overlord	Породить надзирателя
Spawn Brood Queen	Породить королеву стаи
Enhanced Mitochondria	Усовершенствованные митохондрии
Build Infested Refinery	Построить зараженный перерабатывающий завод
Spawn Infested SCV	Создать зараженный КСМ
Spawn Infested Siege Tank	Создать зараженный осадный танк
Proliferating Creep	Растущая слизь
Build Infested Starport	Построить зараженный космопорт
Explode Infested	Взорвать зараженного
Infest Structure	Заразить строение
Feeding Hunger	Утоление голода
Deploy Psi Emitter	Установить пси-излучатель
Build Infested Supply Depot	Построить зараженное хранилище
Deploy Dark Pylon	Вызов темного пилона
Matrix Overload	Перегрузка матрицы
Orbital Strike	Орбитальный удар
Phase Detonation	Фазовая детонация
Recall On Death	Возврат в случае гибели
Advanced Repair Systems	Улучшенные системы ремонта
Deploy Shadow Guard	Темные стражи
Solar Flare	Солнечная вспышка
Solar Bombardment	Солнечная бомбардировка
Praetor Armor Suit	Преторская броня
Cybros Arbiter Suit	Арбитр «Киброса»
Cybros Arbiter Suit Active	Используется арбитр «Киброса»
Solarite Dragoon Suit	Соларитовый драгун
Solarite Dragoon Suit Active	Используется соларитовый драгун
Praetor Armor Suit Active	Используется преторская броня
Map-Wide Chrono Surge	Глобальное темпоральное ускорение
Black Hole	Черная дыра
Mutate into Scourge Nest	Мутировать в гнездо слепней
Virulent Spores	Вирулентные споры
Payload	Груз
Artifact Enhancement: Sensor Array	Дар артефакта: сенсорная матрица
Warp in Conservator	Вызвать охранитель
Null Shield	Нуль-щит
Conservator	Охранитель
Warp In Xel'Naga Shieldguard	Вызвать хранителя щитов зел-нага
Severing Glave	Разрывающий чакрум
Artifact Enhancement: Shade Barrier	Дар артефакта: «Барьер теней»
Shadow Cannon	Теневое орудие
Fortification Barrier	Силовой барьер
Artifact Enhancement: Shield Boosters	Дар артефакта: усилители щитов
Graduating Range	Калибровка по дальности
Jump Jets	Прыжковый двигатель
AOE Essense Leech	Поглощение эссенции в области
Solar Efficiency Level 1	Солнечная эффективность 1-го уровня
Solar Efficiency Level 2	Солнечная эффективность 2-го уровня
Solar Efficiency Level 3	Солнечная эффективность 3-го уровня
Warp In Solar Forge	Вызвать солнечную кузницу
Spawn Brutalisk	Породить бруталиска
Mutate into Spore Colony	Мутировать в колонию спор
Warp In Xel'Naga Ambusher	Вызвать охотника зел-нага
Starport Tech Lab Research 2	Разработка в лаборатории космопорта 2
Use Stimpack	Стимуляторы
Build Advanced Infested Structure	Построить дополнительное зараженное строение
Corrupted Yamato Cannon	Инфицированное орудие «Ямато»
Build Infested Structure	Построить зараженное строение
Rapid Hibernation	Быстрая гибернация
Braced Exoskeleton	Жесткий экзоскелет
Fight On	Снова в бой
Anaerobic Enhancement	Анаэробное усиление
Volatile Biomass	Нестабильная биомасса
Mech Attack Speed	Скорость атаки техники
Aleksander	«Александр»
Apocalisk	Апокалиск
Zerg Morph	Мутация зерга
Summon Omega Worm	Вызвать омега-червя
Summon Nydus Worm	Призвать червя нидуса
Mutate into Sunken Colony	Мутировать в подземную колонию
Super Bio-Steel	Супербиосталь
Suppression Shells	Подавляющие снаряды
Enhanced Manufacturing	Повышение производительности
Superior Warp Robotics Facilities	Улучшенный робозавод искривления
Superior Warp Stargates	Улучшенные звездные врата искривления
Rebuild	Ремонт
Switchto Assault Mode	Перейти в штурмовой режим
Spike Burst	Игольная очередь
Stab	Укол
War Configuration	Боевая конфигурация
Build Tech Reactor	Построить лабораторный реактор
Upgrade Infantry Armor Level 4	Укрепить броню пехоты, уровень 4
Upgrade Infantry Weapons Level 4	Улучшить вооружение наземных войск, уровень 4
Upgrade Vehicle and Ship Plating Level 4	Укрепить обшивку наземной и воздушной техники, уровень 4
Upgrade Vehicle and Ship Weapons Level 4	Улучшить вооружение наземной и воздушной техники, уровень 4
Terrazine Harvest	Добыча терразина
Tesseract Cannon	Тессерактовая пушка
Tissue Assimilation	Ассимиляция тканей
Deploy Covert Banshees	Вызвать тактические «Банши»
Deploy Spec Ops Ghosts	Вызвать элитных призраков
Deploy Strike Goliaths	Вызвать штурмовые «Голиафы»
Build Strike Fighter	Построить ударный бомбардировщик
Strike Fighter	Ударный бомбардировщик
Deploy Hellbat Rangers	Вызвать десантные «Геллитроны»
[ph] Recruit Mercenaries	Нанять наемников
Train Kel-Morian Worker	Обучить келморийских рабочих
Deploy Raid Liberators	Вызвать ударные «Освободители»
Deploy Marauder Commandos	Вызвать мародеров-коммандос
Deploy Elite Marines	Вызвать элитных морпехов
Medivac Black Ops	Элитный медэвак
Deploy Raven Type-II	Вызвать «Ворона-II»
Death Head	Безбашенный
Deploy Heavy Siege Tanks	Вызвать тяжелые осадные танки
Transform To Warp Robotics Facility	Преобразовать в робозавод искривления
Transform To Warp Stargate	Преобразовать в звездные врата искривления
KD9a Implosion Core	Имплозивное ядро KD9a
Purchase KD9a Implosion Core	Приобрести имплозивное ядро KD9a
Purchase Kel-Morian Ripper Rounds	Приобрести келморийские разрывные патроны
Vanadium Shell	Ванадиевая оболочка
Purchase Vanadium Shell	Приобрести ванадиевую оболочку
Build Muscle Armory	Построить арсенал громил
Build Command Center	Построить командный центр
Hades Oil	Масло «Инферно»
Purchase Hades Oil	Приобрести масло «Инферно»
Miles "Blaze" Lewis	Майлз «Блэйз» Льюис
Wildflame Fuel Additives	Присадка «Дикий огонь»
Purchase Wildflame Fuel Additives	Приобрести присадку «Дикий огонь»
High Capacity Containers	Баки повышенной вместимости
Purchase High Capacity Containers	Приобрести баки повышенной вместимости
XCMC-670 Combat Suit	Боевой скафандр ХСМС-670
Build Fixers' Safehouse	Построить схрон спецов
Type-88 Persuader	«Убеждатор-88»
Neural Disruption Device	Нейродестабилизатор
Purchase Neural Disruption Device	Приобрести нейродестабилизатор
Vega	Вега
Dominate	Доминирование
Moebius Psionic Motivator	Псионный мотиватор корпуса Мебиуса
Purchase Moebius Psionic Motivator	Приобрести псионный мотиватор корпуса Мебиуса
Purchase Psi Projector	Приобрести телекинетический усилитель
Rob "Cannonball" Boswell	Роб «Ядрила» Босвелл
M.A.L.I.C.E. Ammunition	Снаряды «ЗЛОБА»
Purchase Critical Response System	Приобрести систему критического реагирования
Purchase X-71 Impact Boots	Приобрести ударные ботинки Х-71
X-71 Impact Boots	Ударные ботинки Х-71
Purchase Redline Power Cells	Приобрести топливные ячейки «Форсаж»
Tychus Outlaw Common Ability 1	Tychus Outlaw Common Ability 1
Tychus Outlaw Common Ability 2	Tychus Outlaw Common Ability 2
Tychus Outlaw Common Ability 3	Tychus Outlaw Common Ability 3
Tychus Outlaw Common Ability 4	Tychus Outlaw Common Ability 4
Tychus Outlaw Common Ability 5	Tychus Outlaw Common Ability 5
Kev "Rattlesnake" West	Кев «Гадюка» Уэст
Hammer Munitions	Гранаты «Молот»
Deploy Revitalizer	Установить «Целитель»
Umojan Signal Modulator	Умоджанский модулятор сигнала
Purchase Umojan Signal Modulator	Приобрести умоджанский модулятор сигнала
Moebius Aggression Blend	Усилитель агрессии корпуса Мебиуса
Purchase Moebius Aggression Blend	Приобрести усилитель агрессии корпуса Мебиуса
Purchase Secret Stash Stimpack	Приобрести стимуляторы «Заначка»
XM-77 Matrix Generator	Генератор матрицы ХМ-77
Lt. Layna Nikara	Лейтенант Лейна Никара
Procyon Twin Heal Beam Gauntlet	Интегрированный двойной исцеляющий луч Procyon
Purchase Procyon Twin Heal Beam Gauntlet	Приобрести интегрированный двойной исцеляющий луч Procyon
Purchase Procyon Serum	Приобрести сыворотку Procyon
Procyon Serum	Сыворотка Procyon
Purchase Umojan Repair Nanites	Приобрести умоджанские ремонтные наниты
Umojan Repair Nanites	Умоджанские ремонтные наниты
Build Gunslingers' Hideout	Построить укрытие стрелков
Big Red Button	Большая красная кнопка
Upgrade Outlaw Life and Armor Level 1	Улучшить здоровье и броню бандитов, 1-й уровень
Upgrade Outlaw Life and Armor Level 2	Улучшить здоровье и броню бандитов, 2-й уровень
Upgrade Outlaw Life and Armor Level 3	Улучшить здоровье и броню бандитов, 3-й уровень
Upgrade Outlaw Life and Armor Level 4	Улучшить здоровье и броню бандитов, 4-й уровень
Upgrade Outlaw Life and Armor Level 5	Улучшить здоровье и броню бандитов, 5-й уровень
Upgrade Outlaw Weapons Level 1	Улучшить вооружение бандитов, 1-й уровень
Upgrade Outlaw Weapons Level 2	Улучшить вооружение бандитов, 2-й уровень
Upgrade Outlaw Weapons Level 3	Улучшить вооружение бандитов, 3-й уровень
Upgrade Outlaw Weapons Level 4	Улучшить вооружение бандитов, 4-й уровень
Upgrade Outlaw Weapons Level 5	Улучшить вооружение бандитов, 5-й уровень
Crooked Sam	Мутный Сэм
Enhanced Hostilities Kit	Улучшенный боекомплект
LarsCorp G7 Charges	Заряды LarsCorp G7
Purchase LarsCorp G7 Charges	Приобрести заряды LarsCorp G7
Moebius Restraint Matrix	Ограничительная матрица корпуса Мебиуса
Purchase Moebius Restraint Matrix	Приобрести ограничительную матрицу корпуса Мебиуса
Purchase Procyon Shade Suit	Приобрести маскировочный костюм Procyon
Warp In Supply Depot	Вызвать хранилище
Redeploy Miles "Blaze" Lewis	Повторно вызвать Майлза «Блэйза» Льюиса
Redeploy Vega	Повторно вызвать Вегу
Redeploy Rob "Cannonball" Boswell	Повторно вызвать Роба «Ядрилу» Босвелла
Redeploy Kevin "Rattlesnake" West	Повторно вызвать Кева «Гадюку» Уэста
Redeploy Lt. Layna Nikara	Повторно вызвать лейтенанта Лейну Никару
Redeploy Crooked Sam	Повторно вызвать Мутного Сэма
Redeploy Nux	Повторно вызвать Накса
Redeploy Tychus Findlay	Повторно вызвать Тайкуса Финдли
Redeploy James "Sirius" Sykes	Повторно вызвать Джеймса «Сириуса» Сайкса
Train SCV	Построить КСМ
Build Auto-Turret	Построить автотурель
Nux	Накс
Crystalline Amplifiers	Кристаллические усилители
Purchase Crystalline Amplifiers	Приобрести кристаллические усилители
T4 Cloudburst Shells	Патроны Т4 «Ливень»
Purchase T4 Cloudburst Shells	Приобрести патроны Т4 «Ливень»
Ultrasonic Boosters	Ультразвуковые усилители
Purchase Ultrasonic Boosters	Приобрести ультразвуковые усилители
Research ITC-E Triggers	Разработать спусковой крючок «ПИУ-ПИУ»
Research Flashforce GDM Visor	Разработать визор «Импульс-УМО»
Research Endurance Supplements	Разработать энергетические биодобавки
Deploy Warhound Turret	Установить турель «Боевой пес»
Purchase D99 Detonator	Приобрести детонатор D99
D99 Detonator	Детонатор D99
James "Sirius" Sykes	Джеймс «Сириус» Сайкс
Purchase Moebius M34 Terror Rounds	Приобрести снаряды корпуса Мебиуса М34 «Ужас»
SA-55 Thunderbolt Missiles	Ракеты SA-55 «Молния»
Purchase SA-55 Thunderbolt Missiles	Приобрести ракеты SA-55 «Молния»
Tyrannozor	Тиранозор
Strike Fighter Platform	Взлетная площадка
Jetpack Overdrive	Перегрузка нитроускорителей
Unlock Raven Black Ops	Открыть доступ к элитным «Воронам»
Fusion Mortars	Ядерные мортиры
Vengeance of the Void	Возмездие Пустоты
Vile Strain	Подвид кислот
Virus Cure Beam	Антивирусный луч
Void Blink	Скачок Пустоты
Warbot	Боевой робот
Void Fury	Ярость Пустоты
Trillic Compression Systems	Триллиевые системы компрессии
Singularity Charge	Сингулярный заряд
Void Suppression Crystal	Кристалл подавляющей Пустоты
Void Templar	Тамплиер Пустоты
Shadow Stalk	Преследование в тени
Upgrade Extra Mineral Gathering Beam.	Разработать дополнительный луч добычи минералов.
Upgrade Extra Vespene Gathering Beam.	Разработать дополнительный луч добычи веспена.
Robotics Facility Disabled	Завод робототехники отключен
Anti-Air Cannons	Зенитные орудия
T82 Missile Pods	Ракетные модули T82
Napalm Burninator	Напалмовый распылитель
Warp Harmonization	Гармонизация искривления
Warp In Warp Robotics Facility	Вызвать робозавод искривления
Warp In Warp Stargate	Вызвать звездные врата искривления
Warp In Supplicant	Вызвать приверженца
Warp In War Prism	Вызвать боевую призму
Warp In Warp Gate	Вызвать врата искривления
Warp In Xel'Naga Void Array	Вызвать ретранслятор Пустоты зел-нага
