Amorphous Armorcloud	Nube de blindaje amorfa
Basic worker unit. Can gather resources, build Infested structures, and repair.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Unidad obrera básica. Puede recoger recursos, construir edificios infestados y reparar.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Heavy tank. Can root itself to provide long-range artillery support by consuming Infested infantry units. Can use the Deep Tunnel ability to travel quickly to any visible location with creep.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Tanque pesado. Puede consumir unidades de infantería infestadas para arraigarse y aportar artillería de apoyo a largo alcance. Puede usar la habilidad túnel profundo para desplazarse rápidamente a cualquier ubicación visible con biomateria.<n/><n/><c val="FFFF8A">Puede atacar a unidades terrestres.</c>
Infested Command Centers spread creep at an accelerated rate and unlimited range.	Los centros de mando infestados extienden biomateria a un ritmo acelerado y con un alcance ilimitado.
Air-unit production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Infested Liberators	Instalación de producción de unidades aéreas.<n/><n/><c val="ffff8a">Permite:</c><n/>- Liberadores infestados
Infested Starport must be rooted to start unit production.	El puerto estelar infestado debe estar arraigado para iniciar la producción de unidades.
Detonates target Infested infantry unit, dealing 150 (+150 vs structures) damage to nearby enemies.	Hace explotar a la unidad de infantería infestada seleccionada, lo que inflige 150 (+150 contra estructuras) de daño a los enemigos cercanos.
Infests target friendly structure, healing it for <d ref="Behavior,SIStukovInfestStructureFriendlyTarget,Modification.VitalRegenArray[Life]" player="current"/> life per second and causing it to spawn <d ref="Effect,SIStukovInfestStructureBroodlingsCU,SpawnCount*Behavior,SIStukovInfestStructureEnemyTarget,Duration/Behavior,SIStukovInfestStructureEnemyTarget,Period" player="current"/> Broodlings over <d ref="Behavior,SIStukovInfestStructureEnemyTarget,Duration"/> seconds.	Infesta la estructura amistosa seleccionada, lo que hace que regenere <d ref="Behavior,SIStukovInfestStructureFriendlyTarget,Modification.VitalRegenArray[Life]" player="current"/> de vida por segundo y engendre <d ref="Effect,SIStukovInfestStructureBroodlingsCU,SpawnCount*Behavior,SIStukovInfestStructureEnemyTarget,Duration/Behavior,SIStukovInfestStructureEnemyTarget,Period" player="current"/> crías durante <d ref="Behavior,SIStukovInfestStructureEnemyTarget,Duration"/> segundos.
Infests target friendly or enemy structure, causing it to spawn <d ref="Effect,SIStukovInfestStructureBroodlingsCU,SpawnCount*Behavior,SIStukovInfestStructureEnemyTarget,Duration*Behavior,SIStukovInfestStructureEnemyTarget,PeriodicEffectRateMultiplier/Behavior,SIStukovInfestStructureEnemyTarget,Period" player="current"/> Broodlings over <d ref="Behavior,SIStukovInfestStructureEnemyTarget,Duration"/> seconds.</n></n>Friendly structures are healed for <d ref="Behavior,SIStukovInfestStructureFriendlyTarget,Modification.VitalRegenArray[Life]" player="current"/> life per second and enemy structures are disabled for the duration of the effect.	Infesta la estructura amistosa o enemiga seleccionada, lo que provoca que engendre <d ref="Effect,SIStukovInfestStructureBroodlingsCU,SpawnCount*Behavior,SIStukovInfestStructureEnemyTarget,Duration*Behavior,SIStukovInfestStructureEnemyTarget,PeriodicEffectRateMultiplier/Behavior,SIStukovInfestStructureEnemyTarget,Period" player="current"/> crías durante <d ref="Behavior,SIStukovInfestStructureEnemyTarget,Duration"/> segundos.</n></n>Las estructuras amistosas regeneran <d ref="Behavior,SIStukovInfestStructureFriendlyTarget,Modification.VitalRegenArray[Life]" player="current"/> de vida por segundo y las estructuras enemigas quedan inhabilitadas mientras dura el efecto.
Infests target enemy unit with a Neural Parasite. Stukov gains control of affected enemies when their life is low.	Infesta a la unidad enemiga seleccionada con un parásito neural. Stukov obtiene el control de los enemigos afectados cuando tienen poca salud.
Sends all currently existing and newly constructed Infested infantry units to the designated point.	Envía a todas las unidades de infantería infestadas existentes y recién construidas al punto seleccionado.
Provides supply.<n/>Supply allows you to create more units.<n/>Supply Depots can be lowered to allow units to walk over them.	Proporciona suministros.<n/>Los suministros te permiten crear más unidades.<n/>Los depósitos de suministros se pueden bajar para que las unidades puedan pasar por encima.
Enables additional units and research options. An Infested Tech Lab can fit onto any production structure.	Permite unidades y opciones de investigación adicionales. El laboratorio tecnológico infestado se acopla a cualquier estructura de producción.
Infantry-research structure. A Tech Lab can fit onto any production structure.	Estructura de investigación de infantería. El laboratorio tecnológico se acopla a cualquier estructura de producción.
Aircraft-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infested Banshees<n/>- Queens	Estructura de investigación aeronáutica. El laboratorio tecnológico se acopla a cualquier estructura de producción.<n/><n/><c val="ffff8a">Permite:</c><n/>- Átropos infestadas<n/>- Reinas
Uproots the structure, allowing it to move about freely. May not produce units, research upgrades, or use abilities until it has rooted.	Desarraiga la estructura, lo que le permite moverse con libertad. No puede producir unidades, investigar mejoras ni usar habilidades hasta que se arraigue.
Suicide unit. Does damage over a small area on death. Has a duration of <d ref="Behavior,SIBarracksTrainTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Unidad suicida. Inflige daño en una pequeña área al morir. Dura <d ref="Behavior,SIBarracksTrainTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Suicide unit. Does damage over a small area on death. Has a duration of <d ref="Behavior,SIBarracksTrainTimedLife,Duration"/>seconds.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Unidad suicida. Inflige daño en una pequeña área al morir. Dura <d ref="Behavior,SIBarracksTrainTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Highly mobile flying unit. Excellent at surgical strikes.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Unidad voladora con gran movilidad. Excelente para ataques precisos.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes <d ref="Weapon,SJPointDefenseLaser,Cost.Vital[2]"/> energy.</c>	Láser de defensa automatizado que intercepta varios tipos de proyectiles enemigos. No intercepta ataques especiales.<n/><n/><c val="f078ff">Cada disparo consume <d ref="Weapon,SJPointDefenseLaser,Cost.Vital[2]"/> de energía.</c>
Creates a cloud for <d ref="Effect,SOABlindCP,PeriodCount * Effect,SOABlindCP,PeriodicPeriodArray[0]"/> seconds that disables enemy detection.	Crea una nube que dura <d ref="Effect,SOABlindCP,PeriodCount * Effect,SOABlindCP,PeriodicPeriodArray[0]"/> segundos y desactiva la capacidad de detección de los enemigos.
All friendly units gain +<d ref="Behavior,SOACasterTimeTarget,Modification.VitalRegenMultiplier[Energy] * 100"/>% energy regeneration and <d ref="1/Behavior,SOACasterTimeTarget,Modification.RateMultiplierArray[Cooldown] * 100"/>% faster ability cooldown time for <d ref="Behavior,SOACasterTimeTarget,Duration"/> seconds.	Todas las unidades amistosas obtienen +<d ref="Behavior,SOACasterTimeTarget,Modification.VitalRegenMultiplier[Energy] * 100"/>% de regeneración de energía, y sus tiempos de reutilización son un <d ref="1/Behavior,SOACasterTimeTarget,Modification.RateMultiplierArray[Cooldown] * 100"/>% más breves durante <d ref="Behavior,SOACasterTimeTarget,Duration"/> segundos.
Increases the production speeds of all friendly structures by <d ref="Behavior,SOAMapWideChronoPassiveTarget,Modification.RateMultiplierArray[Progress]-1*100"/>%.<n/><n/><c val="ffff8a">Passive ability.</c>	Aumenta las velocidades de producción de todas las estructuras amistosas un <d ref="Behavior,SOAMapWideChronoPassiveTarget,Modification.RateMultiplierArray[Progress]-1*100"/>%.<n/><n/><c val="ffff8a">Habilidad pasiva.</c>
All friendly units and structures are cloaked for <d time="20"/>.	Todas las unidades y estructuras amistosas se vuelven invisibles durante <d time="20"/>.
Warps in a Dark Pylon granting supply and power. Dark Pylons also cloak nearby friendly units and structures.	Invoca un pilón tétrico que proporciona suministros y energía. Los pilones tétricos también vuelven invisibles a las unidades y estructuras amistosas cercanas.
Warps in a Dark Pylon granting supply and power. Dark Pylons also cloak nearby friendly units and structures. Friendly cloaked units deal <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.DamageDealtFraction[Melee] * 100"/>% more attack damage and have <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.VitalRegenMultiplier[Energy] * 100"/>% increased energy regeneration.	Invoca un pilón tétrico que proporciona suministros y energía. Los pilones tétricos también vuelven invisibles a las unidades y estructuras amistosas cercanas. Las unidades amistosas invisibles infligen un <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.DamageDealtFraction[Melee] * 100"/>% más de daño de ataque y tienen un <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.VitalRegenMultiplier[Energy] * 100"/>% más de regeneración de energía.
Friendly units become invulnerable for <d time="5"/>, preventing death. Also restores <d ref="Effect,MasteryArtanisGuardianShellHealDisplayDummy,Amount" player="Current" precision="2"/>% life and shields. Each unit can be shielded only once every <d time="240"/>.<n/><n/><c val="ffff8a">Passive ability.</c>	Las unidades amistosas se vuelven invulnerables durante <d time="5"/>, lo que impide su muerte. También restaura un <d ref="Effect,MasteryArtanisGuardianShellHealDisplayDummy,Amount" player="Current" precision="2"/>% de vida y escudos. Las unidades pueden beneficiarse de este efecto una vez cada <d time="240"/>.<n/><n/><c val="ffff8a">Habilidad pasiva.</c>
Increases the production speeds of all friendly structures to <d ref="Behavior,SOAMapWideChrono,Modification.RateMultiplierArray[Progress] * 100" player="current"/>% for <d ref="Behavior,SOAMapWideChrono,Duration"/> seconds.	Aumenta la velocidad de producción de todas las estructuras amistosas a un <d ref="Behavior,SOAMapWideChrono,Modification.RateMultiplierArray[Progress] * 100" player="current"/>% durante <d ref="Behavior,SOAMapWideChrono,Duration"/> segundos.
Fire 5 lasers onto the battlefield from orbit, each of them dealing <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> vs armored units) area damage.	Dispara 5 láseres al campo de batalla desde órbita. Cada uno inflige <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> de daño de área (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> contra unidades blindadas).
Fire lasers onto the battlefield from orbit, each of them dealing <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> vs armored units) area damage.	Dispara láseres al campo de batalla desde órbita. Cada uno inflige <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> de daño de área (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> contra unidades blindadas).
Fire lasers onto the battlefield from orbit, each of them dealing <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> vs armored units) area damage and stunning units for <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/> seconds.	Dispara láseres al campo de batalla desde órbita. Cada uno inflige <d ref="Effect,SOAOrbitalStrikeDamage,Amount"/> de daño de área (<d ref="Effect,SOAOrbitalStrikeDamage,AttributeBonus[Armored]+Effect,SOAOrbitalStrikeDamage,Amount"/> contra unidades blindadas) y aturde a las unidades durante <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/> segundos.
The Spear of Adun's Orbital Strike stuns enemy units in the target area for <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/> seconds.	El ataque orbital de la Lanza de Adun aturde a las unidades enemigas en el área seleccionada durante <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/> segundos.
Mechanical units are automatically repaired for <d ref="Effect,SOARepairBeamHeal,RechargeVitalRate" player="current"/>  (<d ref="Effect,SOARepairBeamHealStructure,RechargeVitalRate" player="current"/> for structures) life per second. Up to <d ref="Effect,KaraxRepairBeamLimit,Amount" player="current"/> targets can be repaired at once.<n/><n/><c val="ffff8a">Passive ability.</c>	Se repara de forma automática a las unidades mecánicas <d ref="Effect,SOARepairBeamHeal,RechargeVitalRate" player="current"/> de vida por segundo (<d ref="Effect,SOARepairBeamHealStructure,RechargeVitalRate" player="current"/> a estructuras). Se pueden reparar hasta <d ref="Effect,KaraxRepairBeamLimit,Amount" player="current"/> objetivos a la vez.<n/><n/><c val="ffff8a">Habilidad pasiva.</c>
Mechanical units are automatically repaired for <d ref="Effect,SOARepairBeamHeal,RechargeVitalRate"/>  (<d ref="Effect,SOARepairBeamHealStructure,RechargeVitalRate"/> for structures) life per second. Up to 5 targets can be repaired at once.<n/><n/><c val="ffff8a">Passive ability.</c>	Se repara de forma automática a las unidades mecánicas <d ref="Effect,SOARepairBeamHeal,RechargeVitalRate"/> de vida por segundo (<d ref="Effect,SOARepairBeamHealStructure,RechargeVitalRate"/> a estructuras). Se pueden reparar hasta 5 objetivos a la vez.<n/><n/><c val="ffff8a">Habilidad pasiva.</c>
Allows the Spear of Adun's Reconstruction Beam to affect <d ref="$UpgradeEffectArrayValue:SOARepairBeamExtraTarget:Effect,KaraxRepairBeamLimit,Amount$"/> additional targets.	Permite al haz de reconstrucción de la Lanza de Adun reparar <d ref="$UpgradeEffectArrayValue:SOARepairBeamExtraTarget:Effect,KaraxRepairBeamLimit,Amount$"/> objetivos adicionales.
Deploys <d ref="Effect,ShadowGuardCU,SpawnCount" player="current"/> elite Dark Templar at the target location that last for <d ref="Behavior,ShadowGuardTimedLife,Duration" player="current" precision="1"/> seconds.	Envía a <d ref="Effect,ShadowGuardCU,SpawnCount" player="current"/> templarios tétricos de élite que duran <d ref="Behavior,ShadowGuardTimedLife,Duration" player="current" precision="1"/> segundos a la ubicación seleccionada.
Deploys 4 elite Dark Templar at the target location. Shadow Guard can use Shadow Fury, Blink, and Void Shroud abilities.	Envía a 4 templarios tétricos de élite a la ubicación seleccionada. El guardia de las sombras puede usar las habilidades furia de las sombras, traslación y velo del vacío.
The Spear of Adun's Solar Lance sets fire to the ground along its path, dealing <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> extra damage over <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> seconds.	La lanza solar de la Lanza de Adun prende fuego al suelo que recorre, lo que inflige <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> más de daño durante <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> segundos.
Bombards the target area from orbit, firing <d ref="(2 * (Behavior,SOAStrafeAttack,Duration/Behavior,SOAStrafeAttack,Period))"/> random shots over <d ref="Behavior,SOAStrafeAttack,Duration"/> seconds. Each shot deals <d ref="Effect,SOAStrafeAttackDamage,Amount"/> (<d ref="(Effect,SOAStrafeAttackDamage,Amount) + (Effect,SOAStrafeAttackDamage,AttributeBonus[Armored])"/> vs armored units) splash damage.	Bombardea el área seleccionada desde órbita. Lanza <d ref="(2 * (Behavior,SOAStrafeAttack,Duration/Behavior,SOAStrafeAttack,Period))"/> disparos aleatorios durante <d ref="Behavior,SOAStrafeAttack,Duration"/> segundos. Cada disparo inflige <d ref="Effect,SOAStrafeAttackDamage,Amount"/> de daño esparcido (<d ref="(Effect,SOAStrafeAttackDamage,Amount) + (Effect,SOAStrafeAttackDamage,AttributeBonus[Armored])"/> contra unidades blindadas).
Increases the weapon damage of friendly cloaked or burrowed units by <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.DamageDealtFraction[Melee]*100" player="current"/>%. Increases the energy regeneration of friendly cloaked or burrowed units by <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.VitalRegenMultiplier[Energy]*100" player="current"/>%.<n/><n/><c val="ffff8a">Passive ability.</c>	Aumenta un <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.DamageDealtFraction[Melee]*100" player="current"/>% el daño de arma de las unidades amistosas invisibles o enterradas. Aumenta un <d ref="Behavior,VorazunCloakDamageBoostPermanent,Modification.VitalRegenMultiplier[Energy]*100" player="current"/>% la regeneración de energía de las unidades amistosas invisibles o enterradas.<n/><n/><c val="ffff8a">Habilidad pasiva.</c>
Warp in Fenix's <c val="ffff8a">Praetor Armor Suit</c>. While using this suit configuration, Fenix is a powerful melee warrior capable of area attacks and absorbing damage.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground units.</c>	Invoca la <c val="ffff8a">armadura de pretor</c> de Fénix. Con esta configuración, Fénix se convierte en un poderoso guerrero cuerpo a cuerpo capaz de lanzar ataques de área y absorber daño.<n><n>Esta armadura permanecerá activa hasta que la destruyan o se invoque otra armadura.<n><n><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Warp in Fenix's <c val="ffff8a">Cybros Arbiter Suit</c>. While using this suit configuration, Fenix is able to support his army on the field and disable enemy units.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground and air units.</c>	Invoca la <c val="ffff8a">armadura de árbitro de Cybros</c> de Fénix. Con esta configuración, Fénix puede brindar apoyo a su ejército en el campo de batalla y deshabilitar a unidades enemigas.<n><n>Esta armadura permanecerá activa hasta que la destruyan o se invoque otra armadura.<n><n><c val="ffff8a">Puede atacar a unidades aéreas.</c>
<n/><n/><c val="FFFF8A">Mastery:</c> Fenix's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitAttackSpeedDisplayDummy,Amount" precision="1" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta un <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitAttackSpeedDisplayDummy,Amount" precision="1" player="current"/></c>% la velocidad de ataque de Fénix.
<n/><n/><c val="FFFF8A">Mastery:</c> Fenix's offline Energy regen increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitEnergyRegenDisplayDummy,Amount" precision="1" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta un <c val="FFFF8A"><d ref="Effect,MasteryFenixSuitEnergyRegenDisplayDummy,Amount" precision="1" player="current"/></c>% la regeneración de energía cuando Fénix está desconectado.
This suit will remain active until destroyed or another suit is warped in. Armor Suits only regenerate life and energy while not active on the field.	Esta armadura permanecerá activa hasta que la destruyan o se invoque otra armadura. Las armaduras solo regeneran vida y energía cuando Fénix no está activo en el campo de batalla.
Warp in Fenix's <c val="ffff8a">Solarite Dragoon Suit</c>. While using this suit configuration, Fenix can attack at long range and use devastating abilities.<n><n>This suit will remain active until destroyed or another suit is warped in.<n><n><c val="ffff8a">Can attack ground and air units.</c>	Invoca la <c val="ffff8a">armadura de dragón de solarita</c> de Fénix. Con esta armadura, Fénix puede atacar a larga distancia y usar habilidades devastadoras.<n><n>Esta armadura permanecerá activa hasta que la destruyan o se invoque otra armadura.<n><n><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Strafes the target area with 3 laser beams. Each beam deals <d ref="Effect,SOAThermalLanceDamage,Amount"/> damage and sets fire to the ground for <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> extra damage over <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> seconds.	Ataca el área seleccionada con 3 haces láser. Cada haz inflige <d ref="Effect,SOAThermalLanceDamage,Amount"/> de daño y prende fuego al suelo, lo que inflige <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> de daño adicional durante <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> segundos.
Alters space-time, freezing all enemies in place for <d ref="Behavior,SOATimeFreeze,Duration"/> seconds. Unlimited range.	Altera el continuo espacio-tiempo y congela e inmoviliza a todos los enemigos durante <d ref="Behavior,SOATimeFreeze,Duration"/> segundos. Alcance ilimitado.
Creates a Black Hole that pulls in and stuns enemy units. Lasts <d ref="Effect,VoidSentryBlackHolePersistent,PeriodCount*Effect,VoidSentryBlackHolePersistent,PeriodicPeriodArray[0]" precision="1" player="current"/> seconds.	Crea un agujero negro que atrae y aturde a las unidades enemigas. Dura <d ref="Effect,VoidSentryBlackHolePersistent,PeriodCount*Effect,VoidSentryBlackHolePersistent,PeriodicPeriodArray[0]" precision="1" player="current"/> segundos.
Warp Gate research affects Stargates and Robotics Facilities, allowing them to warp units in to any location with Pylon power.	La investigación del portal de distorsión afecta a los portales estelares y a las instalaciones robóticas, y les permite invocar unidades en cualquier ubicación que cuente con la energía de un pilón.
Salvages the structure, removing it and returning 100% of its mineral and gas value. Salvage takes <d time="5"/> to finish. Warning: once Salvage is triggered, it cannot be canceled.	Recicla la estructura, la elimina y devuelve el 100% de su valor de gas y minerales. Reciclar tarda <d time="5"/>. Aviso: una vez que se activa el reciclaje, no se puede cancelar.
Contains upgrades for Scourge and Zerg air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Scourge from Larvae<n/>- Corruptors from Larvae	Tiene mejoras para hostigadores y unidades aéreas zerg.<n/><n/><c val="ffff8a">Permite:</c><n/>- Hostigadores desde larvas<n/>- Envilecedores desde larvas
Scourge Nest enables you to morph Scourge.	El nido de hostigadores te permite mutar hostigadores.
Scourge deal 50% of their attack damage in a small area upon death.	El hostigador inflige un 50% de su daño de ataque en una pequeña área al morir.
Purifier Faction<n/>Versatile high-speed fighter.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Facción de los purificadores<n/>Caza versátil de gran velocidad.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Automated defense unit.	Unidad de defensa automatizada.
Increases the attack range of Lurkers by +3.	Aumenta el alcance de ataque de los merodeadores en 3.
Purifier Faction<n/>Robotic support unit. Can use Protective Field and Phasing mode.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Facción de los purificadores<n/>Unidad robótica de apoyo. Puede usar campo protector y modo fase.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Places a Null Shield on the target enemy unit, preventing the unit's attacks from dealing up to 100 damage for 10 seconds.	Coloca un escudo de anulación en la unidad enemiga seleccionada, lo que anula hasta 100 de daño de sus ataques durante 10 segundos.
Cybernetics Core allows you to warp in Conservators.	El núcleo cibernético te permite invocar conservadores.
Robotic support unit. Can use Chrono Beam and Phasing Mode. Can be upgraded to use Reclamation.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Unidad robótica de apoyo. Puede usar haz cronos y modo fase. Puede mejorarse para usar reconquista.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Robotic support unit. Can use Shield Recharge and Reflective Shield.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Unidad robótica de apoyo. Puede utilizar recarga de escudo y escudo reflectante.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Powerful heroic attack caster. Can Mind Control and Maelstorm enemies.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Poderoso irradiador heroico de combate. Puede usar las habilidades control mental y vorágine.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Attacks no longer decrease in damage with each subsequent bounce.	Ya no se reduce el daño de los ataques con cada rebote consecutivo.
Elite Dark Templar. Can use Shadow Fury, Blink, and Void Shroud abilities.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Templario tétrico de élite. Puede usar las habilidades furia de las sombras, traslación y velo del vacío.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Teleport to target nearby location.	Se teletransporta a una ubicación cercana seleccionada.
Disables the detection of nearby detectors, preventing cloaked allies from being spotted.	Desactiva la capacidad de detección de los detectores cercanos, lo que evita que perciban a los aliados invisibles.
The Shadow Guard is permanently cloaked. Shields recover rapidly while undetected.	El guardia de las sombras es permanentemente invisible. Los escudos se regeneran con rapidez cuando no se lo detecta.
Restores shields to nearby friendly units and structures. Can be upgraded to use Fortification Barrier.	Restaura los escudos de las unidades y estructuras amistosas cercanas. Puede mejorarse para usar barrera de fortificación.
Grants the target structure a Barrier that absorbs up to <d ref="Behavior,ShieldBatteryStructureBarrier,DamageResponse.ModifyLimit"/> damage for <d ref="Behavior,ShieldBatteryStructureBarrier,Duration"/> seconds.	Otorga a la estructura seleccionada una barrera que absorbe hasta <d ref="Behavior,ShieldBatteryStructureBarrier,DamageResponse.ModifyLimit"/> de daño durante <d ref="Behavior,ShieldBatteryStructureBarrier,Duration"/> segundos.
Increases the Heavy Siege Tank's attack range by 1 every 3 seconds while in Siege Mode, up to a maximum of 5 additional range.	Aumenta el alcance de ataque del tanque de asedio pesado en 1 cada 3 segundos mientras está en modo asedio, hasta un máximo de 5 de alcance adicional.
Heavy tank. Can switch into Tank Mode to provide mobile tank support.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Tanque pesado. Puede pasar a modo tanque para aportar apoyo de tanque móvil.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Enhanced heavy tank. Can switch into Tank Mode to provide mobile tank support. Can be upgraded to use Spider Mines.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Tanque pesado mejorado. Puede pasar a modo tanque para aportar apoyo como tanque móvil. Con una mejora puede usar minas araña.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Increases the radius of Shock Cannon's splash damage by 50%.	Aumenta un 50% el radio del daño esparcido de cañón de impacto.
This Siege Tank has been critically damaged. Rebuild it to restore it to full life.	Este tanque de asedio ha sufrido daños críticos. Reconstrúyelo para restaurar su vida al completo.
Enhanced heavy tank. Can switch into Siege Mode to provide long-range artillery support. Can be upgraded to use Spider Mines.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Tanque pesado mejorado. Puede pasar a modo asedio para aportar artillería de apoyo a largo alcance. Con una mejora puede usar minas araña.<n/><n/><c val="FFFF8A">Puede atacar a unidades terrestres.</c>
Deploys into Siege Mode. In this mode Heavy Siege Tanks have very long range and inflict area damage. Heavy Siege Tanks in this mode cannot move or attack targets at close range.	Despliega la unidad en modo asedio. En este modo, los tanques de asedio pesados tienen un alcance muy largo e infligen daño de área, pero no pueden moverse ni atacar objetivos a corta distancia.
Reverts to Tank Mode. In this mode Heavy Siege Tanks can move, but they do less damage.	Vuelve a modo tanque. En este modo, los tanques de asedio pesados pueden moverse, pero infligen menos daño.
Cybernetics Core allows you to warp in Slayers.	El núcleo cibernético te permite invocar exterminadores.
Deals <d ref="(Effect,DehakaMutaliskAirLevel3GlaiveWurmDamage,Amount-Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount)*100/Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount"/>% increased damage against air units.	Inflige un <d ref="(Effect,DehakaMutaliskAirLevel3GlaiveWurmDamage,Amount-Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount)*100/Effect,DehakaMutaliskLevel3GlaiveWurmDamage,Amount"/>% más de daño contra unidades aéreas.
Deals <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> damage to target enemy biological unit.</n></n><c val="#ColorAttackInfo">Mechanical units are immune.</c>	Inflige <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> de daño a las unidades biológicas enemigas seleccionadas.</n></n><c val="#ColorAttackInfo">Las unidades mecánicas son inmunes.</c>
