Amorphous Armorcloud	Amorphe Deckungswolke
Increases Nova's movement speed and allows her to use Blink. Nova cannot cloak while this armor is equipped.	Erhöht Novas Bewegungsgeschwindigkeit und ermöglicht ihr, die Fähigkeit "Transit" einzusetzen. Nova kann sich nicht tarnen, während sie diesen Anzug trägt.
Advanced mobility gear with a jet pack that allows for cliff jumping.	Fortschrittliche Ausrüstung mit Sprungdüsen, die Klippenspringen ermöglicht.
Undetectable explosive drone. Deals heavy damage in a wide radius upon detonation.	Explosive Drohne, die nicht durch Detektoreffekte aufgedeckt werden kann. Verursacht bei Explosion schweren Schaden in einem großen Radius.
Detonates the drone after a <d ref="Behavior,NovaBoombotsTimedLife,Duration"/> second delay, dealing <d ref="Effect,NovaBoombotBoomDamage,Amount"/> (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,Amount"/> vs Structure) damage to all nearby enemy ground units.	Die Drohne explodiert nach <d ref="Behavior,NovaBoombotsTimedLife,Duration"/> Sek. und fügt allen feindlichen Bodeneinheiten in der Nähe <d ref="Effect,NovaBoombotBoomDamage,Amount"/> (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,Amount"/> gegen Gebäude) Schaden zu.
Calls down a Nuclear Strike at a target location. Nukes take <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> seconds to land, but they deal up to <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> damage to enemies in a large radius.	Fordert im Zielgebiet einen Nuklearschlag an. Taktische Nuklearraketen benötigen <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> Sek. bis zum Einschlag und fügen Feinden in einem großen Bereich bis zu <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> Schaden zu.
Deploys a holographic duplicate of Nova that automatically attacks enemy units. The holo decoy lasts for <d ref="Behavior,NovaCoopDecoyTimedLife,Duration"/> seconds.	Erzeugt eine holographische Projektion von Nova, die feindliche Einheiten automatisch angreift. Die Holoattrappe bleibt <d ref="Behavior,NovaCoopDecoyTimedLife,Duration"/> lang bestehen.
Grants Nova detection, allowing her to see and track cloaked and burrowed enemy units.	Gewährt Nova einen Detektoreffekt, durch den sie getarnte und eingegrabene feindliche Einheiten aufspüren kann.
Deploys an undetectable explosive drone that deals <d ref="Effect,NovaBoombotBoomDamage,Amount"/> damage (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]"/> vs Structure) to enemy ground units in the target area.	Platziert eine explosive Drohne, die nicht durch Detektoreffekte aufgedeckt werden kann. Fügt feindlichen Bodeneinheiten im Zielbereich <d ref="Effect,NovaBoombotBoomDamage,Amount"/> (<d ref="Effect,NovaBoombotBoomDamage,Amount+Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]"/> gegen Gebäude) Schaden zu.
Boombots currently equipped.	Sprengbots sind derzeit ausgerüstet.
Flashbang Grenades currently equipped.	Blendgranaten sind derzeit ausgerüstet.
Pulse Grenades currently equipped.	Impulsgranaten sind derzeit ausgerüstet.
Super Stim currently equipped.	Super-Stimpack ist derzeit ausgerüstet.
Obliterate a group of enemies with a pulse of psionic energy dealing 50 damage	Vernichtet eine Gruppe Gegner mit einem Impuls psionischer Energie, der 50 Schaden verursacht.
Calls down the Griffin to deal <d ref="Effect,NovaGriffinBombingRunDamage,Amount"/> damage to all targets in its flight path after a short delay.	Fordert die Griffin an. Fügt allen Zielen auf ihrer Flugbahn nach einer kurzen Verzögerung <d ref="Effect,NovaGriffinBombingRunDamage,Amount"/> Schaden zu.
Instantly transports friendly units in the target area to a targeted location.	Transportiert verbündete Einheiten im anvisierten Bereich sofort zur ausgewählten Zielposition.
Increases Nova's life regeneration rate.	Erhöht Novas Trefferpunktregenerationsrate.
Nova is recovering within this stasis shell.	Nova erholt sich in dieser Stasishülle.
Instantly revives Nova at the target location. Resource cost is determined by the amount of time remaining.</n></n><c val="#ColorAttackInfo">Cannot bypass the initial cooldown at the start of the mission.</c>	Belebt Nova sofort am Zielort wieder. Die Ressourcenkosten hängen von der verbleibenden Zeit bis zur regulären Wiederbelebung ab.</n></n><c val="#ColorAttackInfo">Die anfängliche Abklingzeit zu Beginn der Mission kann nicht übersprungen werden.</c>
Reduces the cooldown of Stealth Mode and Assault Mode by 15 seconds. Nova gains maximum energy when switching modes.</n></n>Switching to Stealth Mode grants temporary invulnerability and switching to Assault Mode grants a temporary bonus to damage dealt.	Verringert die Abklingzeit der Tarn- und der Kampfausrüstung um 15 Sek. Nova erhält 100% Energie, wenn sie die Ausrüstung wechselt.</n></n> Der Wechsel zur Tarnausrüstung macht sie vorübergehend unverwundbar. Der Wechsel zur Kampfausrüstung erhöht vorübergehend Novas Schaden.
Increases Nova's movement speed and allows her to use Penetrating Blast and Blink.</n></n><c val="#ColorAttackInfo">Equips Nova to attack ground units within a wide arc.</c>	Erhöht Novas Bewegungsgeschwindigkeit und ermöglicht ihr den Einsatz der Fähigkeiten "Durchbohrendes Feuer" und "Transit".</n></n><c val="#ColorAttackInfo">Ermöglicht Nova, Bodeneinheiten in einem großen kegelförmigen Bereich anzugreifen.</c>
Increases Nova's movement speed and allows her to use Penetrating Blast and Blink. Nova deals <d ref="Behavior,NovaDoubleDamage,Modification.DamageDealtFraction[Ranged]*100"/>% additional damage for <d ref="Behavior,NovaDoubleDamage,Duration"/> seconds after activation.</n></n><c val="#ColorAttackInfo">Equips Nova to attack ground units within a wide arc.</c>	Erhöht Novas Bewegungsgeschwindigkeit und ermöglicht ihr, die Fähigkeiten "Durchbohrendes Feuer" und "Transit" einzusetzen. Nova verursacht nach der Aktivierung <d ref="Behavior,NovaDoubleDamage,Duration"/> Sek. lang <d ref="Behavior,NovaDoubleDamage,Modification.DamageDealtFraction[Ranged]*100"/>% zusätzlichen Schaden.</n></n><c val="#ColorAttackInfo">Ermöglicht Nova, Bodeneinheiten in einem großen kegelförmigen Bereich anzugreifen.</c>
Permanently cloaks Nova and allows her to use Snipe and Sabotage Drone.</n></n><C val="#ColorAttackInfo">Equips Nova to attack air and ground units.	Tarnt Nova dauerhaft und ermöglicht ihr den Einsatz der Fähigkeiten "Scharfschütze" und "Sabotagedrohne".</n></n><C val="#ColorAttackInfo">Ermöglicht Nova, Boden- und Lufteinheiten anzugreifen.
Permanently cloaks Nova and allows her to use Snipe and Sabotage Drone. Nova is invulnerable to damage for <d ref="Behavior,NovaInvulnerability,Duration"/> seconds after activation.</n></n><c val="#ColorAttackInfo">Equips Nova to attack air and ground units. </c>	Tarnt Nova dauerhaft und ermöglicht ihr, die Fähigkeiten "Scharfschütze" und "Sabotagedrohne" einzusetzen. Nach Aktivierung ist Nova <d ref="Behavior,NovaInvulnerability,Duration"/> Sek. lang unverwundbar.</n></n><c val="#ColorAttackInfo">Ermöglicht Nova, Boden- und Lufteinheiten anzugreifen.</c>
Stuns and disables the detection of mechanical units hit by the Strike Goliath's anti-air attacks for <d ref="Behavior,NovaUnitLockdown,Duration"/> seconds. <n/><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	Betäubt mechanische Einheiten, die von den Luftabwehrangriffen des Taktischen Goliaths getroffen werden, <d ref="Behavior,NovaUnitLockdown,Duration"/> Sek. lang und verhindert ihre Detektorfähigkeiten.<n/><n/><c val="#ColorAttackInfo">Heroische Ziele sind dagegen immun.</c>
Calls down a Nuclear Strike at the target location, dealing <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> damage in a large radius after <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> seconds.<n/><n/><c val="#ColorAttackInfo">Does not damage friendly units or structures.</c>	Fordert im Zielgebiet einen Nuklearschlag an, der nach <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> Sek. in einem großen Radius <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> Schaden verursacht.<n/><n/><c val="#ColorAttackInfo">Fügt verbündeten Einheiten und Gebäuden keinen Schaden zu.</c>
Fire a psi-charged bullet at long range dealing 125 damage.	Feuert eine mit Psi geladene Kugel, die auf große Entfernung 125 Schaden verursacht.
Deals <d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref ="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> vs Light) damage to enemy ground units in a wider arc.</n></n><c val ="#ColorAttackInfo">Does not damage friendly units.</c>	Fügt Gegnern <d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref ="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> gegen leichte Einheiten) Schaden in einem breiteren Kegel zu.</n></n><c val ="#ColorAttackInfo">Fügt verbündeten Einheiten keinen Schaden zu.</c>
Hellfire Shotgun currently equipped.	Infernoschrotflinte ist derzeit ausgerüstet.
Deals <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> damage to target enemy ground or air unit from long range.<n/></n><c val = "#ColorAttackInfo">Can target biological and mechanical units.</c>	Fügt anvisierten feindlichen Boden- oder Lufteinheiten aus großer Entfernung <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> Schaden zu.<n/></n><c val = "#ColorAttackInfo">Kann biologische und mechanische Einheiten anvisieren.</c>
Deals <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> damage to target enemy ground or air unit from long range. Killing a unit with this ability refunds 50% of its energy cost.<n/></n><c val = "#ColorAttackInfo">Can target biological and mechanical units.	Fügt anvisierten feindlichen Boden- oder Lufteinheiten aus großer Entfernung <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> Schaden zu. Wenn eine Einheit mit dieser Fähigkeit getötet wird, werden 50% der Energiekosten zurückerstattet.<n/></n><c val = "#ColorAttackInfo">Kann biologische und mechanische Einheiten anvisieren.
Improved Canister Rifle currently equipped.	Verbessertes Kanistergewehr ist derzeit ausgerüstet.
Dashes forward and deals <d ref="Effect,NovaWeaponPsiBladeDamage,Amount"/> damage to enemy ground units in a straight line.</n></n><c val ="#ColorAttackInfo">Does not damage friendly units.</c>	Nova stürmt vorwärts und fügt gegnerischen Bodeneinheiten in einer geraden Linie <d ref="Effect,NovaWeaponPsiBladeDamage,Amount"/> Schaden zu.</n></n><c val ="#ColorAttackInfo">Fügt verbündeten Einheiten keinen Schaden zu.</c>
Monomolecular Blade currently equipped.	Monomolekulare Klinge ist derzeit ausgerüstet.
Allows you to re-quip Nova with equipment you have researched.	Ermöglicht es, Nova erneut mit erforschter Technologie auszurüsten.
Calls down a Nuclear Strike at a target location. Nukes take <d ref="Effect,NukePersistent,PeriodCount * Effect,NukePersistent,PeriodicPeriodArray[0]"/> seconds to land, but they deal up to 300 (+200 vs. structures) damage to enemies in a large radius.<n/><n/>Purchase charges at the Ghost Academy.	Fordert im Zielgebiet einen Nuklearschlag an. Taktische Nuklearraketen benötigen <d ref="Effect,NukePersistent,PeriodCount * Effect,NukePersistent,PeriodicPeriodArray[0]"/> Sekunden bis zum Einschlag, fügen Feinden in einem großen Bereich aber bis zu 300 Schaden (+200 gegen Gebäude) zu.<n/><n/>Aufladungen können in der Ghost-Akademie erworben werden.
Friendly ground units can use a Nydus Worm to instantly travel to any other Nydus Worm or Nydus Network owned by the player. Grows creep used to feed nearby Zerg structures.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>	Befreundete Bodeneinheiten können einen Nyduswurm benutzen, um schnell zu einem anderen Nyduswurm oder Nydusnetzwerk des Spielers zu reisen. Erzeugt Kriecher, der Zerg-Strukturen in der Nähe ernährt.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg bewegen sich schneller auf Kriecher.</c>
Loads units into the Omega Network.	Lädt Einheiten in das Omeganetzwerk.
Deals <d ref="Effect,NydusDestroyerBeamDamage,Amount * (1 / Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0])"/> damage per second to the target unit for <d ref="Effect,NydusDestroyerBeamCP,PeriodCount * Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0]"/> seconds.	Fügt der Zieleinheit <d ref="Effect,NydusDestroyerBeamDamage,Amount * (1 / Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0])"/> Schaden pro Sekunde zu. Hält <d ref="Effect,NydusDestroyerBeamCP,PeriodCount * Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0]"/> Sek. lang an.
Purifier Faction<n/>Flying spy. Cloak renders the unit invisible to enemies without detection.<n/><n/><c val="FFE303">Detector</c>	Fraktion: Richter<n/>Fliegende Spionageeinheit. Permanente Tarnung macht die Einheit unsichtbar gegenüber Feinden ohne Detektoreigenschaften.<n/><n/><c val="FFE303">Detektor</c>
Flying spy. Cloak renders the unit invisible to enemies without detection. Can use Surveillance Mode.<n/><n/><c val="FFE303">Detector</c>	Fliegende Spionageeinheit. Permanente Tarnung macht die Einheit unsichtbar gegenüber Feinden ohne Detektoreigenschaften. Kann den Überwachungsmodus einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Flying spy. Cloak renders the unit invisible to enemies without detection. Can use Observer Mode.<n/><n/><c val="FFE303">Detector</c>	Fliegende Spionageeinheit. Permanente Tarnung macht die Einheit unsichtbar gegenüber Feinden ohne Detektoreigenschaften. Kann den Beobachtermodus einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Fires a barrage of shells at an area, inflicting <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageDamage,Amount"/> damage over <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageCP,PeriodicPeriodArray[0]"/> seconds.<n/><n/><c val="#ColorAttackInfo">Can hit ground units and structures.</c>	Feuert eine Salve Granaten auf einen Zielbereich. Verursacht im Verlauf von <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageDamage,Amount"/> Schaden.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten und Gebäude angreifen.</c>
The Odin is a massive siege walker capable of leveling entire cities.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Der Odin ist ein schwerer Angriffs-Kampfläufer, der ganze Städte in Schutt und Asche legen kann.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
Loads units into the Omega Worm.	Lädt Einheiten in den Omegawurm.
Friendly ground units can use the Omega Network to instantly travel to any other Omega Network or Omega Worm owned by the player.<n/><n/><c val="ffff8a">Enables:</c><n/>- Omega Worm	Befreundete Bodeneinheiten können ein Omeganetzwerk benutzen, um schnell zu einem anderen Omeganetzwerk oder Omegawurm des Spielers zu reisen.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Omegawurm
Flying Caster. Can use Stasis Ward.<n/><n/><c val="ffff8a">Can attack ground units.</c><n/><c val="FFE303">Detector</c>	Fliegende Spezialeinheit. Kann die Fähigkeit "Stasisfalle" einsetzen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c><n/><c val="FFE303">Detektor</c>
Places a cloaked Stasis Ward at the target location. Once activated by an enemy ground unit, the ward stuns them for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds.	Platziert eine getarnte Stasisfalle am Zielort. Wird sie von einer gegnerischen Bodeneinheit ausgelöst, betäubt sie diese Einheit <d ref="Behavior,OracleStasisTrapTarget,Duration"/> Sek. lang.
Upgrades Command Center to an Orbital Command, unlocking Scanner Sweep and Calldown: MULE. Cannot load SCVs.	Kommandozentrale zu Satellitenzentrale ausbauen, wodurch die Fähigkeit "Scannersuche" eingesetzt sowie M.U.L.E.s angefordert werden können. Kann keine WBFs einladen.
Improved Supply Depot. Can be instantly deployed from orbit without using an SCV.	Verbessertes Versorgungsdepot. Kann sofort aus dem Orbit eingesetzt werden. Erfordert kein WBF.
Barracks, Factory, and Starport units are delivered directly to the structure’s Rally Point.	Einheiten aus der Kaserne, der Fabrik oder dem Raumhafen werden direkt am Sammelpunkt des jeweiligen Gebäudes abgeliefert.
Order Payload to retreat back to home base.	Befiehlt der Fracht, sich zur Heimatbasis zurückzuziehen.
Order Payload to move to it's destination.	Befiehlt der Fracht, sich zum Zielpunkt zu bewegen.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use Oversight.<n/><n/><c val="FFE303">Detector</c>	Fortgeschrittene Luftüberwachungseinheit. Bietet dieselbe Versorgung wie der Overlord. Kann die Fähigkeit "Spionage" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Calls down a Nuclear Strike at the target location, dealing <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> damage in a large radius after <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> seconds.</n></n><c val="#ColorAttackInfo">Can only be used in Stealth Mode.</c>	Fordert im Zielgebiet einen Nuklearschlag an, der nach <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> Sek. in einem großen Radius <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> Schaden verursacht.</n></n><c val="#ColorAttackInfo">Kann nur in Tarnausrüstung verwendet werden.</c>
Reduces the damage enemies deal to the Supplicant's shields.	Verringert den Schaden, den Gegner den Schilden der Heloten zufügen.
Spawning Pool allows you to mutate Drones into Bile Launchers.	Der Brutschleimpool ermöglicht die Mutation von Drohnen zu Gallschleudern.
Hellbats deal +15 damage to light units in both modes.	Kampfhellions fügen leichten Einheiten in beiden Modi +15 Schaden zu.
Hellbat Rangers deal +15 damage to light units in both modes.	Ranger-Kampfhellions fügen leichten Einheiten in beiden Modi +15 Schaden zu.
[ph]Allied units in the aura have a 33% chance to ignore 2 damage from any source.	Verbündete Einheiten in der Nähe haben eine Chance von 33%, den Schaden aus jeder Quelle um 2 zu verringern.
[ph] When a unit affected by this aura takes damage, the attacker takes N% of that damage.	Einheiten innerhalb dieser Aura werfen N% des erlittenen Schadens auf den Angreifer zurück.
[ph] Units affected by this aura regenerate life as they attack.	Einheiten innerhalb dieser Aura stellen mit jedem Angriff eigene Trefferpunkte wieder her.
[ph] Units affected by this aura gain increased energy regeneration.	Erhöht die Energieregeneration von Einheiten innerhalb dieser Aura.
[ph] Units affected by this aura gain increased movement speed and life regeneration.	Erhöht die Bewegungsgeschwindigkeit und die Trefferpunktregeneration von Einheiten innerhalb dieser Aura.
Factory allows you to build Perdition Turrets.	Die Fabrik ermöglicht den Bau von Infernotürmen.
Factory allows you to build Flaming Bettys.	Die Fabrik ermöglicht den Bau von Heißen Bettys.
The Corsair is permanently cloaked.	Der Korsar ist permanent getarnt.
The Kel-Morian Worker is permanently cloaked.	Der kel-morianische Arbeiter ist permanent getarnt.
The Oracle is permanently cloaked.	Das Orakel ist dauerhaft getarnt.
The Xel'Naga Watcher is permanently cloaked.	Der Xel'Naga-Wächter ist dauerhaft getarnt.
Air-superiority fighter. Can Graviton two enemy units simultaneously.<n/><n/><c val="ffff8a">Can attack air units.</c>	Luftüberlegenheitsjäger. Kann die Fähigkeit "Gravitonstrahl" gleichzeitig auf zwei Gegner anwenden.<n/><n/><c val="ffff8a">Kann Lufteinheiten angreifen.</c>
Makes the target unit along with another nearby enemy unit float in the air, disabling their abilities. Effect lasts up to <d time="10"/>.<n/><n/><c val="#ColorAttackInfo">Massive units are immune.</c>	Hebt die Zieleinheit und eine weitere gegnerische Einheit in der Nähe in die Luft und verhindert so den Einsatz ihrer Fähigkeiten. Der Effekt hält bis zu <d time="10"/> lang an.<n/><n/><c val="#ColorAttackInfo">Massive Einheiten sind dagegen immun.</c>
Air superiority starfighter. Can use Graviton Beam and can be upgraded to use Phasing Armor.<n/><n/><c val="ffff8a">Can attack air units.</c>	Luftüberlegenheitsjäger. Kann die Fähigkeit "Gravitonstrahl" und nach Upgrade "Phasenpanzerung" einsetzen.<n/><n/><c val="ffff8a">Kann Lufteinheiten angreifen.</c>
Primary defensive structure.<n/><n/><c val="ffff8a">Can attack ground and air units.</c><n/><c val="FFE303">Detector</c>	Primäres Verteidigungsgebäude.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c><n/><c val="FFE303">Detektor</c>
Energizes the target Pylon's khaydarin crystal, turning it into a long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Energetisiert den Khaydarin-Kristall des anvisierten Pylons und gewährt ihm <d ref="Behavior,Purify,Duration[0]"/> Sek. lang eine Langstreckenwaffe, die <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> Schaden verursacht.
Player 1 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>	Spieler 1 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>Spieler 2 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>
Player 1 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	Spieler 1 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Spieler 2 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
This item can be collected.	Dieser Gegenstand kann aufgesammelt werden.
Player 1 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	Spieler 1 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Spieler 2 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
Deploys a drone to target a unit and track them briefly. It will then target the ground and after a tiny delay do heavy damage in a small area.	Setzt eine Drohne ein, die kurzzeitig eine Einheit verfolgt. Danach visiert sie den Boden an und verursacht nach kurzer Verzögerung schweren Schaden in einem kleinen Bereich.
Uses a laser to shoot down enemy missiles.  <n/>Cannot target special attacks. <n/>Times out after <d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/> seconds.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Schießt mit einem Laser feindliche Projektile ab.<n/>Kann keine Spezialangriffe anvisieren.<n/>Bleibt <d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/> Sek. lang aktiv.<n/><n/><c val="f078ff">Jeder Schuss verbraucht 10 Energie.</c>
Allows this unit to teleport to a nearby target location. Xel'Naga Ambushers will automatically teleport to safety once their hulls have been breached.	Ermöglicht dieser Einheit, sich über kurze Distanzen zu teleportieren. Xel'Naga-Lauerer teleportieren sich automatisch in Sicherheit, wenn ihr Exoskelett Schaden erleidet.
Murvar's Den allows you to evolve Primal Guardian.	Murvars Bau ermöglicht das Entwickeln von Urwächtern.
Murvar's Den allows you to spawn Primal Hosts.	Murvars Bau ermöglicht das Erschaffen von Urwirten.
Glevig's Den allows you to spawn Primal Hydralisks.	Glevigs Bau ermöglicht das Erschaffen von Urhydralisken.
Glevig's Den allows you to evolve Primal Igniters.	Glevigs Bau ermöglicht das Entwickeln von Urfeuerschaben.
Glevig's Den allows you to evolve Primal Impalers.	Glevigs Bau ermöglicht das Entwickeln von Urpfählern.
Murvar's Den allows you to evolve Primal Mutalisks.	Murvars Bau ermöglicht das Entwickeln von Urmutalisken.
Kerrigan leaps to her target and deals <d ref="Effect,PrimalSlash,Amount"/> damage. Can be used without a target to travel quickly.	Kerrigan springt auf ihr Ziel zu und fügt ihm <d ref="Effect,PrimalSlash,Amount"/> Schaden zu. Kann ohne ein Ziel eingesetzt werden, um sich schnell fortzubewegen.
Dakrun's Den allows you to spawn Primal Ultralisks.	Dakruns Bau ermöglicht das Erschaffen von Urultralisken.
Glevig's Den allows you to summon Primal Wurms.	Glevigs Bau ermöglicht das Herbeirufen von Urwürmern.
Shows the location of or unearths a hidden Xel'Naga Artifact Fragment.	Zeigt die Position eines Xel'Naga-Artefaktbruchstücks an oder bringt es ans Licht.
Upgrades the armor of all Protoss units.	Verbessert die Panzerung aller Protoss-Einheiten.
Further upgrades the armor of all Protoss units.	Verbessert die Panzerung aller Protoss-Einheiten noch weiter.
Maximizes the armor of all Protoss units.	Maximiert die Panzerung aller Protoss-Einheiten.
Upgrades the damage dealt by all Protoss units.	Erhöht den verursachten Schaden aller Protoss-Einheiten.
Further upgrades the damage dealt by all Protoss units.	Erhöht den verursachten Schaden aller Protoss-Einheiten noch weiter.
Maximizes the damage dealt by all Protoss units.	Maximiert den verursachten Schaden aller Protoss-Einheiten.
Creates a storm of psionic energy that lasts <d time="4"/>, causing up to <d ref="Effect,PsiStormDamage,Amount*(Effect,PsiStormPersistent,PeriodCount+2)"/> damage to all enemy units in the target area. Does not damage friendly units.	Erzeugt einen Sturm aus Psi-Energie, der <d time="4"/> lang anhält und allen gegnerischen Einheiten im Zielgebiet bis zu <d ref="Effect,PsiStormDamage,Amount*(Effect,PsiStormPersistent,PeriodCount+2)"/> Schaden zufügt. Fügt verbündeten Einheiten keinen Schaden zu.
Creates a storm of psionic energy that lasts <d time="4"/>, causing up to 80 damage to all enemy units in the target area. Does NOT damage friendly units.<n/><n/><c val="f078ff">Restores <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/> shields to friendly units in the target area.<c/>	Erzeugt einen Sturm aus Psi-Energie, der <d time="4"/> lang anhält und allen gegnerischen Einheiten im Zielgebiet bis zu 80 Schaden zufügt. Fügt verbündeten Einheiten KEINEN Schaden zu.<n/><n/><c val="f078ff">Stellt bei verbündeten Einheiten im Zielgebiet <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/> Schildpunkte wieder her.<c/>
