Amorphous Armorcloud	Nimboarmadura amorfa
Deals <d ref="Effect,DehakaSwipeDamage,Amount"/> damage in a half circle in front of Dehaka.	Inflige <d ref="Effect,DehakaSwipeDamage,Amount"/> de daño en un área semicircular frente a Dehaka.
Primal Zerg units spawn in the safety of the cocoons.	Las unidades zerg primigenias se engendran resguardadas en estos capullos.
Grants nearby friendly units <d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/> armor.	Otorga <d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/> de armadura a las unidades aliadas cercanas.
Unleash a Barrage of Spikes, dealing <d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/> damage to enemy ground and air units around the Tyrannozor.	Libera una Andanada de púas que inflige <d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/> de daño a las unidades enemigas aéreas y terrestres alrededor del Tiranozor.
Heavy assault beast. Can charge at a target, dealing area damage and knocking back enemy units.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bestia de asalto pesado. Puede cargar contra un objetivo, infligir daño de área y expulsar a las unidades enemigas.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
Heavy assault beast. Has an area-damage attack. Can combat another Primal Ultralisk to evolve.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bestia de asalto pesado que tiene ataque con daño de área. Puede combatir contra otro Ultralisco primigenio para evolucionar.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
Melee attacks have a <d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>% chance to stun.	Los ataques de melé tienen un <d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>% de probabilidad de aturdir.
Charge to target location knocking back units in the area and dealing <d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/> damage.	Carga hacia la ubicación objetivo, expulsa a las unidades en el área y les inflige <d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/> de daño.
Two Primal Ultralisks battle and the survivor evolves into Tyrannozor.<n/><n/>Heavy assault beast. Has a ground area-damage attack.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Dos Ultraliscos primigenios combaten y el sobreviviente evoluciona en un Tiranozor.<n/><n/>Bestia de asalto pesado. Tiene ataque con daño de área terrestre.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
Heavy assault beast. Has a ground area-damage attack.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Bestia de asalto pesado. Tiene ataque con daño de área terrestre.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
This unit regenerates life quickly when out of combat.	Esta unidad regenera vida rápidamente cuando está fuera de combate.
Fast melee creature. Can combat another Primal Zergling to evolve.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Criatura de melé rápida. Puede combatir contra otro Zerguezno primigenio para evolucionar.<n/><n/><c val="FFFF8A">Ataca a unidades terrestres.</c>
Spider Mines pursue enemy units that come in range, and detonate for heavy area damage. Buried Spider Mines can only be seen by enemy detectors.	Las Minas araña persiguen a las unidades enemigas que se aproximan e infligen un gran daño de área cuando explotan. Solo los detectores enemigos ven las Minas araña enterradas.
The Scourge detonates at its current location and damages all nearby enemy air units.	El Azote se detona en la ubicación actual y daña a todas las unidades aéreas enemigas cercanas.
Powerful anti-air flying unit. Can use Corrosive Acid.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Poderosa unidad voladora antiaérea. Puede usar la habilidad Ácido corrosivo.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades aéreas.</c>
Devourer attacks will now deal area damage.	Ahora los ataques del Devorador infligen daño de área.
Greater Spire enables you to morph Devourers from Mutalisks.	La Espira mayor permite que los Mutaliscos se transformen en Devoradores.
Infested Diamondbacks leave behind a trail of acid when moving that deals <d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/> damage per second to enemy units.	Los Kataris infestados dejan una estela de ácido al moverse que inflige <d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/> de daño por segundo a las unidades enemigas.
Prevents Scourge from automatically targeting structures. Scourge can still be explicitly ordered to attack structures.	Impide que el Azote seleccione automáticamente a las estructuras como objetivo, pero se le puede ordenar de forma explícita que ataque estructuras.
Prevents Scourge from automatically targeting structures. Scourge can still be explicitly ordered to attack structures.<n/><n/>Scourge deal <d ref="(Effect,ZagaraSuicideDamage,Amount)"/> damage to structures.	Impide que el Azote seleccione automáticamente a las estructuras como objetivo, pero se le puede ordenar de forma explícita que ataque estructuras.<n/><n/>El Azote inflige <d ref="(Effect,ZagaraSuicideDamage,Amount)"/> de daño a estructuras.
Prevents Volatile Infested units from automatically targeting structures. Volatile Infested units can still be explicitly ordered to attack structures.<n/><n/>Volatile Infested units deal <d ref="(Effect,HotSBanelingExplodeLargeDirect,Amount) + (Effect,HotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> damage to structures.	Impide que los Infestados volátiles seleccionen automáticamente estructuras como objetivo. Se les puede ordenar explícitamente a los Infestados volátiles que ataquen estructuras.<n/><n/>Los Infestados volátiles infligen <d ref="(Effect,HotSBanelingExplodeLargeDirect,Amount) + (Effect,HotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> de daño a las estructuras.
Prevents Banelings from automatically targeting structures. Banelings can still be explicitly ordered to attack structures.<n/><n/>Banelings deal <d ref="(Effect,ZagaraHotSBanelingExplodeLargeDirect,Amount) + (Effect,ZagaraHotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> damage to structures.	Impide que los Uetzis ataquen automáticamente a las estructuras, pero se les puede ordenar de forma explícita que las ataquen.<n/><n/>Los Uetzis infligen <d ref="(Effect,ZagaraHotSBanelingExplodeLargeDirect,Amount) + (Effect,ZagaraHotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> de daño a estructuras.
Wraiths move <d ref="(Behavior,CloakDistortionField,Modification.MoveSpeedMultiplier-1)*100"/>% faster and evade <d ref="Behavior,CloakDistortionField,DamageResponse.Chance*100"/>% of incoming attacks while cloaked.	Las Ánimas se mueven un <d ref="(Behavior,CloakDistortionField,Modification.MoveSpeedMultiplier-1)*100"/>% más rápido y evaden el <d ref="Behavior,CloakDistortionField,DamageResponse.Chance*100"/>% de los ataques recibidos mientras están camufladas.
Permanently cloaks the Disruptor.	Camufla al Disruptor permanentemente.
Purifier Faction<n/>Robotic disruption unit. Can use Purification Nova to deal heavy area damage.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Facción de los Purificadores<n/>Unidad de disrupción robótica. Puede usar Nova purificadora para infligir una gran cantidad de daño de área.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
Purification Nova explodes again after <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/> seconds, dealing <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/> damage in a larger area.	La Nova purificadora vuelve a explotar después de <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/> segundos e inflige <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/> de daño en un área más grande.
Download a backup of Garudion's AI.	Descarga una copia de seguridad de la IA de Garudión.
Download a backup of Cipion's AI.	Descarga una copia de seguridad de la IA de Cipión.
Download a backup of Olaeria's AI.	Descarga una copia de seguridad de la IA de Oleria.
Download a backup of Ashredar's AI.	Descarga una copia de seguridad de la IA de Ashredar.
Download a backup of Damius's AI.	Descarga una copia de seguridad de la IA de Damius.
Download a backup of Aldrion's AI.	Descarga una copia de seguridad de la IA de Aldrion.
Ranged assault strider. Has enhanced life and attack damage.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de asalto de largo alcance. Tiene vida mejorada e inflige más daño.<n/><n/><c val="ffff8a">Ataca unidades terrestres y aéreas.</c>
Attack with the Drakken Laser Drill. Deals 20 damage per second and has unlimited range.	Ataca con el Taladro láser Drakken. Inflige 20 de daño por segundo y tiene alcance ilimitado.
Deals <d ref="Effect,DrakkenLaserDrillBFGDamage,Amount" player="current"/> damage to enemy units and structures in a line across the entire map.	Inflige <d ref="Effect,DrakkenLaserDrillBFGDamage,Amount" player="current"/> de daño a las unidades y estructuras enemigas ubicadas en una línea que atraviesa todo el mapa.
174 gigawatt laser bore. The power of the sun at your fingertips.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Láser con 174 gigavatios de potencia. El poder del sol en tus manos.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
Increases the energy regeneration rate by 100% and reduces time to acquire target by 50%.	Aumenta un 100% la velocidad de regeneración de energía y reduce un 50% la cantidad de tiempo necesaria para adquirir un objetivo.
Deals <d ref="Effect,DrakkenLaserDrillNukeCP,PeriodCount * Effect,DrakkenLaserDrillNukeDamage,Amount"/> damage to enemy units and structures in the target area.	Inflige <d ref="Effect,DrakkenLaserDrillNukeCP,PeriodCount * Effect,DrakkenLaserDrillNukeDamage,Amount"/> de daño a las unidades y estructuras enemigas que están en el área objetivo.
Grants the Laser Drill map-wide range and increases damage by 200% for <d ref="Behavior,DrakkenLaserDrillPowerUp,Duration"/> seconds.	Permite que el Taladro láser dispare a todo el mapa y aumenta su daño un 200% durante <d ref="Behavior,DrakkenLaserDrillPowerUp,Duration"/> segundos.
Deals <d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/> damage to shields and depletes the energy of enemy units in the target area. Cloaked units are revealed for <d ref="Behavior,EMPDecloak,Duration"/> seconds after being hit.	Inflige <d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/> de daño a los escudos y drena la energía de las unidades enemigas en el área objetivo. Las unidades camufladas quedan reveladas durante <d ref="Behavior,EMPDecloak,Duration"/> segundos después de que las impactan.
NOT USED. 8 Merc Medics drops on top of enemies, casting Super Heal ability upon landing.	NOT USED. 8 Merc Medics drops on top of enemies, casting Super Heal ability upon landing.
NOT USED. Provides supply.<n/>Supply allows you to create more units.<n/>Supply Depots can be lowered to allow units to walk over them.	NOT USED. Provides supply.<n/>Supply allows you to create more units.<n/>Supply Depots can be lowered to allow units to walk over them.
Allows Scourge to automatically target structures.	Permite que el Azote seleccione automáticamente a las estructuras como objetivo.
Allows Scourge to automatically target structures.<n/><n/>Scourge deal <d ref="Effect,ZagaraSuicideDamage,Amount,Amount"/> damage to structures.	Permite que el Azote seleccione automáticamente a las estructuras como objetivo.<n/><n/>El Azote inflige <d ref="Effect,ZagaraSuicideDamage,Amount,Amount"/> de daño a estructuras.
Allows Volatile Infested units to automatically target structures.<n/><n/>Volatile Infested deal <d ref="(Effect,HotSBanelingExplodeLargeDirect,Amount) + (Effect,HotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> damage to structures.	Permite que los Infestados volátiles seleccionen automáticamente estructuras como objetivo.<n/><n/>Los Infestados volátiles infligen <d ref="(Effect,HotSBanelingExplodeLargeDirect,Amount) + (Effect,HotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> de daño a las estructuras.
Allows Banelings to automatically target structures.<n/><n/>Banelings deal <d ref="(Effect,ZagaraHotSBanelingExplodeLargeDirect,Amount) + (Effect,ZagaraHotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> damage to structures.	Permite que los Uetzis seleccionen automáticamente a las estructuras como objetivo.<n/><n/>Los Uetzis infligen <d ref="(Effect,ZagaraHotSBanelingExplodeLargeDirect,Amount) + (Effect,ZagaraHotSBanelingExplodeLargeDirect,AttributeBonus[Structure])"/> de daño a estructuras.
Temporarily takes control of target enemy mechanical unit. Reclaimed units self-destruct after <d ref="Behavior,SentryReclamation,Duration"/> seconds.	Toma el control de la unidad mecánica enemiga objetivo temporalmente. Las unidades capturadas se autodestruyen luego de <d ref="Behavior,SentryReclamation,Duration"/> segundos.
Marks a target area on the ground. After <d ref="Abil,ZeratulEntropicBlastCyan,PrepTime[0]"/> seconds, the Avatar of Form deals <d ref="Effect,ZeratulEntropicBlastCyanDamage,Amount"/> damage and summons <d ref="Effect,ZeratulEntropicBlastCyanImpactCU,SpawnCount"/> Xel'Naga Charged Crystals at the target location.	Marca un área objetivo en el suelo. Después de <d ref="Abil,ZeratulEntropicBlastCyan,PrepTime[0]"/> segundos, el Avatar de forma inflige <d ref="Effect,ZeratulEntropicBlastCyanDamage,Amount"/> de daño e invoca <d ref="Effect,ZeratulEntropicBlastCyanImpactCU,SpawnCount"/> Cristales cargados Xel'Naga en la ubicación objetivo.
Friendly units around the Avatar of Essence will continuously evolve, gaining attack speed and damage resistance over time.	Las unidades aliadas que están alrededor del Avatar de esencia evolucionarán constantemente y obtendrán velocidad de ataque y resistencia al daño con el tiempo.
Contains upgrades for Zerg ground units and Zerg hero units.	Contiene mejoras para las unidades zerg terrestres y heroicas.
Creep Tumors can cast Ensnare.	Los Tumores de talo pueden lanzar Atrapar.
Allows <c val="ffff8a">Swarm Hosts</c> to quickly burrow to any visible location on the map.	Permite que los <c val="ffff8a">Huéspedes del Enjambre</c> se muevan bajo tierra hasta cualquiera ubicación visible del mapa.
Swarm Hosts generate creep while burrowed.	Los Huéspedes del Enjambre generan talo mientras están enterrados.
[NYI] All friendly units return 1 damage back to attackers.	[NYI] All friendly units return 1 damage back to attackers.
<c val="ffff8a">Aberrations</c> grant <d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>% damage reduction to units positioned beneath them.	Las <c val="ffff8a">Aberraciones</c> otorgan un <d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>% de reducción de daño a las unidades que están ubicadas debajo de ellas.
<c val="ffff8a">Roach</c> gains +<d ref="Behavior,RoachShield,Modification[0].LifeArmorBonus"/> armor when life is under 50%.	La <c val="ffff8a">Cucaracha</c> obtiene +<d ref="Behavior,RoachShield,Modification[0].LifeArmorBonus"/> de armadura cuando su vida está por debajo del 50%.
Spawns an additional Symbiote for each Commander.	Engendra un simbionte adicional para cada comandante.
<c val="ffff8a">Hydralisk</c> gains +20 maximum life.	El <c val="ffff8a">Hidralisco</c> obtiene +20 de vida máxima.
Increases the <c val="ffff8a">Baneling's</c> base attack damage against primary target by 100%. Splash damage remains the same.	Aumenta el alcance de ataque de los <c val="ffff8a">Uetzis</c> contra el objetivo principal un 100%. El daño por proximidad no se modifica.
In addition to dealing normal damage, <c val="ffff8a">Baneling</c> explosions also heal nearby friendly units and structures.	Además de infligir daño normal, las explosiones de los <c val="ffff8a">Uetzis</c> también sanan a las unidades y estructuras aliadas cercanas.
<c val="ffff8a">Baneling</c> blast radius increased by 50%.	Aumenta el radio de explosión de los <c val="ffff8a">Uetzis</c> un 50%.
Reduces the cooldown of the <c val="ffff8a">Bile Launcher's</c> Bombardment.	Reduce el tiempo de recuperación de Bombardeo del <c val="ffff8a">Lanzador de bilis</c>.
Increases the range of the <c val="ffff8a">Bile Launcher's</c> Bombardment by <d ref="$UpgradeEffectArrayValue:BileLauncherIncreasedRange:Weapon,BileLauncherZagaraBombardment,Range$"/>.	Aumenta en <d ref="$UpgradeEffectArrayValue:BileLauncherIncreasedRange:Weapon,BileLauncherZagaraBombardment,Range$"/> el alcance de Bombardeo del <c val="ffff8a">Lanzador de bilis</c>.
Increases the healing of the <c val="ffff8a">Swarm Queen's</c> Rapid Transfusion by 10 and allows it to heal mechanical units and structures.	Aumenta la sanación de Transfusión rápida de la <c val="ffff8a">Reina del Enjambre</c> en 10 y le permite curar estructuras y unidades mecánicas.
Increases <c val="ffff8a">Brood Lord</c> movement speed by <d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,Speed$/Unit,BroodLord,Speed*100" player="0"/>% and life by +<d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,LifeMax$"/>.	Aumenta la velocidad de movimiento de los <c val="ffff8a">Amos de la colonia</c> un <d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,Speed$/Unit,BroodLord,Speed*100" player="0"/>% y la vida un +<d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,LifeMax$"/>.
Increases the movement speed of <c val="ffff8a">Banelings</c>.	Aumenta la velocidad de movimiento de los <c val="ffff8a">Uetzis</c>.
<c val="ffff8a">Ravager</c> Corrosive Bile damage is increased by <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.	Aumenta el daño de la Bilis corrosiva del <c val="ffff8a">Devastador</c> en <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.
<c val="ffff8a">Ravager</c> Corrosive Bile impact size is increased by <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100"/>%.	Aumenta un <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100"/>% el área de impacto de la Bilis corrosiva del <c val="ffff8a">Devastador</c>.
<c val="ffff8a">Devourer</c> attacks will now deal area damage.	Ahora los ataques del <c val="ffff8a">Devorador</c> infligirán daño de área.
Increases the attack speed of <c val="ffff8a">Hydralisks</c> by 50% for <d ref="Behavior,HydraliskFrenzy,Duration"/> seconds.	Aumenta la velocidad de ataque de los <c val="ffff8a">Hidraliscos</c> un 50% durante <d ref="Behavior,HydraliskFrenzy,Duration"/> segundos.
<c val="ffff8a">Zerglings</c> gain +10 maximum life.	Los <c val="ffff8a">Zergueznos</c> obtienen +10 de vida máxima.
Allows <c val="ffff8a">Hatcheries</c>, <c val="ffff8a">Lairs</c> and <c val="ffff8a">Hives</c> to birth two <c val="ffff8a">Swarm Queens</c> simultaneously.	Permite que los <c val="ffff8a">Larvarios</c>, <c val="ffff8a">Guaridas</c> y <c val="ffff8a">Colmenas</c> engendren dos <c val="ffff8a">Reinas del Enjambre</c> simultáneamente.
<c val="ffff8a">Roach</c> gains +<d ref="Upgrade,HotSRoachDamage,EffectArray[0].Value / Effect,AcidSalivaU"/> damage vs. light units.	La <c val="ffff8a">Cucaracha</c> obtiene +<d ref="Upgrade,HotSRoachDamage,EffectArray[0].Value / Effect,AcidSalivaU"/> de daño contra unidades ligeras.
<c val="ffff8a">Kerrigan's</c> attacks deal normal damage to her target then jump to additional nearby enemies. Deals <d ref="Effect,ChainReaction2Damage,Amount"/> damage to up to four additional targets.	Los ataques de <c val="ffff8a">Kerrigan</c> infligen daño normal al objetivo y, a continuación, saltan hacia otros enemigos cercanos. Infligen <d ref="Effect,ChainReaction2Damage,Amount"/> de daño hasta a cuatro objetivos adicionales.
<c val="ffff8a">Kerrigan's</c> ability costs and cooldowns are reduced by 20%.	El costo y el tiempo de recuperación de las habilidades de<c val="ffff8a">Kerrigan</c> se reducen 20%.
<c val="ffff8a">Kerrigan</c> gains +200 maximum life.<n/>Life-regeneration rate increased by 100%.	<c val="ffff8a">Kerrigan</c> obtiene +200 de vida máxima.<n/>La tasa de regeneración de vida aumenta 100%.
The <c val="ffff8a">Mutalisk's</c> attack bounces three additional times, hitting up to six targets. Bounces also travel farther.	El ataque de los <c val="ffff8a">Mutaliscos</c> rebota tres veces más y golpea hasta seis objetivos. Los rebotes también recorren más distancia.
<c val="ffff8a">Zagara's</c> attacks deal area damage, splashing to enemy units near her primary target.	Los ataques de <c val="ffff8a">Zagara</c> infligen daño de proximidad y dañan a las unidades enemigas que están cerca del objetivo principal.
Splash damage of <c val="ffff8a">Ultralisk</c> attacks increased to <d ref="Effect,HotSUltraliskKaiserBladesSecondaryUpgradeDamage,Amount"/>.	Aumenta el daño de área de los ataques del <c val="ffff8a">Ultralisco</c> a <d ref="Effect,HotSUltraliskKaiserBladesSecondaryUpgradeDamage,Amount"/>.
Improves <c val="ffff8a">Hydralisk</c> movement speed and increases attack range by +1.	Mejora la velocidad de movimiento de los <c val="ffff8a">Hidraliscos</c> y aumenta el alcance de su ataque en 1.
<c val="ffff8a">Mutalisks</c> regenerate life quickly while out of combat.	Los <c val="ffff8a">Mutaliscos</c> regeneran vida con suma rapidez cuando están fuera de combate.
<c val="ffff8a">Infested Marines</c> and <c val = "ffff8a">Infested Troopers</c> deal an additional <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration/Behavior,SIInfestedTrooperMarinePlaguedMunitions,Period/Effect,SIInfestedTrooperMarinePlaguedMunitionsDamage,Amount"/> damage over <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration"/> seconds to units they attack.	Los <c val="ffff8a">Marines infestados</c> y <c val = "ffff8a">Soldados infestados</c> infligen <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration/Behavior,SIInfestedTrooperMarinePlaguedMunitions,Period/Effect,SIInfestedTrooperMarinePlaguedMunitionsDamage,Amount"/> de daño durante <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration"/> segundos a las unidades que atacan.
Reduces the cooldown of the <c val="ffff8a">Infested Diamondback's</c> Fungal Snare by 15 seconds.	Reduce el tiempo de recuperación de la Trampa fungoidea del <c val="ffff8a">Katari infestado</c> 15 segundos.
<c val="ffff8a">Infested Diamondbacks</c> leave behind a trail of acid when moving that deals <d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/> damage per second to enemy units.	<c val="ffff8a">Los Kataris infestados</c> dejan una estela de ácido al moverse que inflige <d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/> de daño por segundo a las unidades enemigas.
<c val="ffff8a">Infested Marines</c> and <c val="ffff8a">Infested Troopers</c> gain +1 attack range.	<c val="ffff8a">Los Marines infestados</c> y los <c val="ffff8a">Soldados infestados</c> obtienen +1 de alcance de ataque.
Increases the ammo capacity of Infested Siege tanks by 4 (total of 8).	Aumenta la cantidad de municiones de los Tanques de asedio infestados en 4 (8 en total).
Infested Siege Tanks can use their Tentacle attack while sieged (can attack with both weapons at the same time).	Los Tanques de asedio infestados pueden usar su Ataque tentacular cuando están en modo Asedio (pueden atacar con las dos armas al mismo tiempo).
NOT USED. <c val="ffff8a">Scourge</c> gain +75 life.	NOT USED. <c val="ffff8a">Scourge</c> gain +75 life.
Reduces the amount of vespene gas required to morph <c val="ffff8a">Scourge</c> by 50.	Reduce a 50 la cantidad de gas vespeno que se necesita para transformar <c val="ffff8a">Azotes</c>.
<c val="ffff8a">Scourge</c> deal 50% of their attack damage in a small area upon death.	Los <c val="ffff8a">Azotes</c> infligen un 50% de su daño de ataque en una pequeña área.
The <c val="ffff8a">Mutalisk's</c> attack no longer decreases in damage with each subsequent bounce.	El daño del ataque del <c val="ffff8a">Mutalisco</c> ya no disminuye con cada rebote.
Infested Civilians respawn once after dying.	Los Civiles infestados vuelven a engendrarse una vez más cuando mueren.
<c val="ffff8a">Infested Civilians</c> spawn a Broodling when they die.	Los <c val="ffff8a">Civiles infestados</c> engendran un Ácaro cuando mueren.
Allows <c val="ffff8a">Infested Civilians</c> to quickly leap toward nearby enemy ground units.	Permite que los <c val="ffff8a">Civiles infestados</c> salten rápidamente hacia las unidades terrestres enemigas cercanas.
<c val="ffff8a">Mutalisks</c> deal 100% bonus damage vs. armored units.	Los <c val="ffff8a">Mutaliscos</c> infligen 100% más de daño contra las unidades blindadas.
Increases the range of Symbiote's Spike Burst by 25% and decreases the cooldown by 10%	Aumenta el alcance del Estallido de púas del Simbionte un 25% y reduce el tiempo de recuperación un 10%
Increases the damage and range of the Symbiote's Stab by 20%	Aumenta el daño y el alcance de la Puñalada del Simbionte un 20%
Grants <c val="ffff8a">Ultralisk's</c> life equal to 40% of all damage dealt from normal attacks.	Permite que los <c val="ffff8a">Ultraliscos</c> recuperen una cantidad de vida equivalente al 40% de todo el daño que infligen con sus ataques normales.
Evolve into a Brutalisk.	Evolucionar en Brutalisco.
Evolve into a Leviathan.	Evolucionar en Leviatán.
<c val="ffff8a">Viper</c> Abduct stuns units for an additional <d ref="Upgrade,ViperAbductImprovedStun,EffectArray[0].Value"/> seconds.	La habilidad Abducción de la <c val="ffff8a">Víbora</c> aturde a las unidades durante <d ref="Upgrade,ViperAbductImprovedStun,EffectArray[0].Value"/> segundos más.
All <c val="ffff8a">Viper</c> abilities gain +<d ref="Upgrade,ViperImprovedCastRange,EffectArray[0].Value"/> cast range.	Todas las habilidades de la <c val="ffff8a">Víbora</c> obtienen +<d ref="Upgrade,ViperImprovedCastRange,EffectArray[0].Value"/> de alcance de lanzamiento.
<c val="ffff8a">Zagara</c> gains +200 maximum life.<n/>Life-regeneration rate increased by 100%.	<c val="ffff8a">Zagara</c> obtiene +200 de vida máxima.<n/>La tasa de regeneración de vida aumenta 100%.
<c val="ffff8a">Zergling</c> attacks reduce their target's armor to 0 for <d ref="Behavior,ZerglingArmorShredTarget,Duration"/> seconds.	El <c val="ffff8a">Zerguezno</c> reduce la armadura del objetivo a 0 durante <d ref="Behavior,ZerglingArmorShredTarget,Duration"/> segundos.
The Volatile Infested detonates where it is standing, damaging nearby enemy units and structures.	El Infestado volátil explota en su lugar e inflige daño a las unidades y estructuras enemigas cercanas.
Colossi gain +3 range.	Los Colosos obtienen +3 de alcance.
Pulls target unit to the Viper. Enemy is stunned for <d ref="Behavior,YoinkEnemyStun,Duration"/> <lang rule="plural">second,seconds</lang>.	Atrae a la unidad objetivo hacia la Víbora. Los enemigos quedan aturdidos durante <d ref="Behavior,YoinkEnemyStun,Duration"/> <lang rule="plural">segundo,segundos</lang>.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbats<n/>- Goliaths<n/>- Flaming Bettys from SCVs<n/>- Blaster Billys from SCVs	Complejo de producción vehicular. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Murciélagos infernales<n/>- Goliats<n/>- Construcción de Betty la Fogosa con VCE<n/>- Construcción de Billy el Explosivo con VCE<
Drains all energy from the target. Deals <d ref="Effect,Feedback,VitalFractionCurrent[Energy]"/> damage per point of energy.	Drena toda la energía del objetivo. Inflige <d ref="Effect,Feedback,VitalFractionCurrent[Energy]"/> de daño por punto de energía.
Houses AI personalities of Protoss champions. Once researched these AI personalities will automatically download into any available host unit.	Alberga personalidades de IA de adalides protoss. Una vez investigadas, estas personalidades de IA se descargarán automáticamente en cualquier unidad huésped disponible.
Fenix's Cybros Arbiter Suit is configured for aerial support and enemy interference. Can use Stasis Field, Cloaking Field, and Recall.<n><n><c val="ffff8a">Can attack ground and air units.</c>	El Traje de árbitro de Cybros de Fénix está configurado para apoyo aéreo y para interferir en las operaciones del enemigo. Puede usar Campo de estasis, Campo de camuflaje y Replegar.<n><n><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
Enable Cloaking field, cloaking friendly units near Fenix. Costs 5 Energy per second to maintain.	Activa el Campo de camuflaje, que camufla a las unidades aliadas cercanas a Fénix. Mantenerlo cuesta 5 de energía por segundo.
Disable Cloaking field.	Desactivar el Campo de camuflaje.
