Amorphous Armorcloud	Zasłona amorficzna
Grants all friendly within range <d ref="(Behavior,ColarionDragoonBattleShoutTarget,Modification.AttackSpeedMultiplier - 1) * 100" precision="2"/>% attack speed for <d ref="Behavior,ColarionDragoonBattleShoutTarget,Duration"/> seconds.	Zapewnia wszystkim jednostkom sojuszniczym w zasięgu <d ref="(Behavior,ColarionDragoonBattleShoutTarget,Modification.AttackSpeedMultiplier - 1) * 100" precision="2"/>% premii do szybkości ataku na <d ref="Behavior,ColarionDragoonBattleShoutTarget,Duration"/> sek.
Area-damage siege unit. Shoots Scarabs for high burst damage.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Jednostka oblężnicza. Wypuszcza skarabeusze, które zadają duże obrażenia seryjne na obszarze.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Attacks debilitate enemy units, slowing attack and movement speeds by <d ref="(1 - Behavior,ColossusIceFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%. Heroic units are slowed by <d ref="(1 - Behavior,ColossusIceFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.	Ataki zmniejszają szybkość ruchu i ataków wrogich jednostek o <d ref="(1 - Behavior,ColossusIceFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%. Jednostki bohaterskie zostają spowolnione o <d ref="(1 - Behavior,ColossusIceFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.
Battle strider with a powerful area attack. Can walk up and down cliffs. Attacks can be upgraded to set fire to the ground, dealing extra damage to enemies over time.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bojowa maszyna krocząca o potężnym ataku obszarowym. Potrafi pokonywać klify. Można ją ulepszyć tak, aby jej ataki podpalały ziemię i zadawały wrogom dodatkowe obrażenia z upływem czasu.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Battle strider with a powerful single target attack. Can walk up and down cliffs.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bojowa maszyna krocząca. Zadaje potężne obrażenia pojedynczemu celowi. Potrafi pokonywać klify.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Battle strider with a powerful single target attack. Can walk up and down cliffs.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Bojowa maszyna krocząca. Zadaje potężne obrażenia pojedynczemu celowi. Potrafi pokonywać klify.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Marines gain +20 life.	Marines zyskują +20 pkt. życia.
Enables Warp Gate research to affect Stargates and Robotics Facilities. This allows them to warp in units at any location with Pylon power.	Pozwala wykorzystać technologię wrót przesyłowych w gwiezdnych wrotach i zakładach robotyki, co umożliwia tym budowlom przesyłanie jednostek w dowolne miejsce zasilane przez pole pylonu.
</n></n><s val="Coop_Prestige_Tooltip">Prestige:</s> This unit has a <s val="Coop_Prestige_Tooltip"><d ref="Effect,AbathurBiomassRefundDummy,Amount"/></s>% chance to drop its biomass upon death.	</n></n><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Ta jednostka ma <s val="Coop_Prestige_Tooltip"><d ref="Effect,AbathurBiomassRefundDummy,Amount"/></s>% szans na pozostawienie po sobie biomateriału w chwili śmierci.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Destroyers are not summoned. Additionally, Mass Teleport's cooldown is increased by <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeAlarakDeathFleet:Abil,AlarakMothershipMassRecall,Cost[0].Cooldown.TimeUse$'/]"/></s> and it no longer teleports allied units.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Niszczyciele nie są wzywane. Dodatkowo czas odnowienia zbiorowej teleportacji wydłuża się o <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeAlarakDeathFleet:Abil,AlarakMothershipMassRecall,Cost[0].Cooldown.TimeUse$'/]"/></s> i zdolność nie teleportuje już jednostek sojuszniczych.
This unit can collect up to <d ref="Behavior,CommanderPrestigeAlarakMechBuff,MaxPoints"/> Supplicant souls, increasing attack speed by <d ref="Behavior,CommanderPrestigeAlarakMechBuff,Modification.UnifiedAttackSpeedFactor*100"/>% and damage by <d ref="Behavior,CommanderPrestigeAlarakMechBuff,Modification.UnifiedDamageDealtFraction[Melee]*100"/>% for each soul collected.	Maksymalna liczba dusz suplikantów, które może zebrać ta jednostka, to <d ref="Behavior,CommanderPrestigeAlarakMechBuff,MaxPoints"/>. Każda zebrana dusza suplikanta zwiększa szybkość ataku o <d ref="Behavior,CommanderPrestigeAlarakMechBuff,Modification.UnifiedAttackSpeedFactor*100"/>%, a zadawane obrażenia o <d ref="Behavior,CommanderPrestigeAlarakMechBuff,Modification.UnifiedDamageDealtFraction[Melee]*100"/>%.
<d ref="$BehaviorStackCount:CommanderPrestigeAlarakMechBuff$"/>	<d ref="$BehaviorStackCount:CommanderPrestigeAlarakMechBuff$"/>
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Damage absorption increased.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zwiększona absorpcja obrażeń.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Build time reduced.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Skrócone czasy tworzenia.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Cooldown reduced.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Skrócony czas odnowienia.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Damage increased.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zwiększone obrażenia.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Speed increased.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zwiększona szybkość.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Each strike warps in a powerful Unbound Fanatic, which periodically shoots out damaging energy.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Każdy atak przyzywa potężnego Bezgranicznego Fanatyka, który co jakiś czas wystrzeliwuje niszczycielską energię.
The Unbound Fanatic periodically shoots off bolts of unstable energy which deal <d ref="Effect,CommanderPrestigeArtanisOrbitalStrikesArchonEnergyDamage,Amount/Behavior,CommanderPrestigeArtanisOrbitalStrikesArchonEnergy,Period"/> damage per second to enemy units.	Bezgraniczny Fanatyk wystrzeliwuje raz na jakiś czas pocisk niestabilnej energii, który zadaje wrogim jednostkom <d ref="Effect,CommanderPrestigeArtanisOrbitalStrikesArchonEnergyDamage,Amount/Behavior,CommanderPrestigeArtanisOrbitalStrikesArchonEnergy,Period"/> pkt. obrażeń na sekundę.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> All of your combat units standing in an existing projection are warped instantly to the new location.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Wszystkie twoje jednostki bojowe stojące w istniejącym polu zostają natychmiastowo przesłane w nowe miejsce.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> This ability is now targeted.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Ta zdolność wymaga teraz celu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Benefits are shared with all nearby friendly units.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Wszystkie pobliskie jednostki sojusznicze czerpią korzyści.
Force this Pack Leader to retreat and return Dehaka to the field.	Zmusza tego przywódcę stada do wycofania się, aby Dehaka mógł wrócić na pole walki.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Deals <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeFenixSuitSwapTimedLife,Modification.DamageDealtFraction[Melee]*100"/></s>% increased damage and has <s val="Coop_Prestige_Tooltip">50</s>% reduced ability cooldowns. Health, shields, and energy regeneration increased by <s val="Coop_Prestige_Tooltip">100</s>% while in storage. Lasts <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeFenixSuitSwapTimedLife,Duration"/></s> seconds once summoned.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zadaje <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeFenixSuitSwapTimedLife,Modification.DamageDealtFraction[Melee]*100"/></s>% większe obrażenia i ma o <s val="Coop_Prestige_Tooltip">50</s>% skrócone czasy odnowienia zdolności. Życie, osłony i regeneracja energii są większe o <s val="Coop_Prestige_Tooltip">100</s>%, gdy jest magazynowany. Działa <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeFenixSuitSwapTimedLife,Duration"/></s> sek. po wezwaniu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> This ability also increases the attack speed of defensive structures.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Ta zdolność zwiększa też szybkość ataku budowli obronnych.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> This ability can only target structures.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Ta zdolność może obierać za cel tylko budowle.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Kerrigan expends all stacks of Fury when using this ability, stunning for <d ref="Behavior,CommanderPrestigeKerriganAbilitiesStun,Duration"/> seconds and dealing <d ref="Effect,CommanderPrestigeKerriganAbilitiesDamage,Amount"/> damage to a number of nearby enemies based on the number of stacks expended.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Kerrigan wykorzystuje całą kumulację furii przy użyciu tej zdolności. Ogłusza na <d ref="Behavior,CommanderPrestigeKerriganAbilitiesStun,Duration"/> sek. i zadaje <d ref="Effect,CommanderPrestigeKerriganAbilitiesDamage,Amount"/> pkt. obrażeń pobliskim wrogom (liczba wrogów jest zależna od liczby kumulacji).
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Enemies drop <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeKerriganAssimilationAuraShared:Effect,KR5,Resources[Minerals]$/Effect,KR5,Resources[Minerals]*100" player="0"/></s>% more resources.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Wrogowie upuszczają <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeKerriganAssimilationAuraShared:Effect,KR5,Resources[Minerals]$/Effect,KR5,Resources[Minerals]*100" player="0"/></s>% więcej surowców.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Radius of effect increased by <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeNovaSuperCloak:Effect,NovaCoopCasterNukeDamage,AreaArray[0].Radius$/Effect,NovaCoopCasterNukeDamage,AreaArray[0].Radius*100" player="0"/></s>%.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Promień efektu wzrasta o <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeNovaSuperCloak:Effect,NovaCoopCasterNukeDamage,AreaArray[0].Radius$/Effect,NovaCoopCasterNukeDamage,AreaArray[0].Radius*100" player="0"/></s>%.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Nova is undetectable while cloaked. Attacking or using Snipe disables Nova's cloaking effect for <s val="Coop_Prestige_Tooltip"><d time="[d ref='Behavior,CommanderPrestigeNovaSuperCloakCombat,Duration'/]"/></s>.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Nova jest niewykrywalna, gdy znajduje się pod wpływem maskowania. Wykonanie ataku lub użycie Strzału Snajperskiego wyłącza efekt maskowania Novy na <s val="Coop_Prestige_Tooltip"><d time="[d ref='Behavior,CommanderPrestigeNovaSuperCloakCombat,Duration'/]"/></s>
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Additionally increases attack speed by <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeRaynorMechAfterburners:Behavior,VehicleAfterburners,Modification.AttackSpeedMultiplier$*100"/></s>%.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Dodatkowo zwiększa szybkość ataku o <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeRaynorMechAfterburners:Behavior,VehicleAfterburners,Modification.AttackSpeedMultiplier$*100"/></s>%.
<c val="ffff8a">Marines</c> gain +20 life.	<c val="ffff8a">Marines</c> zyskują +20 pkt. życia.
<c val="ffff8a">Firebats</c> gain +200 life and +2 armor.	<c val="ffff8a">Wypalacze</c> otrzymują +200 pkt. życia i +2 do pancerza.
Firebats gain +200 life and +2 armor.	Wypalacze otrzymują +200 pkt. życia i +2 do pancerza.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Cooldown rate currently increased by <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeRaynorAir,Modification.RateMultiplierArray[1]-1*100"/></s>% based on supply used by your air units.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Czasy odnowienia upływają obecnie o <s val="Coop_Prestige_Tooltip"><d ref="Behavior,CommanderPrestigeRaynorAir,Modification.RateMultiplierArray[1]-1*100"/></s>% szybciej w oparciu o zaopatrzenie zużywane przez twoje jednostki powietrzne.
Loads nearby infested infantry into the Banshee's hold.	Załadowuje pobliską zainfekowaną piechotę do ładowni banshee.
Launches the Infested Banshee's cargo content at the target location, dealing <d ref="Effect,CommanderPrestigeStukovBansheesDeployDamage,Amount"/> damage to nearby enemy ground units on impact.	Wystrzeliwuje ładunek zainfekowanej banshee w wyznaczone miejsce i po trafieniu zadaje <d ref="Effect,CommanderPrestigeStukovBansheesDeployDamage,Amount"/> pkt. obrażeń pobliskim jednostkom naziemnym wroga.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> The Infested Bunker spawns Infested Troopers <s val="Coop_Prestige_Tooltip"><d ref="(Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse/(Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:CommanderPrestigeStukovBunkers:Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse$)-1)*100" player="0"/></s>% faster and has no cargo capacity.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zainfekowany bunkier powija zainfekowanych żołnierzy o <s val="Coop_Prestige_Tooltip"><d ref="(Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse/(Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:CommanderPrestigeStukovBunkers:Abil,SIInfestedBunkerTrainMarine,Cost[0].Cooldown.TimeUse$)-1)*100" player="0"/></s>% szybciej i nie ma już ograniczonej pojemności.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> The Drakken Laser Drill deals damage and slows in an area around its primary target.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Wiertło Laserowe Drakken zadaje zwiększone obrażenia i spowalnia wokół głównego celu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> The Hercules deploys loaded troops instantly and has twice the cargo capacity.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Herkules wyładowuje oddziały natychmiast, a jego pojemność wzrasta dwukrotnie.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> The Odin does not take Tychus as its pilot and will not revive him.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Odyn nie jest już pilotowany przez Tychusa i nie będzie go przywracać do życia.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Combat units deal <s val="Coop_Prestige_Tooltip"><d ref="(1-PlayerResponse,CommanderPrestigeVorazunStasisDamageReduction,ModifyFraction)*100"/></s>% reduced damage.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Jednostki bojowe zadają obrażenia zmniejszone o <s val="Coop_Prestige_Tooltip"><d ref="(1-PlayerResponse,CommanderPrestigeVorazunStasisDamageReduction,ModifyFraction)*100"/></s>%.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Friendly units are recalled to the closest Nexus or Dark Pylon and have their life and shields fully restored.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Jednostki sojusznicze zostają przywołane do najbliższego nexusa lub mrocznego pylonu, a ich osłony zostają w pełni przywrócone.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> This ability will cause target enemies to lose <s val="Coop_Prestige_Tooltip"><d ref="Effect,CommanderPrestigeVorazunStasisDamage,Amount/Behavior,CommanderPrestigeVorazunStasisDoT,Period"/></s> life per second for the duration of the effect. This effect cannot kill.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Umiejętność ta sprawia, że wskazani przeciwnicy tracą <s val="Coop_Prestige_Tooltip"><d ref="Effect,CommanderPrestigeVorazunStasisDamage,Amount/Behavior,CommanderPrestigeVorazunStasisDoT,Period"/></s> pkt. życia na sekundę przez cały czas działania efektu. Efekt ten nie może zabijać.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Time Stop is targeted and will resurrect all lost Shadow Guard at the location of the effect.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Można celować Zatrzymaniem Czasu, które wskrzesza wszystkich utraconych gwardzistów cieni w miejscu działania efektu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Spawns an additional <s val="Coop_Prestige_Tooltip"><d ref="Abil,ZagaraVoidCoopBanelingSpawnerTrain,InfoArray[Train1].Charge.CountMax"/></s> Banelings.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Powija dodatkowe tępiciele: <s val="Coop_Prestige_Tooltip"><d ref="Abil,ZagaraVoidCoopBanelingSpawnerTrain,InfoArray[Train1].Charge.CountMax"/></s>.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> This unit has increased health regeneration.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Ta jednostka ma zwiększoną regenerację zdrowia.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Mass Frenzy only affects Zagara and her summoned units.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zbiorowy Szał obejmuje działaniem wyłącznie Zagarę i wezwane przez nią jednostki.
Scourge Nests automatically spawn Scourge.	Gniazda zmory automatycznie powijają zmorę.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Zagara's max supply is increased to 150.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Maksymalny poziom zaopatrzenia Zagary wzrasta do 150.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Zagara is limited to 1 Scourge Nest.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Zagara może mieć tylko 1 gniazdo zmory.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Spawns an additional Scourge.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Powija dodatkową zmorę.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Zagara has increased health and energy regeneration.	<n/><n/><s val="Coop_Prestige_Tooltip">Zagara:</s> Zwiększona regeneracja energii i życia Zagary.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Spawns an additional Zergling.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Powija dodatkowego zerglinga.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Only <s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s> Artifact Fragments may be collected.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Można zebrać tylko <s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s> fragmenty artefaktu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> An unlimited number of Artifact Fragments may be collected.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Można zebrać nieograniczoną liczbę fragmentów artefaktu.
<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Each collected Artifact Fragment reduces the cooldown by <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s>. Shadow Cleave spawns a tornado which damages and slows enemy units.	<n/><n/><s val="Coop_Prestige_Tooltip">Poziom prestiżowy:</s> Każdy zebrany fragment artefaktu skraca czas odnowienia o <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s> Mroczne Rozdarcie tworzy tornado, które rani i spowalnia wrogie jednostki.
Deploys the Void Seeker to the target location, cloaking all friendly units and structures in the area and rendering them undetectable. Lasts <d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/> seconds.	Wysyła we wskazane miejsce Poszukiwacza Otchłani, który maskuje wszystkie jednostki sojusznicze na obszarze i sprawia, że są niewykrywalne. Działa <d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/> sek.
Calls down 4 A.R.E.S. War Bots, stunning enemy ground units in the drop zone. The War Bots are controllable and fight for <d ref="Behavior,ARESTimedLife,Duration"/> seconds.	Wzywa 4 roboty bojowe A.R.E.S. i ogłusza wrogie jednostki naziemne w strefie zrzutu. Roboty bojowe pozostają na polu walki przez <d ref="Behavior,ARESTimedLife,Duration"/> sek. i można je kontrolować.
Evolves Zagara's Banelings into the Splitter strain.<n/><n/>Suicide unit. Deals damage over a small area upon death. Splits into smaller units as it dies.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Ulepsza tępiciele Zagary do odmiany rozszczepieniec.<n/><n/>Jednostka samobójcza. W momencie śmierci dokonuje zniszczeń na małym obszarze i dzieli się na dwie jednostki.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Zeratul will gain additional shields, increased Shadow Cleave damage, and additional charges of Blink with each Artifact Fragment he finds.	Po odnalezieniu każdego fragmentu artefaktu xel'naga Zeratul zyskuje dodatkowe osłony, zadaje więcej obrażeń od Mrocznego Rozdarcia i może zgromadzić dodatkowe ładunki Mignięcia.
Nuclear Payload Trucks constructing.<n/><n/><c val="F2BE0D">When they are finished, you and your ally will be able to directly control them.</c>	Trwa budowa ciężarówek z ładunkiem nuklearnym.<n/><n/><c val="F2BE0D">Kiedy się skończy, ty i twój sojusznik będziecie mogli nimi sterować.</c>
Consume a drone to reduce Dehaka's revive count-down by <d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/> seconds.	Pozwala Dehace pożreć robotnicę i skrócić swój czas ożywienia o <d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/> sek.
Spawns 6 Primal Locusts that fight for <d ref="Behavior,DehakaLocustTimedLife,Duration"/> seconds.	Powija 6 jednostek pierwotnej szarańczy, która walczy przez <d ref="Behavior,DehakaLocustTimedLife,Duration"/> sek.
Spawns 6 Primal Locusts and 6 Explosive Creepers that fight for <d ref="Behavior,DehakaLocustTimedLife,Duration"/> seconds.	Powija 6 jednostek pierwotnej szarańczy i 6 jednostek wybuchowych pełzaczy, które walczą przez <d ref="Behavior,DehakaLocustTimedLife,Duration"/> sek.
Launches acid at all enemy units in the target area, reducing their attack speed and armor. Stacks 3 times.	Miota we wszystkie wrogie jednostki na wskazanym obszarze kwasem, który zmniejsza ich szybkość ataku oraz wartość pancerza. Kumuluje się 3 razy.
Increases the damage of Ravager’s Corrosive Bile by <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.	Zwiększa obrażenia zadawane przez żrącą żółć pustoszyciela o <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/> pkt.
Increases the radius of Ravager's Corrosive Bile by <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/>%.	Zwiększa promień działania żrącej żółci pustoszycieli o <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/> %.
Covers the target enemy unit in Zerg slime, increasing the damage taken by <d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/>% for <d ref="Behavior,Corruption,Duration"/> seconds.	Pokrywa jednostkę docelową zergowym śluzem i na <d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/> sek. zwiększa zadawane jej obrażenia o <d ref="Behavior,Corruption,Duration"/>%.
Anti-air flyer. Can use Corruption.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Latająca jednostka przeciwlotnicza. Wykorzystuje zdolność skażenia.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c>
Scourge Nest enables you to morph Corruptors.	Gniazdo zmory umożliwia przekształcanie skazicieli.
Air-superiority fighter. Can use Disruption Web to prevent enemy ground units and structures from attacking.<n/><n/><c val="ffff8a">Can attack air units.</c>	Myśliwiec przewagi powietrznej. Może wykorzystywać sieć zakłócającą, która nie pozwala atakować jednostkom naziemnym i budowlom wroga.<n/><n/><c val="ffff8a">Może atakować jednostki powietrzne.</c>
Reduces movement of units in the targeted area by <d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>% for <d ref="Behavior,Ensnare,Duration"/> seconds. Reveals cloaked and burrowed units.	Zmniejsza szybkość ruchu jednostek na wskazanym obszarze o <d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>% na <d ref="Behavior,Ensnare,Duration"/> sek. Ujawnia zamaskowane i zagrzebane jednostki.
Murvar's Den allows you to evolve Creeper Hosts.	Nora Murvar pozwala ewoluować nosiciele pełzaczy.
Local scavenger known for its echoing nocturnal howl.	Lokalny padlinożerca słynący z odbijającego się echem nocnego wycia.
Automaton 2000. The utility bot of choice.	Automaton 2000. Robot użytkowy stworzony dla ciebie.
Unsightly avian creature that is often found on the battlefield.	Odrażające ptaszysko często spotykane na polach bitwy.
Contains weapon and armor upgrades for Protoss air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Energizers at the Gateway	Umożliwia ulepszanie uzbrojenia i opancerzenia jednostek powietrznych protosów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– energetyzatory w bramie.
Stores protoss AI personalities. Resources can be spent to download and safeguard them.	Gromadzi protoskie osobowości SI. Do ich pobrania i zabezpieczenia można wykorzystać zasoby.
