Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Provides Stetzones that amplifies the attributes of nearby friendly units. Can be overcharged to actively further enhance nearby units.	Fornece Stetzonas que amplificam os atributos de unidades aliadas próximas. Pode ser sobrecarregada para melhorar as unidades próximas ainda mais.
Deploys a Stetellite at the target location. Stetellites must be placed within a Stetzone.	Aciona um Stetélite no local selecionado. Os Stetélites só podem ser posicionados numa Stetzona.
Sends morphed worker units and Mecha Overlords to the designated point. Workers rallied to Mineral Fields or Mecha Extractors will begin gathering automatically.	Envia unidades trabalhadoras transmutadas e Suseranos Mecanoides ao ponto designado. Os trabalhadores concentrados em Jazidas de Minérios ou Extratores Mecanoides começarão a extrair automaticamente.
Sends recycled units to the designated point.	Envia unidades recicladas ao ponto designado.
Ranged artillery. Can use Corrosive Bile.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Artilharia de longo alcance. Pode usar Bile Corrosiva.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>
Ranged artillery. Can use Environmentally Unfriendly Eruption.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Artilharia de longo alcance. Pode usar Erupção Hostil ao Meio Ambiente.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>
This cocoon contains a Mecha Roach that is morphing into a Mecha Ravager.	Este casulo contém uma Barata Mecanoide que está se transmutando em um Devastador Mecanoide.
Launch a missile at the target location, dealing <d ref="Effect,RavagerStetmannCorrosiveBileAoEDamage,Amount"/> damage to enemy units in the area upon impact.<n/><n/><c val="#ColorAttackInfo">Can destroy Protoss Force Fields.</c>	Lança um míssil no local-alvo, causando <d ref="Effect,RavagerStetmannCorrosiveBileAoEDamage,Amount"/> de dano às unidades inimigas na área de impacto.<n/><n/><c val="#ColorAttackInfo">Destrói Campos de Força protoss.</c>
Hatches into a Mecha Ravager after a short period.	Gera um Devastador Mecanoide após um breve período.
Allows the <c val="ffff8a">Mecha Baneling</c> to add its current Egonergy to its damage when it explodes.	Permite que o <c val="ffff8a">Tatu-bomba Mecanoide</c> adicione sua egonergia atual ao dano causado quando explode.
Increases the damage absorbed by the <c val="ffff8a">Mecha Baneling's</c> Egonergy Impact Barrier to <d ref="$UpgradeEffectArrayValue:BanelingStetmannManaShieldBonus:Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus$+Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus"/> damage per point of Egonergy.	Aumenta o dano absorvido pela Barreira de Impacto de Egonergia do <c val="ffff8a">Tatu-bomba Mecanoide</c> para <d ref="$UpgradeEffectArrayValue:BanelingStetmannManaShieldBonus:Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus$+Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus"/> de dano por ponto de egonergia.
Increases the movement speed of <c val="ffff8a">Mecha Banelings</c> by <d ref="$UpgradeEffectArrayValue:BanelingStetmannMovementSpeed:Unit,BanelingStetmann,Speed$/Unit,BanelingStetmann,Speed*100"/>% and allows them to leap onto enemy units.	Aumenta em <d ref="$UpgradeEffectArrayValue:BanelingStetmannMovementSpeed:Unit,BanelingStetmann,Speed$/Unit,BanelingStetmann,Speed*100"/>% a velocidade de movimento dos <c val="ffff8a">Tatus-bomba Mecanoides</c> e permite que ela pule em cima de unidades inimigas.
Allows the <c val="ffff8a">Mecha Corruptor</c> to emit a solvent stream that deals devastating damage to enemy ground units over time.	Permite que o <c val="ffff8a">Corruptor Mecanoide</c> emita um jato de solvente que causa dano devastador a unidades terrestres inimigas ao longo do tempo.
Allows the <c val="ffff8a">Mecha Hydralisk</c> to replace its anti-air Needle Spine weapon with a more powerful Erudition Missile armament.	Permite que a <c val="ffff8a">Hidralisca Mecanoide</c> substitua as Urticárias Antiaéreas por um armamento mais poderoso, o Míssil Erudição.
Increases the movement speed of <c val="ffff8a">Mecha Hydralisks</c> by <d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100"/>%.	Aumenta em <d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100"/>% a velocidade de movimento das <c val="ffff8a">Hidraliscas Mecanoides</c>.
Increases the <c val="ffff8a">Mecha Hydralisk's</c> anti-air weapon range by <d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/>.	Aumenta em <d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/> o alcance da arma antiaérea da <c val="ffff8a">Hidraliscas Mecanoides</c>.
Increases the maximum range of the <c val="ffff8a">Mecha Lurker's</c> Tunnel of TERROR Algorithm by <d ref="$UpgradeEffectArrayValue:LurkerStetmannTunnelingBurstRange:Effect,LurkerStetmannTunnelingBurstCU,SpawnRange$-Effect,LurkerStetmannTunnelingBurstCU,SpawnRange"/>.	Aumenta em <d ref="$UpgradeEffectArrayValue:LurkerStetmannTunnelingBurstRange:Effect,LurkerStetmannTunnelingBurstCU,SpawnRange$-Effect,LurkerStetmannTunnelingBurstCU,SpawnRange"/>o alcance máximo do Algoritmo de Túnel do TERROR <c val="ffff8a">Furtivo Mecanoide</c>.
Increases the movement speed of <c val="ffff8a">Mecha Overlords</c> and <c val="ffff8a">Mecha Overseers</c>.	Aumenta a velocidade de movimento de <c val="ffff8a">Suseranos Mecanoides</c> e <c val="ffff8a">Supervigias Mecanoides</c>.
Allows <c val="ffff8a">Mecha Overlords</c> to transport units.	Permite que os <c val="ffff8a">Suseranos Mecanoides</c> transportem unidades.
Allows the <c val="ffff8a">Mecha Ultralisk's</c> Vectored Burrow Charge ability to stun enemy mechanical ground units in a large area.	Permite que a habilidade Investida Subterrânea Vetorizada do <c val="ffff8a">Mammuthus Mecanoide</c> atordoe unidades terrestres mecânicas inimigas numa área ampla.
Increases attack speed of <c val="ffff8a">Mecha Zerglings</c> by <d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%. Drains <d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/> Egonergy per attack.	Aumenta em <d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>% a velocidade de ataque dos <c val="ffff8a">Zergnídeos Mecanoides</c>. Drena <d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergia por ataque.
Allows <c val="ffff8a">Mecha Zerglings</c> to reduce incoming damage to a maximum of <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>. Drains <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> Egonergy per use.	Permite que os <c val="ffff8a">Zergnídeos Mecanoides</c> reduzam o dano recebido para um máximo de <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>. Drena <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergia por uso.
Increases the movement speed of <c val="ffff8a">Mecha Zerglings</c> by <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100"/>%.	Aumenta em <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100"/>% a velocidade de movimento dos <c val="ffff8a">Zergnídeos Mecanoides</c>.
Allows the <c val="ffff8a">Mecha Lurker</c> to concentrate its fire on a target unit, dealing <d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/> damage to a small area around that unit for <d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/> seconds or until the unit is destroyed.	Permite que o <c val="ffff8a">Furtivo Mecanoide</c> concentre seu ataque em uma unidade-alvo, causando <d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/> de dano em uma área pequena em torno dela por <d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/> s ou até que a unidade seja destruída.
Grants the <c val="ffff8a">Mecha Ultralisk</c> <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% damage reduction.	Concede ao <c val="ffff8a">Mammuthus Mecanoide</c> <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% de redução de dano.
Grants the <c val="ffff8a">Mecha Ultralisk</c> the ability to absorb <d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/> life from nearby enemy or friendly mechanical units, healing for that amount.	Concede ao <c val="ffff8a">Mammuthus Mecanoide</c> a capacidade de absorver <d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/> de vida de unidades mecânicas aliadas ou inimigas próximas, concedendo uma cura equivalente.
Assault unit. Regenerates life quickly when burrowed.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Unidade de ataque. Regenera vida rapidamente quando entocada.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
Hatches into a Mecha Roach after a short period.	Gera uma Barata Mecanoide após um breve período.
The Mecha Roach regenerates life very quickly while burrowed.	A Barata Mecanoide regenera vida rapidamente enquanto está entocada.
[PH] [NU] <c val="ffff8a">Enables:</c><n/>- Roaches from Larvae	[PH] [NU] <c val="ffff8a">Ativa:</c><n/>- Barata a partir de Larva
<c val="ffff8a">Enables:</c><n/>- Mecha Zerglings from Mecha Larvae<n/>- Mecha Spine Crawlers from Mecha Drones<n/>- Mecha Spore Crawlers from Mecha Drones	<c val="ffff8a">Ativa:</c><n/>- Zergnídeo Mecanoide a partir de Larva Mecanoide<n/>- Lagarta Espinhosa Mecanoide a partir de Zangão Mecanoide<n/>- Lagarta de Esporos a partir de Zangão Mecanoide
Roots the Mecha Spine Crawler. A rooted Spine Crawler has the ability to attack ground units but is unable to move.	Enraíza a Lagarta Espinhosa Mecanoide. Uma Lagarta Espinhosa enraizada ataca unidades terrestres, mas não pode se mover.
Anti-ground defensive structure. <n/><n/><c val="ffff8a">Can attack ground units.</c>	Estrutura de defesa antiterrestre. <n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
Mecha Spawning Pool allows you to mutate Mecha Drones into Mecha Spine Crawlers.	O Fosso de Desova Mecanoide permite a transmutação de Zangões Mecanoides em Lagartas Espinhosas Mecanoides.
Uproots the Mecha Spine Crawler. An uprooted Mecha Spine Crawler has the ability to move but cannot attack.	Desenraíza a Lagarta Espinhosa Mecanoide. Uma Lagarta Espinhosa Mecanoide desenraizada pode se mover, mas não ataca.
Uprooted anti-ground defensive structure. Can move when uprooted, but cannot attack.	Estrutura de defesa antiterrestre desenraizada. Pode se mover quando estiver desenraizada, mas não ataca.
Contains upgrades for Mecha Zerg air units. Can mutate into a Mecha Greater Spire.<n/><n/><c val="ffff8a">Enables:</c><n/>- Mecha Corruptors from Mecha Larvae	Contém aprimoramentos para unidades aéreas zergs mecanoides. Transmuta-se em Grande Pináculo Mecanoide.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Corruptor Mecanoide a partir de Larva Mecanoide
Roots the Mecha Spore Crawler. A rooted Mecha Spore Crawler has the ability to attack air units and detect cloaked units, but it's unable to move.	Enraíza a Lagarta de Esporos Mecanoide. Uma Lagarta de Esporos Mecanoide enraizada ataca unidades aéreas e detecta unidades camufladas, mas não pode se mover.
Mecha Spawning Pool allows you to mutate Mecha Drones into Mecha Spore Crawlers.	O Fosso de Desova Mecanoide permite a transmutação de Zangões Mecanoides em Lagartas de Esporos Mecanoides.
Uproots the Mecha Spore Crawler. An uprooted Mecha Spore Crawler has the ability to move but cannot attack.	Desenraíza a Lagarta de Esporos Mecanoide. Uma Lagarta de Esporos Mecanoide desenraizada pode se mover, mas não ataca.
Uprooted anti-air defensive structure. Can move when uprooted, but cannot attack.	Estrutura de defesa antiaérea desenraizada. Pode se mover quando estiver desenraizada, mas não ataca.
This building can research two upgrades at once.	Esta estrutura pode pesquisar dois aprimoramentos ao mesmo tempo.
This unit generates a Stetzone that amplifies the attributes of nearby friendly units.	Esta unidade gera uma Stetzona que amplifica os atributos de unidades aliadas próximas.
Supports Stetellite deployment at a base level.	Dá suporte ao acionamento do Stetélite em nível básico.
Supports Stetellite deployment at a moderate level, decreasing its cooldown and increasing its maximum number of charges.	Dá suporte ao acionamento do Stetélite em nível mediano, reduzindo a recarga e aumentando o número máximo de cargas.
Supports Stetellite deployment at the maximum level, further decreasing its cooldown and increasing its maximum number of charges.	Dá suporte ao acionamento do Stetélite em nível máximo, reduzindo ainda mais a recarga e aumentando o número máximo de cargas.
Stetmann's super best friend! Can use E-Gorb, Stetellite Overcharge, Semi-Stable Mass Transportation, and Gary-zone.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	O supermelhor amigo do Stetmann! Usa Egorbe, Sobrecarga de Stetélite, Transporte em Massa Semiestável e Garyzona.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres e aéreas.</c>
Gary generates his own power and is not affected by passive Stetzones bonuses. He regenerates <d ref="Unit,SuperGaryStetmann,LifeRegenRate"/> life per second.	Gary gera sua própria energia e não é afetado pelos bônus passivos das Stetzonas. Ele regenera <d ref="Unit,SuperGaryStetmann,LifeRegenRate"/> de vida por segundo.
<c val="ffff8a">Enables:</c><n/>- Mecha Ultralisks from Mecha Larvae	<c val="ffff8a">Ativa:</c><n/>- Mammuthus Mecanoide a partir de Larva Mecanoide
Heavy assault beast. Has an area-damage attack. Can use Vectored Burrow Charge and Mecha Mooch Module.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Monstro de ataque pesado. Ataca causando dano de área. Usa Investida Subterrânea Vetorizada e Módulo Emboscador Mecanoide.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
Grants the unit <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% damage reduction.	Concede <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% de redução de dano à unidade.
Burrow and charge towards a unit. Upon unburrowing, all enemy units in the vicinity are knocked back and dealt <d ref="Effect,UltraliskStetmannBurrowChargeTargetDamage,Amount"/> damage.	Entoca-se e avança contra uma unidade. Ao se desentocar, repele todas as unidades ao redor e causa <d ref="Effect,UltraliskStetmannBurrowChargeTargetDamage,Amount"/> de dano.
Enemy mechanical ground units in a larger area are stunned.	Unidades terrestres mecânicas inimigas numa área ampla são atordoadas.
Absorbs <d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/> health from a nearby enemy or friendly mechanical unit, healing for that amount.	Absorve <d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/> de vida de unidades mecânicas aliadas ou inimigas próximas, concedendo uma cura equivalente.
Mecha Ultralisk Cavern enables you to morph Mecha Ultralisks.	A Caverna do Mammuthus Mecanoide permite a transmutação de Mammuthus Mecanoides.
For each <d ref="-1/Effect,UltraliskStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">Mecha Ultralisk Remnant </c> collected by <c val="ffff8a">Stetellites</c>, <c val="ffff8a">Gary</c>, and <c val="ffff8a">Super Gary</c>, a <c val="ffff8a">Mecha Ultralisk</c> will respawn here at no cost.<n/>	Para cada <d ref="-1/Effect,UltraliskStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">Resto de Mammuthus Mecanoide</c> coletado por <c val="ffff8a">Stetélites</c>, <c val="ffff8a">Gary</c> e <c val="ffff8a">Super Gary</c>, um <c val="ffff8a">Mammuthus Mecanoide</c> surgirá aqui sem custo.<n/>
When this unit is destroyed near an active Stetellite, Gary, or Super Gary, it will drop 1 <c val="ffff8a">Mecha Ultralisk Remnant</c>.	Quando esta unidade é destruída perto de um Stetélite ativo, Gary ou Super Gary, ela solta 1 <c val="ffff8a">Resto de Mammuthus Mecanoide</c>.
Upgrades the armor of all Mecha Zerg air units.	Aprimora a blindagem de todas as unidades aéreas Zergs Mecanoides.
Further upgrades the armor of all Mecha Zerg air units.	Aprimora mais a blindagem de todas as unidades aéreas Zergs Mecanoides.
Maximizes the armor of all Mecha Zerg air units.	Maximiza a blindagem de todas as unidades aéreas Zergs Mecanoides.
Upgrades the attacks of all Mecha Zerg air units.	Aprimora os ataques de todas as unidades aéreas Zergs Mecanoides.
Further upgrades the attacks of all Mecha Zerg air units.	Aprimora mais os ataques de todas as unidades aéreas Zergs Mecanoides.
Maximizes the attacks of all Mecha Zerg air units.	Maximiza os ataques de todas as unidades aéreas Zergs Mecanoides.
Upgrades the armor of all Mecha Zerg ground units.	Aprimora a blindagem de todas as unidades terrestres Zergs Mecanoides.
Further upgrades the armor of all Mecha Zerg ground units.	Aprimora mais a blindagem de todas as unidades terrestres Zergs Mecanoides.
Maximizes the armor of all Mecha Zerg ground units.	Maximiza a blindagem de todas as unidades terrestres Zergs Mecanoides.
Upgrades all Mecha Zerg melee attacks.	Aprimora todos os ataques corpo a corpo de Zergs Mecanoides.
Further upgrades all Mecha Zerg melee attacks.	Aprimora mais todos os ataques corpo a corpo de Zergs Mecanoides.
Maximizes all Mecha Zerg melee attacks.	Maximiza todos os ataques corpo a corpo de Zergs Mecanoides.
Upgrades the attacks of all Mecha Zerg ground ranged units.	Aprimora os ataques de todas as unidades terrestres Zergs Mecanoides de longo alcance.
Upgrades the attacks of all Zerg ground ranged units.	Aprimora os ataques de todas as unidades terrestres de longo alcance.
Further upgrades the attacks of all Mecha Zerg ground ranged units.	Aprimora mais os ataques de todas as unidades terrestres Zergs Mecanoides de longo alcance.
Maximizes the attacks of all Mecha Zerg ground ranged units.	Maximiza os ataques de todas as unidades terrestres Zergs Mecanoides de longo alcance.
Fast melee creature. Can morph into a Mecha Baneling.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Criatura rápida de luta corpo a corpo. Transmuta-se em Tatu-bomba Mecanoide.<n/><n/><c val="FFFF8A">Ataca unidades terrestres.</c>
Increases attack speed by <d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%. Drains <d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/> Egonergy per attack.	Aumenta em <d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>% a velocidade de ataque. Drena <d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergia por ataque.
Reduces incoming damage to a maximum of <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>. Drains <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> Egonergy per use.	Reduz o dano recebido para um máximo de <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>. Drena <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergia por uso.
Movement speed increased by <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100" player = "0"/>%.	Velocidade de movimento aumentada em <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100" player = "0"/>%.
Mecha Spawning Pool enables you to morph Mecha Zerglings.	O Fosso de Desova Mecanoide permite a transmutação de Zergnídeos Mecanoides.
For each <d ref="-1/Effect,ZerglingStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">Mecha Zergling Remnant</c> collected by <c val="ffff8a">Stetellites</c>, <c val="ffff8a">Gary</c>, and <c val="ffff8a">Super Gary</c>, a <c val="ffff8a">Mecha Zergling</c> will spawn here at no cost.<n/>	Para cada <d ref="-1/Effect,ZerglingStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">Resto de Zergnídeo Mecanoide</c> coletado por <c val="ffff8a">Stetélites</c>, <c val="ffff8a">Gary</c> e <c val="ffff8a">Super Gary</c>, um <c val="ffff8a">Zergnídeo Mecanoide</c> surgirá aqui sem custo.<n/>
When this unit is destroyed near an active Stetellite, Gary, or Super Gary, it will drop 1 <c val="ffff8a">Mecha Zergling Remnant</c>.	Quando esta unidade é destruída perto de um Stetélite ativo, Gary ou Super Gary, ela solta 1 <c val="ffff8a">Resto de Zergnídeo Mecanoide</c>.
Burrowed	Entocado
Super Best Friend	Supermelhor Amigo
Combat Buff	Bônus de Combate
Include mod for Egon Stetmann	Incluir modificação para Egon Stetmann
Commander Stetmann	Comandante Stetmann
BroodLordStetmannInterceptorCreate	BroodLordStetmannInterceptorCreate
Initialize	Inicializar
CommanderPrestigeStetmannCombatBuffCopyStacks	CommanderPrestigeStetmannCombatBuffCopyStacks
CommanderPrestigeStetmannCombatBuffIterateSpawnedUnits	CommanderPrestigeStetmannCombatBuffIterateSpawnedUnits
GaryOrbEmpoweredImpactDummy	Orbe de Gary - Fortalecido - Impacto - Dummy
GaryOrbImpactDummy	Orbe de Gary - Impacto - Dummy
GaryStetmannPowerCountdown	Gary - Stetmann - Poder - Contagem
Gary Stetmann Recall Find Target	Gary - Stetmann - Chamado - Encontrar Alvo
Hellfire Missile Pack	Bateria de Mísseis Inferno
Hurricane Missile Burst Persistent	Míssil Furacão Rajada Persistente
Hurricane Missile Damage Delay Persistent	Míssil Furacão Dano Atraso Persistente
Hurricane Missile Damage Persistent	Míssil Furacão Dano Persistente
Hurricane Missile Damage	Míssil Furacão - Danos
Hurricane Missile Left Dummy	Míssil Furacão - Esquerda - Simulação
Hurricane Missile Left LM	Míssil Furacão Esquerda LM
Hurricane Missile Right Dummy	Míssil Furacão - Direita - Simulação
Hurricane Missile Right LM	Míssil Furacão Direita LM
Hurricane Missile	Míssil Furacão
Lurker Tunneling Burst Prepare	Furtivo - Rajada Escavadora - Preparar
Lurker U	Furtivo U
Power Tower Overcharge Find Target	Sobrecarga da Torre de Energia - Encontrar Alvo
Power Tower Overcharge	Sobrecarga da Torre de Energia
Ultralisk Mechanical Life Leech Modify Self	Mammuthus - Drenagem de Vida Mecânica - Automodificação
Ultralisk Mechanical Life Leech Modify Target	Mammuthus - Drenagem de Vida Mecânica - Modificar Alvo
Ultralisk Mechanical Life Leech Ally	Mammuthus - Drenagem de Vida Mecânica - Aliado
Target already Overcharged	Alvo já está sobrecarregado
Must target Stetellite	É necessário mirar em Stetélite
Location is too close	Local muito próximo
MechaZerg	Zerg Mecanoide
Best Friend	Melhor Amigo
Mecha Hatchery	Incubadora Mecanoide
Mecha Hydralisk Den	Covil de Hidraliscas Mecanoide
Mecha Lair	Antro Mecanoide
Mecha Spire	Pináculo Mecanoide
Mecha Baneling Nest	Ninho de Tatu-bomba Mecanoide
Mecha Hive	Colmeia Mecanoide
Mecha Infestation Pit	Fosso de Infestação Mecanoide
Mutate Mecha Hydralisk Den into Mecha Lurker Den	Mutação de Covil de Hidraliscas Mecanoide em Covil de Furtivo Mecanoide
Mecha Roach Warren	Toca de Barata Mecanoide
Mecha Spawning Pool	Fosso de Desova Mecanoide
Research Egonergy Enhanced Explosives at the Mecha Baneling Nest	Pesquise Explosivos de Egonergia Aprimorados no Ninho de Tatu-bomba Mecanoide
Research Egonergy Efficient Barrier at the Mecha Baneling Nest	Pesquise a Barreira de Egonergia Eficiente no Ninho de Tatu-bomba Mecanoide
Research Anti-Centripetal Rocket Servos at the Mecha Baneling Nest	Pesquisa Servomecanismos de Foguetes Anticentrípetos no Ninho de Tatu-bomba Mecanoide
Research Stetmato Cannon at the Mecha Greater Spire	Pesquise o Canhão Stetmato no Grande Pináculo Mecanoide
Research Terraclean Solvent at the Mecha Spire	Pesquisa o Solvente Terrapurificador no Pináculo Mecanoide
Research Erudition Missile Launchers at the Mecha Hydralisk Den	Pesquisa Lançadores de Mísseis Erudição no Covil de Hidraliscas Mecanoide
Research Erduition Missile Launchers at the Mecha Hydralisk Den	Pesquisa Lançadores de Mísseis Erudição no Covil de Hidraliscas Mecanoide
Research Hydra-lic Augments at the Mecha Hydralisk Den	Pesquisa Desenvolvimentos Hidrálicos no Covil de Hidraliscas Mecanoide
Research Tyr-Class Targeting System at the Mecha Hydralisk Den	Pesquisa Sistema de Mira Classe Tyr no Covil de Hidraliscas Mecanoide
Research UMI-C Charging Protocol at the Mecha Infestation Pit	Pesquisa Protocolo de Carregamento CHAR-G no Fosso de Infestação Mecanoide
Research Focused Strike Algorithm at the Mecha Lurker Den	Pesquisa Algoritmo de Ataque Convergente no Covil de Furtivo Mecanoide
Research Pneumatized Fuselage at the Mecha Hatchery, Mecha Lair, or Mecha Hive	Pesquisa Fuselagem Pneumática na Incubadora Mecanoide, no Antro Mecanoide ou na Colmeia Mecanoide
Research Ventral Pods at the Mecha Hatchery, Mecha Lair, or Mecha Hive	Pesquisa Cápsulas Ventrais na Incubadora Mecanoide, no Antro Mecanoide ou na Colmeia Mecanoide
Research Chitanium Plating at the Mecha Ultralisk Cavern	Pesquisa Revestimento de Quitânio na Caverna do Mammuthus Mecanoide
Research Mecha Mooch Module at the Mecha Ultralisk Cavern	Pesquisar Módulo Emboscador Mecanoide na Caverna do Mammuthus Mecanoide
Research Synthetic Adrenal Pumps at the Mecha Spawning Pool	Pesquisa Bombas de Adrenalina Sintética no Fosso de Desova Mecanoide
Research Hardened Egonergy Shield at the Mecha Spawning Pool	Pesquise o Escudo de Egonergia Fortalecido no Fosso de Desova Mecanoide
Research Metal-bolic Boost at the Mecha Spawning Pool	Pesquisa Reforço Metalbólico no Fosso de Desova Mecanoide
Limit 1	Limite 1
Must have fewer than 6 Mecha Locusceptors	É preciso ter menos de 6 Gafanhoceptores Mecanoides
Mecha Broodlings not fully armed	Armamento dos Parasitoides Mecanoides incompleto
Zerg - Mecha	Zerg - Mecanoide
Use any ground unit to collect Archangel Parts.	Use qualquer unidade terrestre para coletar Peças do Arcanjo.
Mecha Zerg Flyer Plating	Revestimento de Zerg Mecanoide Voador
Mecha Zerg Building Armor	Blindagem de Estrutura Zerg Mecanoide
Mecha Zerg Ground Plating	Revestimento de Zerg Terrestre Mecanoide
Mecha Baneling Cocoon	Casulo de Tatu-bomba Mecanoide
Mecha Battlecarrier Lord Cocoon	Casulo de Lorde Encouraçado Mecanoide
BroodLordStetmannBWeapon	Lorde das Castas - Stetmann - Arma B
BroodLordStetmannYamatoWeapon	Lorde das Castas - Stetmann - Arma Yamato
Broodling	Parasitoide
Mecha Broodling	Parasitoide Mecanoide
Coop Caster Stetmann	Lançador Cooperativo de Stetmann
Caustic Spray Missile	Projétil de Spray Cáustico
Mecha Drone	Zangão Mecanoide
Mecha Egg	Ovo Mecanoide
Mecha Evolution Chamber	Câmara Evolutiva Mecanoide
Mecha Extractor	Extrator Mecanoide
Gary	Gary
Gary Stetmann Missile	Gary - Stetmann - Míssil
Gary Orb Missile Empowered	Orbe de Gary - Míssil Fortalecido
Gary Orb Missile Unempowered	Míssil do Orbe de Gary Desenergizado
Gary's Room	Ponto do Gary
Mecha Greater Spire	Grande Pináculo Mecanoide
Hurricane Missile Left	Míssil Furacão Esquerdo
Hurricane Missile Right	Míssil Furacão Direito
Needle Spine	Urticária
Hydralisk Ground Weapon	Arma Terrestre Hidralisca
Hydralisk Air Weapon	Arma Aérea Hidralisca
Hydralisk Air Weapon Upgraded	Arma Aérea Hidralisca Aprimorada
