Amorphous Armorcloud	Protezione informe
<c val ="ffff8a">Dehaka's</c> fiery breath scorches the earth, dealing weapon damage (<d ref="$AccumulatedValue:Effect,MammothBreathDamage,Amount$"/>) to all enemy ground units in its path.	Il respiro infuocato di <c val ="ffff8a">Dehaka</c> brucia la terra, infliggendo <d ref="$AccumulatedValue:Effect,MammothBreathDamage,Amount$"/> danni a tutte le unità terrestri nemiche sulla sua traiettoria.
<c val ="ffff8a">Dehaka</c> passively heals all allied units nearby.<n/><n/><c val="ffffcc00">Level 2</c> - 2 life per second.<n/><c val="ffffcc00">Level 3</c> - 3 life per second.	<c val ="ffff8a">Dehaka</c> cura tutte le unità alleate vicine.<n/><n/><c val="ffffcc00">Livello 2</c> - 2 punti vita al secondo.<n/><c val="ffffcc00">Livello 3</c> - 3 punti vita al secondo.
Deals damage to enemy ground units around Dehaka.<n/><n/><c val="ffffcc00">Level 1</c> - <d ref="Effect,DehakaStompDamageA,Amount"/> damage.<n/><c val="ffffcc00">Level 2</c> - <d ref="Effect,DehakaStompDamageB,Amount"/> damage.<n/><c val="ffffcc00">Level 3</c> - <d ref="Effect,DehakaStompDamageC,Amount"/> damage, heals Dehaka for 100% of damage dealt.	Infligge danni alle unità terrestri nemiche vicine a Dehaka.<n/><n/><c val="ffffcc00">Livello 1</c> - <d ref="Effect,DehakaStompDamageA,Amount"/> danni.<n/><c val="ffffcc00">Livello 2</c> - <d ref="Effect,DehakaStompDamageB,Amount"/> danni.<n/><c val="ffffcc00">Livello 3</c> - <d ref="Effect,DehakaStompDamageC,Amount"/> danni, e cura Dehaka del 100% dei danni inflitti.
Deals damage to enemy units in front of Dehaka.<n/><n/><c val="ffffcc00">Level 1</c> - 50 damage.<n/><c val="ffffcc00">Level 2</c> - 100 damage.<n/><c val="ffffcc00">Level 3</c> - 100 damage, heals Dehaka for 100% of damage dealt.	Infligge danni alle unità nemiche davanti a Dehaka.<n/><n/><c val="ffffcc00">Livello 1</c> - 50 danni.<n/><c val="ffffcc00">Livello 2</c> - 100 danni.<n/><c val="ffffcc00">Livello 3</c> - 100 danni, e cura Dehaka del 100% dei danni inflitti.
Pulls the target to Dehaka's location and temporarily stuns it.<n/><n/><c val="ffffcc00">Level 1</c> - Range 9, 5 second stun.<n/><c val="ffffcc00">Level 2</c> - Range 11, 5 second stun. Target's Armor reduced by 5.<n/><c val="ffffcc00">Level 3</c> - Cooldown reduced by 2  seconds. Target's Armor reduced by 5. Pulls 2 additional nearby targets.	Trascina il bersaglio nella posizione di Dehaka e lo stordisce temporaneamente<n/><n/><c val="ffffcc00">Livello 1</c>: portata 9, 5 secondi di stordimento.<n/><c val="ffffcc00">Livello 2</c>: portata 11, 5 secondi di stordimento, corazza del bersaglio ridotta di 5.<n/><c val="ffffcc00">Livello 3</c>: tempo di recupero ridotto di 2 secondi, corazza del bersaglio ridotta di 5, trascina 2 bersagli vicini aggiuntivi.
Elite stationary defender. Deals heavy single target damage to ground units. Can switch into Fighter mode to provide air support.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Nave d'élite. Infligge ingenti danni a singoli bersagli terrestri. Può passare in Assetto aereo per fornire supporto nei cieli.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
Raid Liberators can attack structures while in Defender Mode.	Liberatori d'assalto possono attaccare le strutture in Assetto difensore.
Elite artillery fighter. Loaded with missiles that deal area damage to enemy air targets. Can switch into Defender Mode to provide siege support.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Nave d'élite che dispone di missili che infliggono danni ad area alle unità aeree nemiche. Può passare in Assetto difensore per fornire supporto negli assedi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree.</c>
Reverts to Fighter Mode. In this mode Raid Liberators can move, but they can only attack air targets.	Torna in Assetto aereo. In questa modalità, i Liberatori d'assalto possono spostarsi ma attaccare solo bersagli aerei.
Deploys into Defender Mode. In this mode Raid Liberators inflict single target damage to ground units. Raid Liberators in this mode cannot move.	Attiva l'Assetto difensore. In questa modalità, i Liberatori d'assalto infliggono ingenti danni a singoli bersagli terrestri. Questa modalità non consente il movimento.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneLockOnDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Le armi del Cyclone si agganciano all'unità bersaglio, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneLockOnDamage,Amount"/> danni in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
Increases Cyclone Lock On range by 3.	Estende di 3 la portata di Aggancio dei Cyclone.
Locks the Cyclone's weapons on the target unit and an additional nearby enemy, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage to each target over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	Le armi del Cyclone si agganciano all'unità bersaglio e a un nemico vicino, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> danni a ciascuno di essi in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
Spawns from Swarm Hosts. Locusts last <d ref="Behavior,LocustTimedLife,Duration"/> seconds.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Generata dall'Ospite dello Sciame. Le Locuste hanno vita limitata a <d ref="Behavior,LocustTimedLife,Duration"/> secondi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree e terrestri.</c>
Raid Liberators transform between modes four times faster.	Quadruplica la velocità di trasformazione dei Liberatori d'assalto.
Siege Tanks gain +40 attack damage while in Siege Mode. Splash damage remains the same.	Aumenta di 40 i danni inflitti dai Carri in Assetto d'assedio. I danni radiali restano immutati.
Dehaka's fiery breath scorches the earth, dealing weapon damage (<d ref="$AccumulatedValue:Effect,MammothBreathDamage,Amount$"/>) to all enemy ground units in its path.	Il respiro infuocato di Dehaka brucia la terra, infliggendo <d ref="$AccumulatedValue:Effect,MammothBreathDamage,Amount$"/> danni a tutte le unità terrestri nemiche sulla sua traiettoria.
Deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to target enemy unit.	Infligge <d ref="Effect,MagrailMunitionsDamage,Amount"/> danni all'unità nemica selezionata.
Elite heavy assault infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Fante scelto da assalto.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
Heals the Elite Marine for <d ref="Behavior,SuperStim,Modification.VitalRegenArray[Life]"/> life per second and increases its attack and movement speeds for <d ref="Behavior,Stimpack,Duration" precision="1"/> seconds.	Cura i Marine d'élite di <d ref="Behavior,SuperStim,Modification.VitalRegenArray[Life]"/> vita al secondo e ne aumenta velocità d'attacco e movimento per <d ref="Behavior,Stimpack,Duration" precision="1"/> secondi.
Elite all-purpose infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Fante scelto.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri e aeree.</c>
This Toxic Nest has <d ref="Effect,MasteryAbathurToxicNestRespawn,Chance*100"/>% chance respawn on death.	Questo Nido tossico ha una probabilità del <d ref="Effect,MasteryAbathurToxicNestRespawn,Chance*100"/>% di rigenerarsi alla morte.
Drops 4 War Pigs, 2 Devil Dogs, and 2 Hammer Securities on top of enemies, stunning them for <d time="5"/>.	Fa sbarcare 4 Porci da guerra, 2 Mastini infernali e 2 mercenari della Hammer Security sui nemici, lasciandoli storditi per <d time="5"/>.
Calls down <d ref="Effect,ZagaraVoidCoopMassRoachDropCP,PeriodCount+1"/> drop-pods onto the target area, dealing <d ref="Effect,ZagaraVoidCoopInfestedPodsImpactDamage,Amount"/> damage with each drop-pod and spawning a total of <d ref="Effect,ZagaraVoidCoopInfestedPodsImpactCU,SpawnCount*(Effect,ZagaraVoidCoopMassRoachDropCP,PeriodCount+1)"/> Roaches that last <d ref="Behavior,ZagaraVoidCoopInfestedPodsTimedLife,Duration"/> seconds.	Richiama <d ref="Effect,ZagaraVoidCoopMassRoachDropCP,PeriodCount+1"/> capsule sull'area bersaglio, infliggendo <d ref="Effect,ZagaraVoidCoopInfestedPodsImpactDamage,Amount"/> danni con ogni capsula e generando <d ref="Effect,ZagaraVoidCoopInfestedPodsImpactCU,SpawnCount*(Effect,ZagaraVoidCoopMassRoachDropCP,PeriodCount+1)"/> Blatte che durano <d ref="Behavior,ZagaraVoidCoopInfestedPodsTimedLife,Duration"/> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases unit's chance to drop all of its Biomass by <c val="FFFF8A"><d ref="Effect,MasteryAbathurBiomassRefundonDeathDisplayDummy,Amount"/></c>% when killed.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryAbathurBiomassRefundonDeathDisplayDummy,Amount"/></c>% la probabilità che l'unità rilasci la biomassa raccolta alla morte.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces structures’ morph and research times by <c val="FFFF8A"><d ref="Effect,MasteryAbathurBuildingMorphandResearchSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryAbathurBuildingMorphandResearchSpeedDisplayDummy,Amount"/></c>% il tempo di mutazione delle strutture e delle evoluzioni.
<n/><n/><c val="FFFF8A">Mastery:</c> Enemies have <c val="FFFF8A"><d ref="Effect,MasteryAbathurDoubleBiomassDisplayDummy,Amount" precision="1"/></c>% chance to drop 100% additional Biomass.	<n/><n/><c val="FFFF8A">Maestria:</c> I nemici hanno il <c val="FFFF8A"><d ref="Effect,MasteryAbathurDoubleBiomassDisplayDummy,Amount" precision="1"/></c>% di probabilità di rilasciare il 100% di biomassa aggiuntiva.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases the periodic heal duration of Mend by <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealDurationDisplayDummy,Amount" player="current"/></c>  seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta la durata delle cure nel tempo di Rimarginazione di <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealDurationDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces the Symbiote's ability cooldowns by <c val="FFFF8A"><d ref="Effect,MasteryAbathurSymbioteCDRDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryAbathurSymbioteCDRDisplayDummy,Amount"/></c>% i tempi di recupero delle abilità del Simbionte.
<n/><n/><c val="FFFF8A">Mastery: </c>Increases the Symbiote's damage dealt and damage absorbed by <c val="FFFF8A"><d ref="Effect,MasteryAbathurSymbioteCarapaceAbsorbtionDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni assorbiti e inflitti dal Simbionte del <c val="FFFF8A"><d ref="Effect,MasteryAbathurSymbioteCarapaceAbsorbtionDisplayDummy,Amount"/></c>%.
<n/><n/><c val="FFFF8A">Mastery:</c> Stores an additional <c val="FFFF8A"><d ref="Effect,MasteryAbathurToxicNestChargeCountDisplayDummy,Amount" player="current"/></c> charges and reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryAbathurToxicNestCooldownDisplayDummy,Amount" player="current" precision="1"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Accumula <c val="FFFF8A"><d ref="Effect,MasteryAbathurToxicNestChargeCountDisplayDummy,Amount" player="current"/></c> cariche aggiuntive e riduce il tempo di recupero di <c val="FFFF8A"><d ref="Effect,MasteryAbathurToxicNestCooldownDisplayDummy,Amount" player="current" precision="1"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases Toxic Nest detonate damage by <c val="FFFF8A"><d ref="$UpgradeLevel:MasteryAbathurToxicNestDamageAndRespawn$*$UpgradeEffectArrayValue:MasteryAbathurToxicNestDamageAndRespawn:Effect,ToxicNestExplodeDamage,Amount$" precision="1" player ="current"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta di <c val="FFFF8A"><d ref="$UpgradeLevel:MasteryAbathurToxicNestDamageAndRespawn$*$UpgradeEffectArrayValue:MasteryAbathurToxicNestDamageAndRespawn:Effect,ToxicNestExplodeDamage,Amount$" precision="1" player ="current"/></c> i danni dell'esplosione di Nido tossico.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases attack damage by <c val="FFFF8A"><d ref="Effect,MasteryAlarakAutoAttackDamageDisplayDummy,Amount"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni da attacco di <c val="FFFF8A"><d ref="Effect,MasteryAlarakAutoAttackDamageDisplayDummy,Amount"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases structures' production speed by <c val="FFFF8A"><d ref="Effect,MasteryAlarakChronoBoostDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryAlarakChronoBoostDisplayDummy,Amount"/></c>% la velocità di produzione delle strutture.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryAlarakDeathFleetCDRDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryAlarakDeathFleetCDRDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases duration by <c val="FFFF8A"><d ref="Effect,MasteryAlarakEmpowerMeSlavesDurationDisplayDummy,Amount" precision="1"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta la durata di <c val="FFFF8A"><d ref="Effect,MasteryAlarakEmpowerMeSlavesDurationDisplayDummy,Amount" precision="1"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage absorbed by <c val="FFFF8A"><d ref="Effect,MasteryAlarakStructureOverchargeDamageDisplayDummy,Amount" player="Current"/></c> and attack speed by <c val="FFFF8A"><d ref="Effect,MasteryAlarakStructureOverchargeDamageDisplayDummyPercent,Amount" player="Current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta di <c val="FFFF8A"><d ref="Effect,MasteryAlarakStructureOverchargeDamageDisplayDummy,Amount" player="Current"/></c> i danni assorbiti e del <c val="FFFF8A"><d ref="Effect,MasteryAlarakStructureOverchargeDamageDisplayDummyPercent,Amount" player="Current"/></c>% la velocità d'attacco.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces warp in time by <c val="FFFF8A"><d ref="Effect,MasteryAlarakCocoonTimerDisplayDummy,Amount" precision="1"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce il tempo di evocazione di <c val="FFFF8A"><d ref="Effect,MasteryAlarakCocoonTimerDisplayDummy,Amount" precision="1"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases structures’ production speed by <c val="FFFF8A"><d ref="Effect,MasteryArtanisChronoBoostDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryArtanisChronoBoostDisplayDummy,Amount"/></c>% la velocità di produzione delle strutture.
<n/><n/><c val="FFFF8A">Mastery:</c> Restores <c val="FFFF8A"><d ref="Effect,MasteryArtanisGuardianShellHealDisplayDummy,Amount" player="Current" precision="2"/></c>% life and shields for units when triggered.	<n/><n/><c val="FFFF8A">Maestria:</c> All'attivazione, rigenera il <c val="FFFF8A"><d ref="Effect,MasteryArtanisGuardianShellHealDisplayDummy,Amount" player="Current" precision="2"/>%</c> di punti vita e scudi dell'unità.
<n/><n/><c val="FFFF8A">Mastery:</c> Your units gain <c val="FFFF8A"><d ref="Effect,MasteryArtanisSOAWarpInHasteDisplayDummy,Amount" player="current"/></c>% increased attack speed, movement speed, cooldown reduction, and energy regeneration for 30 seconds after warping in.	<n/><n/><c val="FFFF8A">Maestria:</c> Le tue unità ricevono un bonus del <c val="FFFF8A"><d ref="Effect,MasteryArtanisSOAWarpInHasteDisplayDummy,Amount" player="current"/></c>% a velocità d'attacco e di movimento, riduzione dei tempi di recupero e rigenerazione di energia per 30 secondi dopo l'evocazione.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeCDRDisplayDummy,Amount" player="Current" precision="1"/></c> <lang rule="plural">second,seconds</lang>.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce i tempi di recupero di <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeCDRDisplayDummy,Amount" player="Current" precision="1"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases the amount of damage absorbed by <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeAmountDisplayDummy,Amount" player="Current"/></c> and effect duration by <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeTimeDisplayDummy,Amount" player="current" precision="1"/></c> <lang rule="plural">second,seconds</lang>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni assorbiti di <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeAmountDisplayDummy,Amount" player="Current"/></c> e la durata dell'effetto di <c val="FFFF8A"><d ref="Effect,MasteryArtanisShieldOverchargeTimeDisplayDummy,Amount" player="current" precision="1"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces Warp Charge cooldown by<c val="FFFF8A"> <d ref="Effect,MasteryArtanisWarpChargeCooldownDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryArtanisWarpChargeCooldownDisplayDummy,Amount"/></c>% il tempo di recupero delle Cariche dimensionali.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryZeratulAvatarCooldownDisplayDummy,Amount" player="current"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryZeratulAvatarCooldownDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases attack damage by <d ref="Effect,MasteryZagaraBanelingsDamageDisplayDummy,Amount"/>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni da attacco di <d ref="Effect,MasteryZagaraBanelingsDamageDisplayDummy,Amount"/>.
<n/><n/><c val="FFFF8A">Mastery:</c> Dehaka attacks <c val="FFFF8A"><d ref="Effect,MasteryDehakaAttackSpeedDisplayDummy,Amount" player="current" precision="1"/>%</c> faster.	<n/><n/><c val="FFFF8A">Maestria:</c> Dehaka attacca il <c val="FFFF8A"><d ref="Effect,MasteryDehakaAttackSpeedDisplayDummy,Amount" player="current" precision="1"/>%</c> più rapidamente.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases Packleaders summoned duration by <c val="FFFF8A"><d ref="Effect,MasteryDehakaBossTimedLifeDisplayDummy,Amount * 0.6" player="current" precision="2"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta la durata dei capibranco primordiali di <c val="FFFF8A"><d ref="Effect,MasteryDehakaBossTimedLifeDisplayDummy,Amount * 0.6" player="current" precision="2"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases duration of Devour passive abilities by <c val="FFFF8A"><d ref="Effect,MasteryDehakaConsumeDurationDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryDehakaConsumeDurationDisplayDummy,Amount" player="current"/></c>% la durata degli effetti passivi di Consunzione.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases the amount of life gained from consuming enemy units by <c val="FFFF8A"><d ref="Effect,MasteryDehakaConsumeHealingDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryDehakaConsumeHealingDisplayDummy,Amount" player="current"/></c>% la Vita ottenuta divorando unità nemiche.
<n/><n/><c val="FFFF8A">Mastery:</c> Collecting Essence has a <c val="FFFF8A"><d ref="Effect,MasteryDehakaDoubleHealEssenceDisplayDummy,Amount" player="current" precision="2"/>%</c> chance to heal double the normal amount.	<n/><n/><c val="FFFF8A">Maestria:</c> Raccogliere essenza ha una probabilità del <c val="FFFF8A"><d ref="Effect,MasteryDehakaDoubleHealEssenceDisplayDummy,Amount" player="current" precision="2"/>%</c> di fornire il doppio delle cure.
<n/><n/><c val="FFFF8A">Mastery:</c> Gene mutations are <c val="FFFF8A"><d ref="Effect,MasteryDehakaGeneMutationDisplayDummy,Amount" player="current" precision="1"/>%</c> more likely to occur.	<n/><n/><c val="FFFF8A">Maestria:</c> Mutazione genetica ha il <c val="FFFF8A"><d ref="Effect,MasteryDehakaGeneMutationDisplayDummy,Amount" player="current" precision="1"/>%</c> di probabilità in più di verificarsi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases initial heal by <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealInitialDisplayDummy,Amount" player="current"/></c> and adds <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealHOTDisplayDummy,Amount" player="current"/></c> over 15 seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta le cure iniziali di <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealInitialDisplayDummy,Amount" player="current"/></c> e rigenera <c val="FFFF8A"><d ref="Effect,MasteryAbathurMendHealHOTDisplayDummy,Amount" player="current"/></c> punti vita aggiuntivi in 15 secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryDehakaPrimalWurmCDRDisplayDummy,Amount * 1.2" player="current" precision="2"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryDehakaPrimalWurmCDRDisplayDummy,Amount * 1.2" player="current" precision="2"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Clolarion's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Clolarion.
<n/><n/><c val="FFFF8A">Mastery:</c> Kaldalis' attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Kaldalis.
<n/><n/><c val="FFFF8A">Mastery:</c> Mojo's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Mojo.
<n/><n/><c val="FFFF8A">Mastery:</c> Taldarin's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Taldarin.
<n/><n/><c val="FFFF8A">Mastery:</c> Talis' attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Talis.
<n/><n/><c val="FFFF8A">Mastery:</c> Warbringer's attack speed increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionAttackSpeedDisplayDummy,Amount"/></c>% la velocità d'attacco di Polemos.
<n/><n/><c val="FFFF8A">Mastery:</c> Clolarion's Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Clolarion.
<n/><n/><c val="FFFF8A">Mastery:</c> Kaldalis' Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Kaldalis.
<n/><n/><c val="FFFF8A">Mastery:</c> Mojo's Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Mojo.
<n/><n/><c val="FFFF8A">Mastery:</c> Taldarin's Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Taldarin.
<n/><n/><c val="FFFF8A">Mastery:</c> Talis' Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Talis.
<n/><n/><c val="FFFF8A">Mastery:</c> Warbringer's Life and Shields increased by <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChampionLifeShieldBuffDisplayDummy,Amount"/></c>% la vita e gli scudi di Polemos.
