Amorphous Armorcloud	Armure de brume
Graviton Disruptors	Disrupteurs à gravitons
Research Gravimetric Overload	Rechercher Surcharge gravimétrique
Warp in Kaldalis	Transférer Kaldalis
Engage	Embrayer
Empowered Blades	Lames renforcées
Kaldalis' A.I. Personality Active	Personnalité artificielle de Kaldalis activée
Kaldalis' A.I. Personality Available	Personnalité artificielle de Kaldalis disponible
Download Kaldalis' A.I. Personality	Télécharger la personnalité artificielle de Kaldalis
Fenix Kaldalis Zealot Guardian Shield	Fénix - Kaldalis - Zélote - Bouclier gardien
Fenix Kaldalis Zealot Research Guardian Shield	Fénix - Kaldalis - Zélote - Rechercher Bouclier gardien
Kaldalis' A.I. Personality	Personnalité artificielle de Kaldalis
Locked	Verrouillé
Warp in Mojo	Transférer Mojo
Force Missiles	Missiles assourdissants
Mojo's A.I. Personality Active	Personnalité artificielle de Mojo activée
Mojo's A.I. Personality Available	Personnalité artificielle de Mojo disponible
Download Mojo's A.I. Personality	Télécharger la personnalité artificielle de Mojo
Mojo's A.I. Personality	Personnalité artificielle de Mojo
Fenix PH	Fénix - Temporaire
Research Cloaking Module	Rechercher Module de camouflage
Research Purification Echo	Rechercher Écho purificateur
Mobile Mode	Mode Mobile
Warp in Taldarin	Transférer Taldarin
Taldarin's A.I. Personality Active	Personnalité artificielle de Taldarin activée
Taldarin's A.I. Personality Available	Personnalité artificielle de Taldarin disponible
Download Taldarin's A.I. Personality	Télécharger la personnalité artificielle de Taldarin
Taldarin's A.I. Personality	Personnalité artificielle de Taldarin
Warp in Talis	Transférer Talis
Talis' A.I. Personality Active	Personnalité artificielle de Talis activée
Talis' A.I. Personality Available	Personnalité artificielle de Talis disponible
Download Talis' A.I. Personality	Télécharger la personnalité artificielle de Talis
Fenix Talis Adept Kill Bounce	Fénix - Talis - Adepte - Rebond fatal
Research Debilitation System	Rechercher Système de débilitation
Fenix Talis Adept Piercing Upgrade	Fénix - Talis - Adepte - Amélioration de perforation
Fenix Talis Adept Research Piercing Upgrade	Fénix - Talis - Adepte - Rechercher Amélioration de perforation
Fenix Talis Adept Shield Upgrade	Fénix - Talis - Adepte - Amélioration de bouclier
Talis' A.I. Personality	Personnalité artificielle de Talis
Thunderous Charge	Charge tonitruante
Warp In Warbringer	Transférer le Porteguerre
Warbringer's A.I. Personality Active	Personnalité artificielle du Porteguerre activée
Warbringer's A.I. Personality Available	Personnalité artificielle du Porteguerre disponible
Download Warbringer's A.I. Personality	Télécharger la personnalité artificielle du Porteguerre
Fenix Warbringer Colossus Ice Beam	Fénix - Porteguerre - Colosse - Rayon de glace
Purification Blast	Décharge purificatrice
Warbringer's A.I. Personality	Personnalité artificielle du Porteguerre
Warp In Disruptor	Transférer un disrupteur
Final Artifact Power	Dernier pouvoir d’artéfact
Artifact Enhancement: Force Cannon	Amélioration d’artéfact : Canon de force
Build Ghost Academy	Construire une Académie fantôme
Ghost Academy Research 2	Académie fantôme - Recherche 2
Triple Tap	Tir triple
Incendiary Acid	Acide incendiaire
Spit Fire	Boule de feu
Combustive Glands	Glandes incendiaires
Artifact Enhancement: Gravitic Boosters	Amélioration d’artéfact : Réacteurs antigrav
Gravitic Drive	Répulseur
Gravitic Thrusters	Propulseurs antigrav
Greater Deep Tunnel	Tunnel profond supérieur
Mutate into Greater Roach Warren	Muter en grand terrier de cafards
Prolonged Dispersion	Dispersion prolongée
Endurance Training	Résistance à l’effort
Build Sovereign Battlecruiser	Construire un cuirassé Souverain
Revert to ATX Laser Battery	Revenir aux batteries de lasers ATX
Precision Strike	Frappe chirurgicale
Build Griffon	Construire un Griffon
Build Hellion	Construire un Tourmenteur
Tar Bombs	Bombes à poix
My Significant Other	Ma moitié
Deploy Mag Mines	Déploiement de mines magnétiques
Drone Hangar	Baie de drones
Multi-Threaded Sensors	Détecteurs multifilaires
Build Theia Raven	Construire un Corbeau Théia
[ph] Healing Pod	Capsule de réparation
Train Reaper	Former un faucheur
LE9 Cluster Charges	Chapelet de charges de LE9
Jet Pack Overdrive	Zone rouge
Builid Starport	Construire un spatioport
Imaging Radar	Radar cinétique
Build Han's Tech Lab	Construire un laboratoire technique de Mira Han
Haywire Missiles	Missiles perturbateurs
Build Valkyrie	Construire une Valkyrie
Upgrade Armor Level 1	Amélioration Blindage - Niv. 1
Upgrade Armor Level 2	Amélioration Blindage - Niv. 2
Upgrade Armor Level 3	Amélioration Blindage - Niv. 3
Upgrade Weapons Level 1	Amélioration Armes - Niv. 1
Upgrade Weapons Level 2	Amélioration Armes - Niv. 2
Upgrade Weapons Level 3	Amélioration Armes - Niv. 3
[ph]Reinforced Enhanced Supported Neosteel Plating	Blindage renforcé en NéoAcier
Build Deimos Viking	Construire un Viking Deimos
Shredder Rounds	Balles perçantes
W.I.L.D. Missiles	Roquettes B.A.R.J.O.
Build Widow Mine	Construire une mine veuve
Executioner Missiles	Missiles Tortionnaire
Black Market Launchers	Lanceurs reconditionnés
Build Asteria Wraith	Construire une Ombre Astéria
Unregistered Cloaking System	Système de camouflage non conventionnel
Overcharged Reactor	Réacteur en surcharge
Improved Barrier	Barrière améliorée
Centrifugal Hooks	Crochets centrifuges
Argus Crystal	Cristal Argus
Combat Sensor Array	Capteurs de combat
Gravitic Boosters	Réacteurs antigrav
Hi-Sec Auto Tracking	Ciblage auto. haute sécurité
KMC Auto-Loaders	Chargeurs automatiques CMK
Stasis Calibration	Calibrage de stase
Pneumatized Carapace	Carapace pneumatique
Scarab Housing	Logement à scarabée
Simplified Genome	Génome simplifié
Combat Shield	Bouclier de combat
Eternity Barrier	Barrière d’éternité
Force Cannon	Canon de force
Healing Drone Cloaked Heal Beam	Drone de soins - Rayon de soins et de camouflage
Plasma Surge	Explosion de plasma
Infernal Plating	Blindage infernal
Warp In High Archon	Transférer un haut archonte
Khaydarin Amulet	Amulette Khaydarin
Warp In Ascendant	Transférer un aspirant
Kel-Morian Worker	Ouvrier kel-morian
Call in the Fleet	Appel de la flotte
Barracks Disabled	Caserne désactivée
Hybrid Immortal Consume	Absorption - Immortel - Hybride
Hydralisk Evolved	Hydralisk évolué
Warp In Vanguard	Transférer un pénitent
Warp In Xel'Naga Enforcer	Transférer un anéantisseur Xel’Naga
Pulse Amplifier	Amplificateur d’impulsion
Evolve Improved Consumption	Évolution Cannibalisme amélioré
Improved Nano-Repair	Nano-réparation améliorée
Evolve Improved Plague	Évolution Peste améliorée
Advanced Siege Tech	Mode Siège avancé
Acidic Enzymes	Enzymes acides
Spawn Infested Marines	Générer des marines contaminés
Artifact Enhancement: Infinity Void	Amélioration d’artéfact : Vide infini
Inject Larvae	Injecter des larves
Predator Missile	Missile Prédateur
Ability Efficiency	Efficience des capacités
Graviton Warp Catapult	Catapultes à transfert de gravitons
Rapid Recharging	Recharge rapide
Optimized Ordnance	Artillerie optimisée
Enhanced Targeting	Ciblage amélioré
Kel-Morian Assist	Soutien kel-morian
Concussive Grenades	Grenades incapacitantes
Devastation Turret	Tourelle Dévastation
Blaster Billy	Billy le Blaster
Chain Reaction	Réaction en chaîne
Vicious Glave	Sabre vicieux
Evolve Cloak Aura	Évolution Aura de camouflage
Evolve Devour	Évolution Assimiler
Evolve Intimidating Roar	Évolution Grognement d’intimidation
Evolve Leap	Évolution Bond
Evolve Scorching Breath	Évolution Souffle infernal
Evolve Stomp	Évolution Piétinement
Evolve Swipe	Évolution Balayage
Evolve Drag	Évolution Attraction
Liberator Improved AA Range	Portée AA améliorée du croiseur
Raid Artillery	Artillerie de raid
Targeting Optics	Système optique de visée
Scorching Breath	Souffle infernal
Magrail Munitions	Munitions magnétiques
Super Stimpack	Super stimulants
Respawn Nest	Faire réapparaître un nid
Infested Drop	Largage contaminé
Reduced Research Costs	Coûts de recherche réduits
Reconstructive Tissue	Cicatrisation des tissus
Medusas Blades	Lames méduses
Greater Heal	Soins supérieurs
Confederate Condors	Condors confédérés
Mind Control	Contrôle mental
Spinning Dizzy	Dizzy la Toupie
Warp In Havoc	Transférer un carnage
Morph to Corpser Roach	Cafard - Transformation en nécropare
Morph To Guardian	Transformer en gardien
Morph To Tech Reactor	Transformer en réacteur technique
Cancel Silent Mode	Désactivation du mode furtif
Enable Silent Mode	Activation du mode furtif
Watcher Mode	Mode scrutateur
Spawn Creepers	Générer des mucopodes
Muscular Augmentation	Augmentation musculaire
Mutate into Lurker Den	Muter en Terrier de rôdeurs
Parent	Parent
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
Buy Candy	Acheter un bonbon
Mutator Hybrid Immortal Death	Mutagène - Mort - Immortel - Hybride
Neosteel Command Center	Centre de commandement en NéoAcier
Phase Reactor Suit	Combinaison à réacteur de phase
Jump Suit	Combinaison à réacteurs
Artifact Enhancement: Nova Battery	Amélioration d’artéfact : Batterie de nova
Detonation	Détonation
Disable Detection	Désactiver la détection
Calldown Nuke	Frappe nucléaire
Defensive Drone	Drone de défense
Ghost Visor	Visière fantôme
Sabotage Drone	Drone saboteur
Build Boombots	Construire des robots explosifs
Equip Boombots	S’équiper de robots explosifs
Equip Flashbang Grenades	S’équiper des grenades incapacitantes
Equip Flashbang Grenades Passive	S’équiper des grenades incapacitantes - Passif
Equip Pulse Grenades	S’équiper des grenades à impulsion
Equip Pulse Grenades Passive	S’équiper les grenades à impulsion - Passif
Equip Super Stim	S’équiper des super stimulants
Flashbang Grenades	Grenades incapacitantes
Build Flash Bang	Construire une grenade incapacitante
Tactical Airlift	Évacuation tactique
No Gadget Equipped	Équipée d’aucun gadget
No Weapon Equipped	Équipée d’aucune arme
Nova Revive Beacon Teleport	Nova - Balise de réanimation - Téléportation
Instant Regeneration	Régénération instantanée
Stun Drone	Drone étourdissant
Stealth Mode	Mode Furtif
Build Defensive Matrix	Construire une matrice défensive
Lockdown Missiles	Missiles incapacitants
Tac Nuke Strike	Frappe nucléaire tactique
Build Smoke Grenade	Construire une grenade fumigène
Equip Canister Rifle	S’équiper du fusil de précision
Equip Hellfire Shotgun	S’équiper du fusil Feu d’enfer
Equip Improved Canister Rifle	S’équiper du fusil de précision amélioré
Penetrating Blast	Déflagration perforante
Equip Invictus Longshot	S’équiper du fusil Invictus
Equip Monomolecular Blade	S’équiper de la lame monomoléculaire
Equip Psi Rifle	S’équiper du fusil psi
Change Equipment	Changer d’équipement
Tac Nuke Strike and Holo Decoy	Frappe nucléaire tactique et Hologramme
Odin Gains Barrage	Le Odin obtient Barrage
Build Odin MK II	Construire un Odin Mod. II
Mutate into Omega Network	Muter en réseau Oméga
Orbital Assimilator	Assimilateur orbital
Calldown: Supply Depot	Envoi : dépôt de ravitaillement
Orbital Drop-Pods	Capsules de débarquement orbitales
Order Payload To Retreat	Ordonner au convoi de se replier
Order Payload To Target	Ordonner au convoi d’avancer vers sa destination
Blood Shields	Boucliers de sang
Maelstrom Rounds	Obus Maelström
Passive Orbital Strike	Frappe orbitale passive
Solarite Payload	Charge de solarite
[ph]T.H.O.R.N.S. Retaliation System	Système de représailles S.A.B.R.E.
[ph] Movement Speed/Life Regen Aura	Vitesse de déplacement/Régénération de vie
[ph]Payload Upgrade 3a	Amélioration du convoi 3a
[ph]Payload Upgrade 3b	Amélioration du convoi 3b
[ph]Payload Upgrade 4a	Amélioration du convoi 3c
[ph]Payload Upgrade 4b	Amélioration du convoi 4b
Flaming Betty	Betty la Flambeuse
Artifact Enhancement: Phase Battery	Amélioration d’artéfact : Batterie de phase
Collect (+50 Gas)	Récolter (+50 gaz)
Collect (+25 Minerals)	Récolter (+25 minerai)
Collect (+50 Minerals)	Récolter (+50 minerai)
Place Wormhole	Placer un trou de ver
Point Defense Drone Black Ops	Drone de défense rapprochée des Opérations spéciales
Predictive Blink	Transfert prédictif
Primal Guardian	Gardien primordial
Primal Host	Essaimeur primordial
Primal Hydralisk	Hydralisk primordial
Primal Igniter	Pyropode primordial
Primal Impaler	Empaleur primordial
Primal Mutalisk	Mutalisk primordial
Ravage	Ravage
Primal Ultralisk	Ultralisk primordial
Primal Wurm	Ver primordial
Prophetic Vision	Vision prophétique
Upgrade Protoss Armor Level 1	Amélioration Armures protoss - Niv. 1
Upgrade Protoss Armor Level 2	Amélioration Armures protoss - Niv. 2
Upgrade Protoss Armor Level 3	Amélioration Armures protoss - Niv. 3
Upgrade Protoss Weapons Level 1	Amélioration Armes protoss - Niv. 1
Upgrade Protoss Weapons Level 2	Amélioration Armes protoss - Niv. 2
Upgrade Protoss Weapons Level 3	Amélioration Armes protoss - Niv. 3
Purifier Beam	Rayon du Purificateur
Purity of Will	Pureté de la volonté
Morph to Queen	Transformer en reine
Ocular Symbiote	Symbiote optique
Birth Queen	Engendrer une reine
Queen	Reine
Spawn Broodlings	Générer des vermines
Direct the Legendary Legion	Diriger la légion légendaire
Rapid Bombardment	Bombardement rapide
Evolve Rapid Incubation	Évolution Incubation rapide
Ravager	Saccageur
Covert Triage	Triage furtif
Warp In Xel'Naga Abrogator	Transférer un exterminateur Xel’Naga
Emergency Recall	Rappel d’urgence
Reconstruction Beam	Rayon reconstructeur
Reconstruction	Reconstruction
Artifact Enhancement: Reflection Shield	Amélioration d’artéfact : Bouclier de renvoi
Regenerative Bio-Steel	Bio-acier régénérant
Repair Drakken Laser Drill	Réparer la foreuse laser Drakken
Replenish Widow Mines	Stock de mines veuves
Research 330mm Barrage Cannon	Rechercher Canon à tir de barrage 330 mm
Research Hidden Toxic Nest	Rechercher Nid toxique caché
Research Improved Toxic Nest	Rechercher Nid toxique amélioré
Research Pressurized Glands	Rechercher Glandes pressurisées
Research Mutalisk Health Scaling Upgrade	Rechercher l’amélioration d’échelonnement des points de vie du mutalisk
Evolve Networked Carapace	Évolution Carapace en réseau
Research Roach Range Scaling Upgrade	Rechercher l’amélioration d’échelonnement de la portée des cafards
Research Additional Lock On Target	Rechercher Verrouiller cible supplémentaire
Research Psionic Projection	Rechercher Projection psionique
Research Adept Shade Debuff	Rechercher Malus de silhouette de l’adepte
Research Advanced Healing AI	Rechercher IA de soin avancée
Research Afterburners	Rechercher Post-combustion
Research Imposing Presence	Rechercher Aura intimidante
Research Aerial Tracking	Rechercher Ciblage aérien
Research Rapid Power Cycling	Rechercher Accélérateur à induction
Research Telekinesis	Rechercher Télékinésie
Research Bloodshard Resonance	Rechercher Résonance des cristaux de sang
Research Power Overwhelming	Rechercher Déferlement de puissance
Research Chaotic Attunement	Rechercher Syntonie chaotique
Chaotic Attunement	Syntonie chaotique
Research Force Blast	Rechercher Déflagration psionique
Research Soul Augmentation	Rechercher Renforcement psychique
Research Detect Weakness	Rechercher Détection des faiblesses
Research Matter Dispersion	Rechercher Dispersion de matière
Research Frenzied Overload	Rechercher Élan frénétique
Research Ares-Class Targeting System	Rechercher Système de ciblage de classe Arès
Research Automated Mitosis	Rechercher Mitose automatique
Research Cloaking Field	Rechercher Champ de camouflage
Research Rocket Barrage	Rechercher Barrage de roquettes
Research Improved Barrier	Rechercher Barrière améliorée
Research Beam Bounce	Rechercher Rebond de rayon
Research Blink Charges	Rechercher Charges de transfert
Research Blink	Rechercher Transfert
Research Phase Reactor	Rechercher Réacteur de phase
Research Blink Shield Upgrade	Rechercher Amélioration de bouclier de transfert
Research Braced Exoskeleton	Rechercher Exosquelette renforcé
Research Omnisteel Bunker	Rechercher Bunker en OmniAcier
Research Photon Bombs	Rechercher Bombes à photons
Research Repair Drones	Rechercher Drones réparateurs
Research Cerberus Mine	Rechercher Mine Cerbère
Research Chrono Beam	Rechercher Rayon temporel
Research Cloud Dispersal	Rechercher Nuée dispersive
Research Disruption Web	Rechercher Filet disrupteur
Research Stealth Drive	Rechercher Propulsion furtive
Research Covert Triage	Rechercher Triage furtif
Research Argus Crystal	Rechercher Cristal Argus
Research Mind Control	Rechercher Contrôle mental
Research Dark Templar Recall	Rechercher Rappel de templier noir
Research Defensive Matrix	Rechercher Matrice défensive
Evolve Brutal Charge	Évolution Charge brutale
Evolve Healing Adaptation	Évolution Adaptation revitalisante
Research Spider Mines	Rechercher Mines araignées
Research Destruction Beam	Rechercher Rayon destructeur
Research Disintegration	Rechercher Désintégration
Research Displacement Field	Rechercher Champ de distorsion
Research Double Graviton Beam	Rechercher Double rayon à gravitons
Research Trillic Compression Systems	Rechercher Systèmes trilliques compressés
Research Singularity Charge	Rechercher Charge de singularité
Upgrade Laser Drill Level 1	Amélioration Foreuse laser - Niv. 1
Upgrade Laser Drill Level 2	Amélioration Foreuse laser - Niv. 2
Research Dual Fusion Welders	Rechercher Soudeurs à fusion jumelés
Research Reclamation	Rechercher Réquisition
Research Enhanced Manufacturing	Rechercher Fabrication améliorée
Research Enhanced Mitochondria	Rechercher Mitochondrie améliorée
Research Observation Protocol	Rechercher Protocole de surveillance
Research Interdictors	Rechercher Interdicteurs
Research Suppression Procedure	Rechercher Incapacitation
Research Empowered Blades	Rechercher Lames renforcées
Research Combat Sensor Array	Rechercher Capteurs de combat
Research Optimized Emitters	Rechercher Émetteurs optimisés
Research Fenix Sentry Null Shield Reflect	Rechercher - Fénix - Sentinelle - Barrière-zéro - Renvoi
Research Photon Overcharge	Rechercher Surcharge photonique
Research Purifier Armaments	Rechercher Armement de Purificateur
Research Fenix Talis Adept Kill Bounce	Rechercher - Fénix - Talis - Adepte - Rebond fatal
Research Fenix Talis Adept Shield Upgrade	Rechercher - Fénix - Talis - Adepte - Amélioration de bouclier
Research Purification Blast	Rechercher Décharge purificatrice
Research Fire Beam	Rechercher Rayon de feu
Research Fire Suppression Systems	Rechercher Auto-extinction des incendies
Research Firebat	Rechercher Flammeur
Research Fortified Bunker	Rechercher Bunker fortifié
Research G-4 Clusterbomb	Rechercher Bombe à fragmentation G-4
Research EMP Round	Rechercher Balles IEM
Research Triple Tap	Rechercher Tir triple
Research Goliath	Rechercher Goliath
Research Graduating Range	Rechercher Portée graduée
Research Gravitic Thrusters	Rechercher Propulseurs antigrav
Research Napalm Payload	Rechercher Réservoir de napalm
Research Immolation Fluid	Rechercher Liquide inflammable
Research Wildfire Explosives	Rechercher Bombe incendiaire
Research Aerosol Stim Emitters	Rechercher Émetteurs de stimulants gazeux
Research Tar Bombs	Rechercher Bombes à poix
Install Drone Hangar	Installer une baie de drones
Research Multi-Threaded Sensors	Rechercher Détecteurs multifilaires
Research LE9 Cluster Charges	Rechercher Chapelet de charges de LE9
Research Jet Pack Overdrive	Rechercher Zone rouge
Research Tactical Jump	Rechercher Saut tactique
[ph]Research Reinforced Enhanced Supported Neosteel Plating	Rechercher Blindage renforcé en NéoAcier
Research Shredder Rounds	Rechercher Balles perçantes
Research W.I.L.D. Missiles	Rechercher Roquettes B.A.R.J.O.
Research Executioner Missiles	Rechercher Missiles Tortionnaire
Research Black Market Launchers	Rechercher Lanceurs reconditionnés
Research Trigger Override	Rechercher Mépris des sécurités
Research Unregistered Cloaking System	Rechercher Système de camouflage non conventionnel
Research Overcharged Reactor	Rechercher Réacteur en surcharge
Research Plasma Surge	Rechercher Explosion de plasma
Research Aggressive Incubation	Rechercher Incubation virulente
Research Infernal Plating	Rechercher Blindage infernal
Research Jump Jet Assault	Rechercher Assaut aérien
Research Hellion	Rechercher Tourmenteur
Research Hellstorm Batteries	Rechercher Batteries de missiles Tornade
Research Improved Scatter Cannon	Rechercher Canon à dispersion amélioré
Research Advanced Siege Tech	Rechercher le mode Siège avancé
Research KMC Auto-Loaders	Rechercher Chargeurs automatiques CMK
Research Incinerator Gauntlets	Rechercher Gants incinérateurs
Research Scarab Housing	Rechercher Logement à scarabée
Research Solarite Payload	Rechercher Charge de solarite
Research Regenerative Plating	Rechercher Blindage régénérant
Evolve Acidic Enzymes	Évolution Enzymes acides
Research Concussive Shells	Rechercher Obus incapacitants
Research Juggernaut Plating	Rechercher Blindage Mastodonte
Research Graviton Warp Catapult	Rechercher Catapulte à transfert de gravitons
Research Rapid Recharging	Rechercher Recharge rapide
Research Enhanced Targeting	Rechercher Ciblage amélioré
Research Khaydarin Amulet	Rechercher Amulette Khaydarin
Research Laser Targeting System	Rechercher Système de ciblage laser
Research Liberator Defender Mode	Rechercher mode Défenseur du croiseur
Research Liberator Improved AA Range	Rechercher Portée AA améliorée du croiseur
Research Raid Artillery	Rechercher Artillerie de raid
Research Lockdown Missiles	Rechercher Missiles incapacitants
Research Locked	Recherche verrouillée
Research Maelstrom Rounds	Rechercher Balles Maelström
Research Maelstorm Rounds	Rechercher Balles Maelström
Research Magrail Munitions	Rechercher Munitions magnétiques
Research Medic	Rechercher Médic
Research Mind Blast	Rechercher Éruption mentale
Research Multi-Lock Weapons System	Rechercher Système d’armement à verrouillage multiple
Research Replenishable Magazine	Rechercher Magasin rechargeable
Research Suppression Shells	Rechercher Obus incapacitants
Research Ghost Visor	Rechercher Visière fantôme
Research Flashbang Grenades	Rechercher Grenades incapacitantes
Research Pulse Grenades	Rechercher Grenades à impulsion
Research Super Stim	Rechercher Super stimulants
Research Nova Improved Weapon Damage	Rechercher Dégâts d’arme améliorés de Nova
Research Operational Efficiency	Rechercher Efficacité opérationnelle
Research Hellfire Shotgun	Rechercher Fusil Feu d’enfer
Research Improved Canister Rifle	Rechercher Fusil de précision amélioré
Research Monomolecular Blade	Rechercher Lame monomoléculaire
Research Stasis Calibration	Rechercher Calibrage de stase
Research Wormhole	Rechercher Trou de ver
Research Perdition Turret	Rechercher Tourelle Perdition
Research Phasing Mode	Rechercher Mode phasique
Research Phobos Weapons System	Rechercher Système d’armement Phobos
Research Phobos Weapon System	Rechercher Système d’armement Phobos
Research Prismatic Alignment	Rechercher Alignement prismatique
Research Prismatic Range	Rechercher Portée prismatique
Research Psionic Orb	Rechercher Orbe psionique
Research Psionic Storm	Rechercher Tempête psionique
Research Reaper	Rechercher Faucheur
Research Emergency Recall	Rechercher Rappel d’urgence
Research Reconstruction	Rechercher Reconstruction
Research Regenerative Bio-Steel	Rechercher Bio-acier régénérant
Research Resonating Glaives Locked	Rechercher Glaives de résonance - Verrouillé
Research Revive	Rechercher Ranimer
Research Ripwave Missiles	Rechercher Missiles Tsunami
Evolve Infestation Level 1	Évolution Contamination - Niv. 1
Evolve Infestation Level 2	Évolution Contamination - Niv. 2
Research Train Infested Marine Level 2	Rechercher Formation de marine contaminé - Niv. 2
Research Train Infested Marine Level 3	Rechercher Formation de marine contaminé - Niv. 3
Research Train Infested Marine Level 4	Rechercher Formation de marine contaminé - Niv. 4
Research Infested Stim	Stimulants contaminés
Evolve Viral Contamination	Évolution Transmission virale
Research Phase Detonation	Rechercher Détonation phasique
Research Advanced Repair Systems	Rechercher Système de réparation avancé
Research Solar Flare	Rechercher Éruption solaire
Research Improved Nano-Repair	Rechercher Nano-réparation améliorée
Research Shadow Archon	Rechercher Archonte d’ombre
Research Shadow Cannon	Rechercher Canon d’ombre
Research Shadow Charge	Rechercher Charge d’ombre
Research Shadow Fury	Rechercher Fureur de l’ombre
Research Darkcoil	Rechercher Étourdissement d’ombre
Research Shaped Blast	Rechercher Charge creuse
Research Shield Repair Double	Rechercher Double réparation de bouclier
Research Shield Restore	Rechercher Restauration de bouclier
Research Shockwave Missile Battery	Rechercher Batterie de missiles Onde de choc
Research Shrike Turret	Rechercher Tourelle Bourreau
Research Siege Tank	Rechercher Char de siège
Research Siege Tank Jump Jets	Rechercher Réacteurs du char de siège
Research Phase Blink	Rechercher Transfert de phase
Evolve Slicing Glave	Évolution Mandibules acérées
Research Solar Efficiency Level 1	Rechercher Efficacité solaire niv. 1
Research Solar Efficiency Level 2	Rechercher Efficacité solaire niv. 2
Research Solar Efficiency Level 3	Rechercher Efficacité solaire niv. 3
Research Squad Sight Buff	Rechercher Bonus - Vision d’escadron
Research Stabilizer Medpacks	Rechercher Trousse de premiers soins
Research Fortification Barrier	Rechercher Barrière de fortification
Evolve Rapid Hibernation	Évolution Hibernation rapide
Research Super Stimpack	Rechercher Super stimulants
Research Hi-Sec Auto Tracking	Rechercher Ciblage auto. haute sécurité
Research Targeting Optics	Rechercher Système optique de visée
Research Tech Reactor	Rechercher Réacteur technique
Research Tomahawk Power Cells	Rechercher Accumulateurs Tomahawk
Research Tri Lithium Power Cells	Rechercher Accumulateurs au tri-lithium
Research Fusion Mortars	Rechercher Mortiers à fusion
Research Advanced Optics	Rechercher Système optique amélioré
Research Viking Ripwave Missiles	Rechercher Missiles Tsunami du Viking
Research Void Stasis	Rechercher Stase du Vide
Research Warp Gate Charges	Rechercher Charges de porte de transfert
Research Whirlwind	Rechercher Tourbillon
Research Pulse Amplifier	Rechercher Amplificateur d’impulsion
Research Advanced Cloaking Field	Rechercher Champ de camouflage avancé
Artifact Enhancement: Predictive Blink	Amélioration d’artéfact : Transfert prédictif
Research Dark Pylon	Rechercher Pylône noir
Reveal Weakness	Révéler la faiblesse
Build Infested Armory	Construire une armurerie contaminée
Spawn Infested Banshee	Générer une Banshee contaminée
Build Infested Barracks	Construire une caserne contaminée
Marines in Bunker	Marines dans le bunker
Regenerative Plating	Blindage régénérant
Build Infested Command Center	Construire un Centre de commandement contaminé
Spawn Infested Diamondback	Générer un Crotale contaminé
Build Infested Engineering Bay	Construire un centre technique contaminé
Build Infested Factory	Construire une usine contaminée
Build Infested Bunker	Construire un bunker contaminé
Spawning Chamber	Chambre de génération
Spawn Infested Trooper	Générer un soldat contaminé
Spawn Infested Civilian	Générer un civil contaminé
Spawn Infested Marine	Génération de marine contaminé
Infested Stim	Stimulants contaminés
Infested Civilian Structure Increased Spawn Count Level 1	Civil contaminé - Bâtiment - Augmenter - Générer - Nombre - Niv. 1
Infested Civilian Structure Increased Spawn Count Level 2	Civil contaminé - Bâtiment - Augmenter - Générer - Nombre - Niv. 2
Spawn Infested Liberator	Générer un croiseur contaminé
Cloud Dispersal	Nuée dispersive
Viral Contamination	Transmission virale
Retinal Augmentation	Augmentation rétinienne
Build Infested Missile Turret	Construire une tourelle contaminée
Infested Missile Turret	Tourelle contaminée
Spawn Overlord	Générer un dominant
Spawn Brood Queen	Générer une reine des couvées
Enhanced Mitochondria	Mitochondrie améliorée
Build Infested Refinery	Construire une raffinerie contaminée
Spawn Infested SCV	Générer un VCS contaminé
Spawn Infested Siege Tank	Générer un char de siège contaminé
Proliferating Creep	Mucus proliférant
Build Infested Starport	Construire un spatioport contaminé
Explode Infested	Explosion de contaminé
Infest Structure	Contamination de bâtiment
Feeding Hunger	Faim dévorante
Deploy Psi Emitter	Déploiement d’un émetteur psi
Build Infested Supply Depot	Construire un dépôt de ravitaillement contaminé
Deploy Dark Pylon	Déploiement d’un pylône noir
Matrix Overload	Surcharge matricielle
Phase Detonation	Détonation phasique
Recall On Death	Rappel à la mort
Advanced Repair Systems	Système de réparation avancé
Deploy Shadow Guard	Déploiement de la Garde de l’ombre
Solar Flare	Éruption solaire
Solar Bombardment	Bombardement solaire
Praetor Armor Suit	Armure de préteur
Cybros Arbiter Suit	Armure d’Arbitre de Cybros
Cybros Arbiter Suit Active	Armure d’Arbitre de Cybros activée
Solarite Dragoon Suit	Armure de dragon de solarite
Solarite Dragoon Suit Active	Armure de dragon de solarite activée
Praetor Armor Suit Active	Armure de préteur activée
Map-Wide Chrono Surge	Impulsion temporelle sur toute la carte
Black Hole	Trou noir
Mutate into Scourge Nest	Muter en nid de fléaux
Virulent Spores	Spores virulentes
Payload	Convoi
Artifact Enhancement: Sensor Array	Amélioration d’artéfact : Matrice de détection
Warp in Conservator	Transférer une égide
Null Shield	Barrière-zéro
Conservator	Égide
Warp In Xel'Naga Shieldguard	Transférer un rempart Xel’Naga
Severing Glave	Sabre tranchant
Artifact Enhancement: Shade Barrier	Amélioration d’artéfact : Barrière sombre
Shadow Cannon	Canon d’ombre
Fortification Barrier	Barrière de fortification
Artifact Enhancement: Shield Boosters	Amélioration d’artéfact : Amplificateurs de bouclier
Graduating Range	Portée graduée
Jump Jets	Réacteurs
Slayer	Tueur
AOE Essense Leech	Drain d’essence à effet de zone
